County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,926,2139,1550,22,4637,119,200,450,8,777,5414
Adams,501,1112,803,10,2426,51,77,265,0,393,2819
Allamakee,2022,3956,2247,35,8260,282,415,756,14,1467,9727
Appanoose,1788,3224,2111,49,7172,384,359,779,12,1534,8706
Audubon,914,1848,894,15,3671,97,180,300,3,580,4251
Benton,3922,6031,5822,119,15894,457,460,1480,29,2426,18320
Black Hawk,28846,20724,22255,603,72428,5347,2537,6896,208,14988,87416
Boone,5085,6163,5384,131,16763,604,636,1694,41,2975,19738
Bremer,4116,5392,6024,88,15620,534,445,1285,22,2286,17906
Buchanan,3443,3634,4766,55,11898,355,291,1367,13,2026,13924
Buena Vista,2529,3895,2942,70,9436,757,542,1303,19,2621,12057
Butler,1772,4483,2540,49,8844,182,355,756,11,1304,10148
Calhoun,1166,2702,1888,39,5795,160,226,519,14,919,6714
Carroll,3204,4842,4444,74,12564,432,479,1201,24,2136,14700
Cass,1480,4313,2177,45,8015,213,542,771,19,1545,9560
Cedar,3171,4295,3831,82,11379,318,335,835,29,1517,12896
Cerro Gordo,8273,7967,9679,161,26080,1217,876,2896,45,5034,31114
Cherokee,1265,4014,1743,29,7051,226,340,712,8,1286,8337
Chickasaw,2137,2585,2387,35,7144,255,198,726,12,1191,8335
Clarke,1285,2223,1578,42,5128,234,236,558,13,1041,6169
Clay,1917,5177,2722,70,9886,308,562,965,19,1854,11740
Clayton,2940,3830,3597,71,10438,343,382,829,17,1571,12009
Clinton,8951,8858,9616,185,27610,1575,884,3459,69,5987,33597
Crawford,2034,3436,2607,50,8127,507,393,929,22,1851,9978
Dallas,18314,21642,20007,522,60485,1839,2046,4386,141,8412,68897
Davis,1331,2012,1071,18,4432,156,205,321,10,692,5124
Decatur,1075,1860,1163,22,4120,277,202,322,15,816,4936
Delaware,2373,4583,3923,51,10930,254,297,716,13,1280,12210
Des Moines,8775,6914,6513,168,22370,1782,933,2554,61,5330,27700
Dickinson,2587,6103,3523,80,12293,350,613,954,30,1947,14240
Dubuque,24348,18294,16715,480,59837,3484,2151,4778,152,10565,70402
Emmet,1510,1933,1916,34,5393,266,281,758,7,1312,6705
Fayette,3140,4198,3544,63,10945,417,355,853,23,1648,12593
Floyd,2558,2792,3594,57,9001,537,355,1185,20,2097,11098
Franklin,1154,2877,1585,35,5651,173,250,490,6,919,6570
Fremont,861,2483,848,28,4220,173,299,364,15,851,5071
Greene,1474,2381,1636,40,5531,207,256,530,8,1001,6532
Grundy,1548,4084,2206,45,7883,173,318,599,6,1096,8979
Guthrie,1586,2957,2372,54,6969,215,283,690,9,1197,8166
Hamilton,2162,4129,2344,50,8685,288,355,799,14,1456,10141
Hancock,1369,3432,1912,37,6750,185,293,571,13,1062,7812
Hardin,2382,4718,2725,57,9882,399,499,925,18,1841,11723
Harrison,1911,4448,2081,69,8509,173,296,366,15,850,9359
Henry,2555,5028,3396,71,11050,560,678,1691,36,2965,14015
Howard,1492,1710,2199,30,5431,182,134,529,7,852,6283
Humboldt,1092,2787,1900,30,5809,136,233,446,9,824,6633
Ida,700,2252,1298,14,4264,111,186,371,6,674,4938
Iowa,2494,4548,3587,71,10700,307,372,894,24,1597,12297
Jackson,4505,3945,3852,49,12351,547,323,1381,9,2260,14611
Jasper,7285,8045,6996,147,22473,1037,767,2128,26,3958,26431
Jefferson,3987,3294,2263,77,9621,617,313,763,24,1717,11338
Johnson,47209,16371,24911,763,89254,8621,3519,8590,321,21051,110305
Jones,3042,4406,4506,52,12006,327,365,1212,13,1917,13923
Keokuk,1418,2605,1723,32,5778,249,255,501,5,1010,6788
Kossuth,2404,4457,2932,34,9827,235,323,762,14,1334,11161
Lee,7312,5474,5635,134,18555,1330,608,2333,58,4329,22884
Linn,54372,38351,42704,1416,136843,7657,4551,10903,444,23555,160398
Louisa,1470,2587,1868,27,5952,301,249,716,11,1277,7229
Lucas,1099,2405,1521,28,5053,171,255,472,8,906,5959
Lyon,698,5811,965,17,7491,134,505,365,6,1010,8501
Madison,2597,4618,3296,83,10594,305,429,726,19,1479,12073
Mahaska,2310,6717,3365,112,12504,432,650,1177,22,2281,14785
Marion,4856,9973,6014,149,20992,702,960,1599,28,3289,24281
Marshall,6929,7211,5773,141,20054,1195,827,2381,54,4457,24511
Mills,1802,5144,2144,98,9188,338,641,801,39,1819,11007
Mitchell,1566,2575,2155,43,6339,206,245,560,13,1024,7363
Monona,1356,2346,1492,37,5231,236,241,475,16,968,6199
Monroe,1174,2004,1302,25,4505,164,176,318,12,670,5175
Montgomery,1074,3365,1520,39,5998,202,436,664,14,1316,7314
Muscatine,7272,7961,7528,203,22964,1644,1110,3060,78,5892,28856
O'Brien,1100,5431,1687,51,8269,241,575,614,17,1447,9716
Osceola,428,2405,813,17,3663,76,209,295,4,584,4247
Page,1517,4890,1980,64,8451,319,567,861,16,1763,10214
Palo Alto,1658,2215,1597,24,5494,202,169,467,13,851,6345
Plymouth,2776,8475,4089,92,15432,450,832,1204,33,2519,17951
Pocahontas,759,2185,1238,28,4210,153,188,386,10,737,4947
Polk,119129,79723,77303,2854,279009,17650,9155,19507,824,47136,326145
Pottawattamie,14583,21179,14342,567,50671,3340,3303,6081,263,12987,63658
Poweshiek,3577,3783,3861,65,11286,1336,396,1248,19,2999,14285
Ringgold,511,1903,479,11,2904,83,139,154,2,378,3282
Sac,1100,3409,1644,20,6173,146,295,598,7,1046,7219
Scott,35286,30666,35070,913,101935,8276,4849,14529,371,28025,129960
Shelby,1652,3780,2091,32,7555,208,347,477,18,1050,8605
Sioux,1879,15214,3424,76,20593,307,1238,862,26,2433,23026
Story,20696,15371,17967,654,54688,4612,3312,6741,300,14965,69653
Tama,2843,3471,3415,76,9805,391,301,1061,9,1762,11567
Taylor,584,1984,905,28,3501,94,175,292,8,569,4070
Union,1480,3218,2152,42,6892,249,256,890,14,1409,8301
Van Buren,750,2304,1102,29,4185,133,229,402,7,771,4956
Wapello,6316,5677,5234,117,17344,1393,757,1999,44,4193,21537
Warren,10162,12798,10076,260,33296,1114,1163,2232,78,4587,37883
Washington,3249,5601,4159,97,13106,419,605,1217,42,2283,15389
Wayne,758,1593,969,18,3338,110,155,226,4,495,3833
Webster,6477,7263,6300,157,20197,1338,982,2657,62,5039,25236
Winnebago,1581,2834,2209,41,6665,246,272,752,12,1282,7947
Winneshiek,4289,4487,4122,53,12951,710,357,1001,26,2094,15045
Woodbury,15751,20589,13807,408,50555,3851,2850,6119,135,12955,63510
Worth,1265,1935,1639,23,4862,151,153,426,3,733,5595
Wright,1601,3295,1953,31,6880,273,322,584,14,1193,8073
Totals,"611,972","662,351","555,757","14,809","1,844,889","102,122","75,739","173,592","4,944","356,397","2,201,286"
