County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,889,2134,1574,23,4620,125,206,442,10,783,5403
Adams,486,1092,819,10,2407,53,88,259,0,400,2807
Allamakee,1951,3954,2324,38,8267,291,412,754,12,1469,9736
Appanoose,1705,3263,2265,57,7290,379,374,771,11,1535,8825
Audubon,889,1844,921,17,3671,95,182,282,5,564,4235
Benton,3784,5969,6042,118,15913,477,496,1479,30,2482,18395
Black Hawk,27908,20328,23180,600,72016,5527,2615,7002,209,15353,87369
Boone,4880,6117,5628,125,16750,633,657,1728,45,3063,19813
Bremer,3974,5319,6158,88,15539,572,496,1334,24,2426,17965
Buchanan,3356,3610,4968,59,11993,355,301,1367,15,2038,14031
Buena Vista,2496,3909,2944,73,9422,780,567,1314,20,2681,12103
Butler,1711,4436,2636,58,8841,192,361,757,11,1321,10162
Calhoun,1133,2692,1996,38,5859,159,221,482,16,878,6737
Carroll,3093,4920,4638,88,12739,419,494,1110,20,2043,14782
Cass,1439,4275,2326,47,8087,219,531,742,18,1510,9597
Cedar,3057,4217,3879,83,11236,341,364,855,28,1588,12824
Cerro Gordo,8004,7877,9867,163,25911,1245,963,2952,47,5207,31118
Cherokee,1224,3943,1796,27,6990,225,337,727,9,1298,8288
Chickasaw,2069,2583,2434,38,7124,255,204,719,11,1189,8313
Clarke,1242,2171,1604,36,5053,228,248,566,16,1058,6111
Clay,1880,5157,2794,82,9913,313,591,992,20,1916,11829
Clayton,2892,3895,3760,76,10623,331,372,789,16,1508,12131
Clinton,8595,8780,10002,185,27562,1614,925,3413,71,6023,33585
Crawford,1979,3481,2715,58,8233,506,388,918,22,1834,10067
Dallas,17670,21217,20907,499,60293,2416,2551,4957,166,10090,70383
Davis,1279,1998,1116,19,4412,156,216,319,12,703,5115
Decatur,1036,1828,1208,22,4094,287,226,327,15,855,4949
Delaware,2303,4571,4003,48,10925,260,297,708,17,1282,12207
Des Moines,8434,6902,6780,185,22301,1813,951,2552,60,5376,27677
Dickinson,2485,6163,3652,85,12385,375,660,965,33,2033,14418
Dubuque,23671,18247,17460,480,59858,3618,2194,4831,159,10802,70660
Emmet,1431,1945,1970,36,5382,271,288,758,7,1324,6706
Fayette,3053,4167,3600,62,10882,411,369,861,26,1667,12549
Floyd,2474,2780,3659,59,8972,551,360,1180,21,2112,11084
Franklin,1122,2825,1659,33,5639,175,250,504,6,935,6574
Fremont,845,2450,878,29,4202,169,301,353,15,838,5040
Greene,1465,2419,1690,48,5622,183,218,501,7,909,6531
Grundy,1478,4068,2314,47,7907,180,321,582,9,1092,8999
Guthrie,1563,2946,2478,52,7039,216,295,669,6,1186,8225
Hamilton,2085,4059,2448,52,8644,296,377,794,17,1484,10128
Hancock,1303,3370,1962,37,6672,192,302,574,14,1082,7754
Hardin,2320,4716,2795,58,9889,397,482,917,19,1815,11704
Harrison,1820,4380,2125,74,8399,122,209,215,11,557,8956
Henry,2445,4956,3602,74,11077,574,693,1670,36,2973,14050
Howard,1448,1683,2252,27,5410,178,144,538,8,868,6278
Humboldt,1033,2752,1966,29,5780,144,249,457,8,858,6638
Ida,675,2216,1301,12,4204,108,200,378,7,693,4897
Iowa,2426,4523,3711,72,10732,316,372,905,25,1618,12350
Jackson,4355,3949,4015,51,12370,560,349,1382,10,2301,14671
Jasper,7078,7992,7320,155,22545,1047,824,2128,32,4031,26576
Jefferson,3849,3257,2391,82,9579,679,338,797,26,1840,11419
Johnson,45546,15995,25911,753,88205,9931,3816,9303,343,23393,111598
Jones,2920,4364,4626,55,11965,348,384,1209,16,1957,13922
Keokuk,1392,2602,1747,32,5773,234,259,499,5,997,6770
Kossuth,2324,4393,3064,42,9823,238,360,756,14,1368,11191
Lee,7092,5484,5842,143,18561,1308,639,2337,60,4344,22905
Linn,52856,37749,44136,1432,136173,8236,4852,11287,469,24844,161017
Louisa,1445,2554,1944,30,5973,294,261,710,10,1275,7248
Lucas,1046,2427,1566,28,5067,174,256,469,9,908,5975
Lyon,698,5860,1032,17,7607,135,504,356,6,1001,8608
Madison,2499,4575,3391,83,10548,326,448,757,21,1552,12100
Mahaska,2216,6660,3425,112,12413,454,676,1205,22,2357,14770
Marion,4678,9970,6291,156,21095,732,1018,1602,32,3384,24479
Marshall,6721,7109,6049,142,20021,1237,875,2367,55,4534,24555
Mills,1784,5195,2286,106,9371,337,671,807,43,1858,11229
Mitchell,1520,2585,2198,41,6344,214,251,557,13,1035,7379
Monona,1319,2350,1543,36,5248,232,251,474,16,973,6221
Monroe,1113,1967,1397,22,4499,170,192,330,13,705,5204
Montgomery,1021,3356,1591,44,6012,219,446,681,15,1361,7373
Muscatine,7118,7844,7806,205,22973,1646,1128,3065,83,5922,28895
O'Brien,1082,5410,1727,54,8273,244,576,604,19,1443,9716
Osceola,403,2389,835,17,3644,73,217,294,4,588,4232
Page,1479,4946,2122,64,8611,310,568,837,17,1732,10343
Palo Alto,1583,2203,1647,24,5457,214,181,473,13,881,6338
Plymouth,2713,8494,4300,99,15606,458,865,1189,35,2547,18153
Pocahontas,734,2165,1261,31,4191,148,194,389,9,740,4931
Polk,115854,78384,80767,2836,277841,18898,9890,20346,884,50018,327859
Pottawattamie,14282,21108,14903,606,50899,3406,3424,6152,276,13258,64157
Poweshiek,3589,3704,4058,67,11418,1327,408,1220,20,2975,14393
Ringgold,498,1876,507,15,2896,79,147,160,2,388,3284
Sac,1048,3387,1752,22,6209,139,278,563,7,987,7196
Scott,34295,30224,36327,938,101784,8635,5114,14783,384,28916,130700
Shelby,1608,3786,2173,32,7599,211,341,470,18,1040,8639
Sioux,1814,15253,3610,80,20757,329,1254,898,25,2506,23263
Story,19764,15031,18144,644,53583,5241,3544,7160,332,16277,69860
Tama,2769,3443,3554,75,9841,394,323,1040,11,1768,11609
Taylor,576,1970,931,28,3505,88,172,274,8,542,4047
Union,1404,3137,2315,44,6900,256,294,891,16,1457,8357
Van Buren,719,2268,1203,33,4223,137,238,382,6,763,4986
Wapello,6087,5691,5432,121,17331,1386,796,2025,45,4252,21583
Warren,9864,12745,10458,274,33341,1252,1314,2359,89,5014,38355
Washington,3136,5560,4337,102,13135,433,637,1207,45,2322,15457
Wayne,736,1606,1030,19,3391,106,152,217,3,478,3869
Webster,6254,7224,6494,157,20129,1338,1020,2649,68,5075,25204
Winnebago,1524,2824,2282,40,6670,255,282,755,14,1306,7976
Winneshiek,4199,4443,4250,52,12944,747,364,1005,29,2145,15089
Woodbury,15365,20242,14496,409,50512,3915,2978,6183,142,13218,63730
Worth,1239,1900,1687,27,4853,139,165,444,4,752,5605
Wright,1509,3198,2086,29,6822,267,321,584,14,1186,8008
Totals,"593,217","655,995","577,065","15,032","1,841,309","107,918","79,773","176,900","5,242","369,833","2,211,142"
