County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,865,2250,1551,22,4688,111,192,426,8,737,5425
Adams,472,1145,809,8,2434,56,77,250,0,383,2817
Allamakee,1946,4053,2314,40,8353,279,403,737,12,1431,9784
Appanoose,1698,3469,2181,56,7404,356,358,744,10,1468,8872
Audubon,872,1881,910,17,3680,91,179,271,4,545,4225
Benton,3752,6245,6034,110,16141,455,467,1441,26,2389,18530
Black Hawk,28021,20903,22964,600,72488,5229,2372,6700,197,14498,86986
Boone,4914,6310,5611,130,16965,603,628,1699,48,2978,19943
Bremer,3986,5659,5952,76,15673,550,470,1290,23,2333,18006
Buchanan,3294,3981,4862,59,12196,330,287,1324,13,1954,14150
Buena Vista,2508,4090,2961,71,9630,754,549,1272,19,2594,12224
Butler,1713,4535,2579,57,8884,189,336,731,11,1267,10151
Calhoun,1128,2784,1940,42,5894,149,208,464,11,832,6726
Carroll,3058,5158,4568,88,12872,394,471,1072,22,1959,14831
Cass,1400,4445,2260,46,8151,209,504,731,18,1462,9613
Cedar,3067,4438,3737,86,11328,317,346,827,25,1515,12843
Cerro Gordo,8137,8606,9459,161,26363,1194,934,2892,48,5068,31431
Cherokee,1175,4078,1763,26,7042,221,330,715,9,1275,8317
Chickasaw,1992,2777,2336,34,7139,240,195,697,12,1144,8283
Clarke,1251,2278,1578,31,5138,220,237,551,17,1025,6163
Clay,1849,5363,2727,81,10020,305,565,957,19,1846,11866
Clayton,2811,4253,3579,75,10718,322,363,766,15,1466,12184
Clinton,8494,9286,9998,172,27950,1577,896,3330,73,5876,33826
Crawford,1989,3542,2714,56,8301,493,381,909,21,1804,10105
Dallas,18412,22265,21289,497,62463,2246,2423,4777,164,9610,72073
Davis,1173,2201,1071,21,4466,155,212,307,11,685,5151
Decatur,1014,1946,1148,20,4128,264,203,321,15,803,4931
Delaware,2314,4736,4023,49,11122,249,277,676,17,1219,12341
Des Moines,8312,7240,6812,181,22545,1760,928,2482,56,5226,27771
Dickinson,2477,6393,3643,91,12604,368,654,955,29,2006,14610
Dubuque,23696,18787,17438,487,60408,3549,2142,4806,162,10659,71067
Emmet,1380,2071,1930,35,5416,266,285,755,7,1313,6729
Fayette,2978,4401,3469,62,10910,398,348,836,26,1608,12518
Floyd,2474,2962,3572,56,9064,528,351,1158,19,2056,11120
Franklin,1103,2931,1674,34,5742,165,238,487,6,896,6638
Fremont,816,2512,874,28,4230,161,295,341,15,812,5042
Greene,1427,2513,1642,50,5632,179,213,488,7,887,6519
Grundy,1480,4246,2263,45,8034,162,290,560,9,1021,9055
Guthrie,1524,3297,2353,50,7224,203,276,630,8,1117,8341
Hamilton,2086,4139,2439,56,8720,289,360,759,15,1423,10143
Hancock,1301,3590,1829,36,6756,176,285,555,13,1029,7785
Hardin,2307,4863,2738,62,9970,388,464,909,17,1778,11748
Harrison,1748,4574,2044,71,8437,114,199,207,11,531,8968
Henry,2399,5136,3594,76,11205,574,684,1633,37,2928,14133
Howard,1438,1752,2250,29,5469,162,132,513,9,816,6285
Humboldt,1041,2853,1939,31,5864,132,236,443,8,819,6683
Ida,669,2262,1288,13,4232,106,196,364,7,673,4905
Iowa,2438,4725,3679,64,10906,303,346,865,27,1541,12447
Jackson,4185,4252,4010,48,12495,529,344,1351,9,2233,14728
Jasper,6975,8532,7207,141,22855,986,773,2017,32,3808,26663
Jefferson,3829,3469,2249,77,9624,677,340,790,27,1834,11458
Johnson,46645,16571,26258,739,90213,9958,3824,9295,335,23412,113625
Jones,2879,4700,4527,57,12163,322,356,1163,17,1858,14021
Keokuk,1364,2737,1681,29,5811,220,234,484,5,943,6754
Kossuth,2257,4595,2982,41,9875,216,316,719,15,1266,11141
Lee,6917,5707,5840,146,18610,1267,640,2310,56,4273,22883
Linn,53482,38826,44151,1387,137846,8028,4700,11051,465,24244,162090
Louisa,1428,2650,1952,28,6058,294,244,706,9,1253,7311
Lucas,1025,2586,1534,27,5172,163,243,440,8,854,6026
Lyon,698,5961,1041,15,7715,127,460,340,7,934,8649
Madison,2476,4871,3352,85,10784,311,452,737,19,1519,12303
Mahaska,2175,6936,3271,112,12494,448,651,1189,23,2311,14805
Marion,4635,10422,6228,149,21434,696,973,1569,27,3265,24699
Marshall,6648,7521,5929,144,20242,1184,833,2306,54,4377,24619
Mills,1810,5386,2241,122,9559,328,655,790,40,1813,11372
Mitchell,1505,2732,2113,38,6388,207,247,535,13,1002,7390
Monona,1307,2470,1503,39,5319,224,231,453,17,925,6244
Monroe,1048,2137,1373,19,4577,163,182,307,11,663,5240
Montgomery,1056,3425,1579,45,6105,208,435,666,15,1324,7429
Muscatine,7015,8186,7778,204,23183,1618,1131,3020,80,5849,29032
O'Brien,1094,5520,1686,50,8350,239,553,603,20,1415,9765
Osceola,380,2465,796,12,3653,71,216,294,4,585,4238
Page,1419,5205,2059,61,8744,298,558,818,18,1692,10436
Palo Alto,1616,2268,1600,25,5509,202,173,457,12,844,6353
Plymouth,2692,8663,4316,100,15771,455,837,1174,31,2497,18268
Pocahontas,738,2210,1241,35,4224,140,186,377,9,712,4936
Polk,118849,81586,79699,2776,282910,18345,9508,19752,850,48455,331365
Pottawattamie,14379,22057,14797,622,51855,3303,3334,6040,267,12944,64799
Poweshiek,3578,3891,4025,68,11562,1362,390,1202,20,2974,14536
Ringgold,500,1927,490,14,2931,81,138,157,2,378,3309
Sac,1005,3549,1701,24,6279,139,265,533,5,942,7221
Scott,34473,31700,36139,906,103218,8637,5111,14711,379,28838,132056
Shelby,1536,4061,2064,36,7697,211,328,458,17,1014,8711
Sioux,1821,15425,3589,78,20913,303,1177,876,27,2383,23296
Story,19979,15374,17881,641,53875,5262,3577,7211,326,16376,70251
Tama,2738,3778,3380,64,9960,371,290,987,10,1658,11618
Taylor,566,2018,896,27,3507,91,171,276,8,546,4053
Union,1425,3239,2310,43,7017,240,272,853,16,1381,8398
Van Buren,733,2287,1187,31,4238,129,236,377,6,748,4986
Wapello,5978,6136,5313,119,17546,1326,757,1998,45,4126,21672
Warren,10003,13449,10336,267,34055,1166,1274,2280,88,4808,38863
Washington,3052,6078,4087,99,13316,408,605,1174,43,2230,15546
Wayne,656,1839,903,19,3417,104,148,213,3,468,3885
Webster,6090,7669,6409,149,20317,1309,1006,2586,63,4964,25281
Winnebago,1507,3065,2171,34,6777,255,268,747,13,1283,8060
Winneshiek,4206,4566,4085,53,12910,734,344,988,29,2095,15005
Woodbury,15301,20844,14756,410,51311,3861,2887,6094,140,12982,64293
Worth,1200,2021,1634,25,4880,141,163,440,4,748,5628
Wright,1504,3314,2052,28,6898,246,313,555,14,1128,8026
Totals,"596,776","684,800","570,789","14,796","1,867,161","105,144","77,134","173,092","5,109","360,479","2,227,640"
