County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,705,1900,17,1052,2,3676,247,486,11,900,3,1647,5323
Adams,392,967,4,567,2,1932,115,240,0,479,0,834,2766
Allamakee,1474,3236,16,1418,3,6147,667,1183,27,1656,7,3540,9687
Appanoose,1295,2820,25,1366,3,5509,638,975,24,1501,10,3148,8657
Audubon,711,1622,11,630,2,2976,219,404,9,536,2,1170,4146
Benton,3159,5506,51,4499,12,13227,915,1177,55,3007,17,5171,18398
Black Hawk,20915,17531,331,15532,68,54377,11382,5446,288,14173,122,31411,85788
Boone,4003,5316,76,3896,17,13308,1306,1561,65,3381,16,6329,19637
Bremer,3285,4896,48,4419,11,12659,1085,1190,32,2870,8,5185,17844
Buchanan,2722,3450,37,3368,4,9581,791,780,29,2757,8,4365,13946
Buena Vista,1482,3180,29,1682,6,6379,1642,1368,38,2417,19,5484,11863
Butler,1387,3923,26,1792,7,7135,456,958,29,1506,6,2955,10090
Calhoun,871,2382,27,1403,1,4684,342,612,17,980,5,1956,6640
Carroll,2396,4329,49,3216,9,9999,933,1293,41,2419,8,4694,14693
Cass,1083,3720,24,1368,5,6200,467,1161,25,1576,9,3238,9438
Cedar,2526,3862,54,2757,10,9209,781,895,34,1884,15,3609,12818
Cerro Gordo,6275,7240,70,6163,18,19766,2727,2146,79,5972,45,10969,30735
Cherokee,867,3403,16,1123,3,5412,454,900,14,1254,6,2628,8040
Chickasaw,1655,2372,15,1696,1,5739,484,565,22,1340,8,2419,8158
Clarke,947,1924,12,997,4,3884,474,565,22,1116,12,2189,6073
Clay,1433,4433,39,1800,13,7718,675,1402,41,1778,7,3903,11621
Clayton,2316,3624,36,2616,8,8600,732,994,31,1721,12,3490,12090
Clinton,6398,7702,83,6484,21,20688,3199,2391,99,6852,42,12583,33271
Crawford,1178,2669,18,1334,3,5202,1212,1226,33,2166,16,4653,9855
Dallas,15440,19201,314,16131,36,51122,5069,5430,246,10907,55,21707,72829
Davis,975,1876,10,685,4,3550,301,513,12,708,6,1540,5090
Decatur,751,1638,15,707,4,3115,452,491,15,738,5,1701,4816
Delaware,1849,3991,30,2732,8,8610,643,976,19,1932,7,3577,12187
Des Moines,6138,5947,93,4225,17,16420,3538,2174,101,5125,33,10971,27391
Dickinson,1950,5297,39,2501,7,9794,779,1683,60,2007,10,4539,14333
Dubuque,18650,15491,246,11550,48,45985,7489,5053,272,10608,87,23509,69494
Emmet,1052,1721,15,1287,8,4083,482,574,21,1297,0,2374,6457
Fayette,2377,3774,27,2533,9,8720,852,947,28,1809,17,3653,12373
Floyd,1900,2509,28,2434,4,6875,872,715,30,2130,11,3758,10633
Franklin,813,2465,11,974,3,4266,400,664,22,1180,7,2273,6539
Fremont,624,1997,6,526,3,3156,316,788,23,667,9,1803,4959
Greene,1096,2054,27,1136,6,4319,445,629,19,971,5,2069,6388
Grundy,1152,3582,28,1628,5,6395,432,880,21,1224,3,2560,8955
Guthrie,1256,2839,36,1583,3,5717,421,716,19,1352,1,2509,8226
Hamilton,1600,3479,31,1689,3,6802,667,960,25,1551,10,3213,10015
Hancock,999,3028,17,1170,4,5218,415,821,14,1209,12,2471,7689
Hardin,1783,3999,28,1741,7,7558,773,1313,33,1797,8,3924,11482
Harrison,1213,3579,36,1173,5,6006,627,1235,31,1161,13,3067,9073
Henry,1877,4234,42,2202,7,8362,842,1352,53,2656,14,4917,13279
Howard,1178,1443,19,1522,1,4163,363,436,15,1233,5,2052,6215
Humboldt,809,2421,17,1361,3,4611,294,622,17,1043,4,1980,6591
Ida,527,1886,5,830,2,3250,217,547,6,814,3,1587,4837
Iowa,1956,4041,36,2644,6,8683,692,942,38,1957,12,3641,12324
Jackson,3361,3617,29,2584,5,9596,1176,952,21,2756,11,4916,14512
Jasper,5433,7122,77,4801,15,17448,2259,2081,70,4529,19,8958,26406
Jefferson,2989,2808,34,1407,13,7251,1358,945,44,1719,21,4087,11338
Johnson,38481,13263,362,18622,110,70838,15606,5767,370,16358,139,38240,109078
Jones,2403,4095,36,3139,2,9675,716,971,31,2566,9,4293,13968
Keokuk,1058,2256,13,1103,5,4435,467,719,13,1046,2,2247,6682
Kossuth,1820,3864,23,2005,4,7716,534,925,26,1660,4,3149,10865
Lee,4942,4449,64,3448,7,12910,2857,1900,96,4530,30,9413,22323
Linn,42278,32411,706,31197,164,106756,17206,10070,721,24386,221,52604,159360
Louisa,952,2158,13,1132,0,4255,714,706,19,1513,6,2958,7213
Lucas,788,2102,12,976,5,3883,358,733,16,1011,2,2120,6003
Lyon,479,4748,4,604,0,5835,327,1659,13,790,4,2793,8628
Madison,2026,4091,60,2328,4,8509,646,1179,32,1783,11,3651,12160
Mahaska,1576,5702,61,1940,4,9283,937,1796,59,2396,11,5199,14482
Marion,3596,8775,75,4089,14,16549,1481,2459,75,3740,20,7775,24324
Marshall,4534,6283,77,3699,10,14603,2993,1908,75,4484,33,9493,24096
Mills,1317,4185,53,1275,13,6843,768,1775,80,1758,14,4395,11238
Mitchell,1204,2292,13,1514,1,5024,422,629,24,1113,10,2198,7222
Monona,989,2032,22,964,2,4009,320,557,14,612,8,1511,5520
Monroe,812,1783,9,878,0,3482,343,524,17,807,4,1695,5177
Montgomery,754,2650,25,779,4,4212,456,1102,23,1373,12,2966,7178
Muscatine,4785,6597,81,4527,24,16014,3559,2605,120,6140,55,12479,28493
O'Brien,789,4683,32,1095,7,6606,467,1297,28,1148,8,2948,9554
Osceola,264,2027,6,456,1,2754,164,617,6,626,5,1418,4172
Page,1049,4161,26,1221,4,6461,599,1512,43,1560,10,3724,10185
Palo Alto,1234,1913,11,1011,3,4172,502,531,12,1003,7,2055,6227
Plymouth,1892,6958,41,2763,6,11660,1106,2394,56,2698,21,6275,17935
Pocahontas,584,1898,22,834,2,3340,274,497,12,792,8,1583,4923
Polk,93202,67774,1525,55770,283,218554,40084,21625,1387,45884,419,109399,327953
Pottawattamie,10072,17143,244,8522,63,36044,6987,7886,439,11976,153,27441,63485
Poweshiek,2709,3290,33,2844,9,8885,1862,909,43,2354,7,5175,14060
Ringgold,423,1641,7,351,3,2425,135,395,4,314,2,850,3275
Sac,711,2713,10,979,3,4416,381,1055,11,1240,6,2693,7109
Scott,25434,26207,416,23777,96,75930,15182,9447,539,25554,178,50900,126830
Shelby,1063,3237,26,1180,4,5510,604,1137,22,1309,6,3078,8588
Sioux,1224,13036,28,2171,7,16466,835,3399,50,2359,18,6661,23127
Story,15967,12764,333,12859,74,41997,8369,5817,410,12471,114,27181,69178
Tama,2077,3208,32,2273,12,7602,932,767,24,2074,6,3803,11405
Taylor,431,1660,12,573,1,2677,189,491,18,577,4,1279,3956
Union,1108,2730,18,1475,2,5333,478,725,30,1636,5,2874,8207
Van Buren,563,1898,13,762,6,3242,239,567,10,807,5,1628,4870
Wapello,4292,4881,52,3189,12,12426,2647,1884,66,4026,37,8660,21086
Warren,8120,11321,168,7414,27,27050,2739,3358,148,5538,29,11812,38862
Washington,2463,5132,49,2667,11,10322,894,1477,60,2533,11,4975,15297
Wayne,496,1576,9,625,2,2708,231,401,9,482,2,1125,3833
Webster,4488,6261,73,3938,11,14771,2527,2286,88,4855,44,9800,24571
Winnebago,1162,2592,21,1402,3,5180,532,641,25,1464,3,2665,7845
Winneshiek,3559,3991,30,3132,5,10717,1165,839,27,1954,19,4004,14721
Woodbury,9799,16197,159,8039,40,34234,8600,7113,247,12813,100,28873,63107
Worth,921,1703,15,1023,3,3665,359,452,10,1002,2,1825,5490
Wright,1071,2733,13,1322,2,5141,590,813,16,1279,8,2706,7847
Totals,"461,184","567,110","7,543","382,820","1,544","1,420,201","214,500","182,673","8,004","359,715","2,623","767,515","2,187,716"
