County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,708,1958,23,1129,2,3820,230,440,11,856,3,1540,5360
Adams,392,1015,6,609,2,2024,105,213,0,458,0,776,2800
Allamakee,1577,3473,21,1744,4,6819,534,940,21,1435,6,2936,9755
Appanoose,1292,2909,29,1489,4,5723,601,892,24,1434,9,2960,8683
Audubon,721,1653,12,691,3,3080,203,361,7,490,2,1063,4143
Benton,3170,5602,61,4862,11,13706,835,1090,50,2819,14,4808,18514
Black Hawk,21019,17837,341,16739,75,56011,10882,5067,271,13507,119,29846,85857
Boone,4067,5467,79,4414,17,14044,1170,1406,60,3151,15,5802,19846
Bremer,3303,4955,50,4800,11,13119,994,1098,30,2651,7,4780,17899
Buchanan,2726,3520,40,3662,4,9952,722,710,27,2578,8,4045,13997
Buena Vista,1572,3320,33,1854,8,6787,1555,1253,35,2288,17,5148,11935
Butler,1398,4016,32,1926,8,7380,416,873,26,1422,6,2743,10123
Calhoun,875,2436,26,1502,2,4841,300,554,17,902,5,1778,6619
Carroll,2454,4577,58,3585,8,10682,813,1080,38,2130,8,4069,14751
Cass,1099,3801,27,1454,7,6388,425,1069,24,1494,9,3021,9409
Cedar,2555,3912,57,2942,11,9477,712,813,32,1755,14,3326,12803
Cerro Gordo,6422,7464,84,6890,19,20879,2421,1891,73,5451,43,9879,30758
Cherokee,873,3472,18,1263,3,5629,421,805,13,1173,6,2418,8047
Chickasaw,1654,2420,17,1861,1,5953,430,514,20,1244,8,2216,8169
Clarke,952,1985,20,1100,5,4062,450,521,20,1060,11,2062,6124
Clay,1452,4560,45,1949,15,8021,619,1270,39,1653,6,3587,11608
Clayton,2340,3735,40,2753,9,8877,689,936,31,1622,12,3290,12167
Clinton,6485,7959,93,7335,23,21895,2971,2177,94,6407,39,11688,33583
Crawford,1298,2932,23,1646,6,5905,1043,960,29,1855,15,3902,9807
Dallas,15894,19934,335,17976,43,54182,4553,4801,226,10042,53,19675,73857
Davis,983,1920,12,773,4,3692,273,464,12,664,5,1418,5110
Decatur,750,1672,15,734,4,3175,429,464,13,716,5,1627,4802
Delaware,1930,4216,35,3096,9,9286,518,779,17,1639,7,2960,12246
Des Moines,6200,6112,103,4909,20,17344,3305,2031,100,4836,30,10302,27646
Dickinson,2003,5570,41,2843,8,10465,707,1482,57,1811,10,4067,14532
Dubuque,18796,15914,267,12918,49,47944,6912,4616,258,9939,80,21805,69749
Emmet,1060,1788,14,1402,8,4272,446,529,21,1231,0,2227,6499
Fayette,2386,3852,30,2737,10,9015,792,854,28,1688,13,3375,12390
Floyd,1907,2573,33,2629,4,7146,820,657,29,2023,11,3540,10686
Franklin,823,2524,11,1061,3,4422,369,603,21,1123,7,2123,6545
Fremont,634,2058,7,614,4,3317,300,739,22,624,9,1694,5011
Greene,1090,2107,33,1235,8,4473,401,568,19,905,6,1899,6372
Grundy,1153,3672,28,1781,4,6638,402,776,18,1127,3,2326,8964
Guthrie,1271,2938,38,1793,3,6043,380,621,16,1223,1,2241,8284
Hamilton,1612,3537,29,1946,3,7127,620,863,24,1437,10,2954,10081
Hancock,1007,3099,22,1285,3,5416,385,739,14,1141,12,2291,7707
Hardin,1801,4137,34,1864,7,7843,705,1194,30,1688,8,3625,11468
Harrison,1351,3919,41,1451,6,6768,469,885,28,896,12,2290,9058
Henry,1874,4315,46,2483,8,8726,785,1245,49,2474,13,4566,13292
Howard,1193,1481,19,1705,1,4399,327,404,13,1146,5,1895,6294
Humboldt,811,2475,18,1498,3,4805,265,572,15,962,4,1818,6623
Ida,527,1916,6,908,2,3359,200,494,5,764,3,1466,4825
Iowa,1984,4123,39,2865,7,9018,635,856,33,1844,10,3378,12396
Jackson,3358,3709,35,2858,6,9966,1078,858,20,2588,10,4554,14520
Jasper,5468,7286,81,5310,16,18161,2095,1897,64,4265,19,8340,26501
Jefferson,3048,2920,44,1712,16,7740,1212,782,34,1533,17,3578,11318
Johnson,39062,13705,390,20797,121,74075,14419,5272,355,15266,132,35444,109519
Jones,2403,4183,35,3383,2,10006,664,894,28,2420,9,4015,14021
Keokuk,1068,2320,18,1171,5,4582,438,661,12,978,2,2091,6673
Kossuth,1828,3944,24,2194,4,7994,489,844,25,1557,4,2919,10913
Lee,5308,4837,80,4184,8,14417,2368,1547,79,4000,28,8022,22439
Linn,42721,33070,739,34464,181,111175,15874,9112,666,22677,208,48537,159712
Louisa,973,2231,17,1343,0,4564,655,625,18,1409,6,2713,7277
Lucas,811,2235,16,1159,5,4226,311,621,14,879,2,1827,6053
Lyon,530,5126,10,769,1,6436,277,1298,11,691,3,2280,8716
Madison,2019,4184,64,2564,5,8836,602,1100,29,1661,9,3401,12237
Mahaska,1583,5806,64,2093,4,9550,893,1693,56,2293,11,4946,14496
Marion,3631,9003,87,4653,18,17392,1339,2196,68,3441,18,7062,24454
Marshall,4649,6422,91,4248,12,15422,2794,1731,68,4246,29,8868,24290
Mills,1362,4393,67,1445,12,7279,706,1618,71,1646,13,4054,11333
Mitchell,1217,2330,17,1637,1,5202,392,582,24,1039,10,2047,7249
Monona,1011,2135,25,1038,3,4212,286,491,14,560,7,1358,5570
Monroe,814,1844,10,1017,0,3685,320,480,16,726,4,1546,5231
Montgomery,752,2714,25,833,4,4328,432,1012,23,1329,12,2808,7136
Muscatine,4961,6897,89,5159,28,17134,3259,2298,115,5690,53,11415,28549
O'Brien,817,4846,36,1218,10,6927,429,1141,26,1068,6,2670,9597
Osceola,275,2089,7,527,1,2899,146,549,6,573,5,1279,4178
Page,1086,4301,27,1406,4,6824,552,1375,40,1470,9,3446,10270
Palo Alto,1234,1982,13,1134,3,4366,468,488,12,932,6,1906,6272
Plymouth,1985,7299,49,3093,8,12434,986,2075,52,2445,20,5578,18012
Pocahontas,597,1952,25,897,2,3473,233,435,11,674,8,1361,4834
Polk,94417,69559,1654,61946,326,227902,37283,19750,1294,42950,398,101675,329577
Pottawattamie,10521,18074,301,9555,75,38526,6494,7157,409,11188,142,25390,63916
Poweshiek,2746,3395,36,3128,12,9317,1797,833,39,2177,7,4853,14170
Ringgold,425,1678,8,382,3,2496,125,344,2,295,2,768,3264
Sac,783,2948,9,1156,3,4899,290,778,10,1083,6,2167,7066
Scott,26018,27145,474,26706,110,80453,14100,8475,510,23958,165,47208,127661
Shelby,1153,3482,31,1398,4,6068,473,865,19,1121,6,2484,8552
Sioux,1266,13450,30,2495,7,17248,772,2991,48,2173,16,6000,23248
Story,16158,13152,355,14067,78,43810,8023,5478,396,11892,110,25899,69709
Tama,2085,3244,33,2453,12,7827,876,709,23,1972,6,3586,11413
Taylor,429,1701,11,604,1,2746,176,449,17,551,4,1197,3943
Union,1099,2766,22,1677,2,5566,441,664,29,1526,5,2665,8231
Van Buren,562,1938,12,852,6,3370,215,520,10,767,5,1517,4887
Wapello,4339,5049,58,3579,13,13038,2508,1741,65,3826,35,8175,21213
Warren,8325,11796,176,8262,30,28589,2500,3037,137,5159,29,10862,39451
Washington,2487,5214,51,2888,12,10652,834,1367,59,2363,10,4633,15285
Wayne,498,1602,10,670,2,2782,219,371,8,456,2,1056,3838
Webster,4575,6562,86,4433,19,15675,2332,2095,86,4567,40,9120,24795
Winnebago,1148,2622,22,1549,2,5343,502,599,23,1393,3,2520,7863
Winneshiek,3645,4144,34,3520,7,11350,1049,645,27,1652,15,3388,14738
Woodbury,10023,16712,187,9266,51,36239,8010,6491,226,12057,87,26871,63110
Worth,955,1753,16,1155,3,3882,301,389,10,885,2,1587,5469
Wright,1101,2839,15,1472,2,5429,522,710,16,1182,7,2437,7866
Totals,"468,773","585,418","8,307","426,224","1,739","1,490,461","198,098","164,302","7,480","335,027","2,461","707,368","2,197,829"
