County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,707,1969,23,1154,2,3855,228,437,11,845,3,1524,5379
Adams,394,1021,6,625,2,2048,97,211,0,451,0,759,2807
Allamakee,1605,3528,22,1879,5,7039,502,888,21,1364,5,2780,9819
Appanoose,1295,2927,29,1515,4,5770,596,882,24,1424,9,2935,8705
Audubon,734,1674,12,725,3,3148,188,347,7,467,2,1011,4159
Benton,3195,5649,63,5049,12,13968,795,1043,49,2698,13,4598,18566
Black Hawk,21108,17956,350,17031,76,56521,10718,4970,265,13307,118,29378,85899
Boone,4109,5548,84,4572,17,14330,1118,1344,58,3040,15,5575,19905
Bremer,3304,4970,50,4852,11,13187,983,1081,28,2620,7,4719,17906
Buchanan,2730,3530,41,3713,4,10018,713,700,26,2553,7,3999,14017
Buena Vista,1583,3343,32,1901,10,6869,1537,1237,35,2265,17,5091,11960
Butler,1407,4050,32,1997,10,7496,400,835,26,1358,5,2624,10120
Calhoun,875,2446,27,1531,2,4881,298,546,15,891,5,1755,6636
Carroll,2481,4670,64,3728,9,10952,778,1021,33,2025,7,3864,14816
Cass,1106,3836,27,1518,8,6495,417,1034,24,1446,8,2929,9424
Cedar,2567,3971,60,3063,9,9670,689,772,31,1685,14,3191,12861
Cerro Gordo,6427,7517,87,6995,21,21047,2391,1878,72,5403,41,9785,30832
Cherokee,896,3536,18,1313,3,5766,400,746,13,1134,6,2299,8065
Chickasaw,1647,2425,16,1882,1,5971,426,510,20,1234,8,2198,8169
Clarke,954,1989,22,1117,5,4087,448,515,19,1050,11,2043,6130
Clay,1455,4589,46,1988,15,8093,605,1245,38,1623,6,3517,11610
Clayton,2338,3772,41,2787,9,8947,681,926,29,1606,12,3254,12201
Clinton,6517,8028,98,7505,24,22172,2913,2116,92,6267,38,11426,33598
Crawford,1304,2949,25,1675,6,5959,1031,952,28,1836,15,3862,9821
Dallas,16021,20218,335,18458,45,55077,4434,4629,221,9757,51,19092,74169
Davis,979,1935,13,785,4,3716,269,455,11,659,5,1399,5115
Decatur,760,1688,16,779,4,3247,420,450,13,690,5,1578,4825
Delaware,1937,4255,35,3173,9,9409,506,748,17,1585,7,2863,12272
Des Moines,6199,6121,103,4953,21,17397,3281,2026,100,4808,30,10245,27642
Dickinson,2023,5731,45,2977,9,10785,683,1346,53,1718,9,3809,14594
Dubuque,18905,16075,271,13299,53,48603,6724,4503,255,9738,79,21299,69902
Emmet,1069,1803,15,1430,8,4325,432,516,21,1202,0,2171,6496
Fayette,2395,3897,30,2823,11,9156,779,829,28,1654,13,3303,12459
Floyd,1911,2583,33,2667,4,7198,811,651,29,1997,11,3499,10697
Franklin,836,2578,11,1135,3,4563,351,552,21,1069,7,2000,6563
Fremont,637,2076,8,636,4,3361,297,724,22,614,9,1666,5027
Greene,1095,2119,32,1276,8,4530,393,560,19,884,5,1861,6391
Grundy,1163,3720,28,1843,4,6758,395,743,17,1084,3,2242,9000
Guthrie,1261,2935,38,1821,3,6058,373,609,16,1207,1,2206,8264
Hamilton,1617,3559,30,2011,3,7220,613,832,24,1399,10,2878,10098
Hancock,1014,3125,22,1323,3,5487,373,720,14,1110,12,2229,7716
Hardin,1797,4153,35,1910,7,7902,695,1180,30,1663,8,3576,11478
Harrison,1376,3976,42,1518,7,6919,441,838,26,847,12,2164,9083
Henry,1877,4374,48,2591,8,8898,764,1198,47,2401,12,4422,13320
Howard,1200,1504,19,1764,1,4488,311,388,13,1117,5,1834,6322
Humboldt,814,2476,18,1502,3,4813,264,567,15,959,4,1809,6622
Ida,526,1923,7,921,2,3379,198,487,5,757,3,1450,4829
Iowa,1983,4131,41,2912,7,9074,629,843,32,1823,10,3337,12411
Jackson,3383,3752,38,2996,7,10176,1032,816,19,2483,10,4360,14536
Jasper,5547,7402,84,5547,15,18595,1995,1823,61,4090,19,7988,26583
Jefferson,3046,2942,45,1754,16,7803,1206,773,34,1521,17,3551,11354
Johnson,39296,13833,394,21292,127,74942,14202,5176,352,15057,131,34918,109860
Jones,2404,4206,33,3408,2,10053,662,881,28,2403,9,3983,14036
Keokuk,1067,2336,18,1209,6,4636,434,656,12,965,2,2069,6705
Kossuth,1829,3976,23,2230,4,8062,480,826,25,1538,4,2873,10935
Lee,5334,4873,81,4274,8,14570,2323,1526,78,3936,28,7891,22461
Linn,42777,33210,751,34970,185,111893,15731,9021,654,22469,207,48082,159975
Louisa,973,2239,17,1364,0,4593,646,619,18,1398,6,2687,7280
Lucas,818,2252,17,1175,5,4267,298,608,13,863,2,1784,6051
Lyon,530,5155,11,787,1,6484,273,1274,11,677,3,2238,8722
Madison,2027,4210,66,2651,5,8959,591,1092,29,1636,9,3357,12316
Mahaska,1595,5852,66,2154,4,9671,878,1648,55,2247,11,4839,14510
Marion,3631,9028,89,4733,19,17500,1324,2166,68,3415,18,6991,24491
Marshall,4662,6428,92,4292,12,15486,2771,1715,68,4217,29,8800,24286
Mills,1375,4487,71,1511,12,7456,678,1526,65,1580,13,3862,11318
Mitchell,1222,2334,17,1669,1,5243,384,571,24,1019,10,2008,7251
Monona,1028,2177,28,1080,3,4316,269,460,13,533,7,1282,5598
Monroe,821,1866,10,1087,0,3784,306,455,15,688,4,1468,5252
Montgomery,762,2747,24,862,4,4399,420,978,23,1300,12,2733,7132
Muscatine,5019,6959,92,5278,31,17379,3197,2258,114,5614,51,11234,28613
O'Brien,828,4912,37,1277,9,7063,418,1079,26,1035,6,2564,9627
Osceola,278,2112,8,547,1,2946,141,526,6,562,4,1239,4185
Page,1108,4407,27,1484,4,7030,531,1282,38,1422,9,3282,10312
Palo Alto,1253,2014,13,1168,2,4450,448,474,12,906,6,1846,6296
Plymouth,2009,7391,51,3188,9,12648,957,1992,52,2374,20,5395,18043
Pocahontas,595,1961,25,909,2,3492,231,422,11,670,8,1342,4834
Polk,94944,70143,1682,63484,336,230589,36530,19264,1268,42220,393,99675,330264
Pottawattamie,10620,18312,307,9835,79,39153,6377,6943,406,10977,140,24843,63996
Poweshiek,2774,3415,37,3194,12,9432,1780,821,38,2149,7,4795,14227
Ringgold,427,1687,8,392,3,2517,123,340,2,294,2,761,3278
Sac,782,2948,9,1159,3,4901,290,774,10,1076,6,2156,7057
Scott,26092,27288,481,27177,112,81150,13963,8394,507,23779,164,46807,127957
Shelby,1171,3537,31,1455,4,6198,449,817,19,1081,6,2372,8570
Sioux,1271,13523,31,2574,8,17407,763,2950,46,2147,15,5921,23328
Story,16193,13240,363,14305,79,44180,7934,5394,391,11754,109,25582,69762
Tama,2098,3261,36,2522,12,7929,854,686,21,1923,6,3490,11419
Taylor,430,1706,11,617,2,2766,176,445,17,547,3,1188,3954
Union,1102,2768,23,1685,2,5580,441,660,29,1523,5,2658,8238
Van Buren,566,1946,12,881,6,3411,208,508,10,747,5,1478,4889
Wapello,4355,5091,60,3677,15,13198,2463,1710,63,3750,33,8019,21217
Warren,8326,11865,174,8376,29,28770,2477,3010,135,5113,28,10763,39533
Washington,2494,5234,50,2906,12,10696,827,1352,59,2346,10,4594,15290
Wayne,501,1613,9,683,2,2808,212,361,8,456,2,1039,3847
Webster,4626,6643,88,4566,19,15942,2261,2034,83,4463,40,8881,24823
Winnebago,1148,2641,23,1590,2,5404,494,585,23,1372,3,2477,7881
Winneshiek,3656,4167,36,3577,7,11443,1034,630,25,1623,15,3327,14770
Woodbury,10050,16723,189,9311,51,36324,7971,6468,224,12015,87,26765,63089
Worth,957,1756,16,1184,3,3916,293,375,10,860,2,1540,5456
Wright,1126,2889,17,1545,2,5579,496,667,14,1133,7,2317,7896
Totals,"471,059","590,305","8,471","436,213","1,793","1,507,841","194,630","160,461","7,345","329,300","2,426","694,162","2,202,003"
