County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,702,2024,20,1195,3,3944,223,416,12,812,3,1466,5410
Adams,385,1025,6,647,1,2064,92,221,0,447,0,760,2824
Allamakee,1571,3621,22,1878,6,7098,504,875,20,1349,3,2751,9849
Appanoose,1280,3037,29,1605,5,5956,551,835,23,1359,9,2777,8733
Audubon,714,1693,16,727,3,3153,183,349,8,466,2,1008,4161
Benton,3092,5844,65,5134,13,14148,790,1018,49,2614,13,4484,18632
Black Hawk,20687,18430,339,17141,76,56673,10636,4963,261,13199,119,29178,85851
Boone,3971,5706,83,4714,16,14490,1115,1344,59,3009,13,5540,20030
Bremer,3255,5159,51,4998,11,13474,944,1034,26,2507,7,4518,17992
Buchanan,2687,3648,43,3759,4,10141,691,690,25,2504,6,3916,14057
Buena Vista,1595,3464,30,1972,12,7073,1488,1203,35,2207,14,4947,12020
Butler,1382,4108,31,2020,9,7550,403,824,27,1321,5,2580,10130
Calhoun,868,2544,25,1556,2,4995,276,528,14,861,5,1684,6679
Carroll,2404,4851,70,3797,11,11133,762,997,34,1961,7,3761,14894
Cass,1085,3895,22,1527,9,6538,413,1019,24,1421,7,2884,9422
Cedar,2519,4064,61,3112,7,9763,697,762,29,1669,15,3172,12935
Cerro Gordo,6353,7832,88,7162,20,21455,2359,1865,71,5317,39,9651,31106
Cherokee,891,3593,21,1316,4,5825,388,735,13,1120,5,2261,8086
Chickasaw,1616,2526,14,1941,1,6098,407,490,20,1185,9,2111,8209
Clarke,921,2044,22,1161,6,4154,442,499,20,1019,11,1991,6145
Clay,1431,4652,44,2047,15,8189,597,1256,39,1584,6,3482,11671
Clayton,2292,3950,45,2862,8,9157,650,895,26,1526,12,3109,12266
Clinton,6378,8341,108,7674,27,22528,2830,2083,90,6120,39,11162,33690
Crawford,1288,3043,27,1701,4,6063,1005,919,27,1779,17,3747,9810
Dallas,15598,21195,308,18487,51,55639,4706,4821,229,9945,51,19752,75391
Davis,947,1977,13,798,4,3739,267,459,9,647,5,1387,5126
Decatur,720,1717,16,763,3,3219,418,457,12,690,5,1582,4801
Delaware,1914,4334,32,3211,9,9500,489,741,16,1565,7,2818,12318
Des Moines,6073,6363,101,5368,28,17933,3159,1979,98,4630,24,9890,27823
Dickinson,1975,5881,44,3044,9,10953,689,1352,51,1683,9,3784,14737
Dubuque,18495,16675,261,13641,54,49126,6676,4491,255,9622,78,21122,70248
Emmet,1022,1912,14,1421,7,4376,435,513,21,1180,1,2150,6526
Fayette,2341,4046,31,2892,14,9324,745,788,28,1603,10,3174,12498
Floyd,1887,2657,31,2748,3,7326,776,641,28,1920,12,3377,10703
Franklin,815,2598,11,1160,3,4587,348,564,21,1047,7,1987,6574
Fremont,649,2165,11,683,4,3512,277,678,21,583,9,1568,5080
Greene,1065,2237,34,1371,12,4719,367,527,17,824,4,1739,6458
Grundy,1134,3785,30,1844,4,6797,379,738,17,1066,3,2203,9000
Guthrie,1225,3020,40,1865,3,6153,369,582,16,1168,1,2136,8289
Hamilton,1572,3621,31,2078,3,7305,605,809,24,1370,9,2817,10122
Hancock,981,3168,22,1348,3,5522,376,733,13,1108,12,2242,7764
Hardin,1776,4276,35,1985,6,8078,684,1114,29,1565,8,3400,11478
Harrison,1345,3996,43,1505,10,6899,433,839,27,839,11,2149,9048
Henry,1822,4432,48,2645,10,8957,769,1194,44,2376,11,4394,13351
Howard,1154,1571,19,1815,1,4560,306,375,13,1087,4,1785,6345
Humboldt,790,2546,19,1517,3,4875,267,566,14,965,4,1816,6691
Ida,516,1980,7,949,1,3453,188,468,5,727,3,1391,4844
Iowa,1939,4217,42,2976,7,9181,637,826,32,1787,10,3292,12473
Jackson,3289,3902,37,3032,9,10269,1017,814,17,2456,10,4314,14583
Jasper,5423,7698,82,5587,14,18804,1959,1795,58,4049,18,7879,26683
Jefferson,2997,3025,52,1820,14,7908,1203,726,31,1494,18,3472,11380
Johnson,38019,14642,398,21706,126,74891,14765,5226,352,15239,133,35715,110606
Jones,2363,4291,33,3508,6,10201,633,872,28,2340,7,3880,14081
Keokuk,1056,2419,20,1202,7,4704,410,618,11,916,2,1957,6661
Kossuth,1782,4031,24,2273,6,8116,487,828,25,1508,4,2852,10968
Lee,5199,5060,84,4374,9,14726,2290,1507,77,3896,27,7797,22523
Linn,41994,34566,735,36281,185,113761,15578,8857,629,21968,202,47234,160995
Louisa,956,2302,19,1437,0,4714,617,598,18,1353,6,2592,7306
Lucas,794,2258,16,1208,5,4281,286,633,13,842,2,1776,6057
Lyon,539,5347,10,848,1,6745,252,1142,9,640,3,2046,8791
Madison,1990,4389,67,2773,5,9224,577,1058,29,1561,8,3233,12457
Mahaska,1554,5912,67,2225,4,9762,874,1643,57,2224,11,4809,14571
Marion,3591,9408,90,5068,19,18176,1271,2035,63,3244,18,6631,24807
Marshall,4643,6622,87,4601,18,15971,2678,1624,69,4060,28,8459,24430
Mills,1370,4638,70,1566,14,7658,664,1505,63,1550,10,3792,11450
Mitchell,1210,2370,16,1661,1,5258,373,573,26,988,10,1970,7228
Monona,1009,2240,29,1089,2,4369,262,453,14,532,7,1268,5637
Monroe,807,1924,14,1101,0,3846,303,443,14,676,4,1440,5286
Montgomery,739,2771,23,863,3,4399,422,960,23,1276,12,2693,7092
Muscatine,4936,7131,91,5324,36,17518,3193,2303,121,5602,51,11270,28788
O'Brien,812,4940,38,1282,9,7081,418,1066,27,1033,6,2550,9631
Osceola,271,2120,9,567,1,2968,139,523,5,548,4,1219,4187
Page,1082,4467,30,1576,6,7161,533,1269,39,1388,7,3236,10397
Palo Alto,1213,2122,14,1194,4,4547,428,454,11,879,5,1777,6324
Plymouth,1971,7539,43,3262,11,12826,954,1962,52,2330,19,5317,18143
Pocahontas,592,2015,27,958,2,3594,221,389,8,616,7,1241,4835
Polk,92385,73250,1624,64801,347,232407,36967,19327,1260,42143,387,100084,332491
Pottawattamie,10590,18918,341,10113,86,40048,6267,6872,400,10810,136,24485,64533
Poweshiek,2730,3540,35,3289,11,9605,1757,796,37,2085,5,4680,14285
Ringgold,418,1694,9,389,3,2513,122,331,2,289,2,746,3259
Sac,776,3131,8,1345,4,5264,271,679,9,979,6,1944,7208
Scott,25764,28509,471,28293,123,83160,13798,8258,504,23302,155,46017,129177
Shelby,1146,3585,30,1447,4,6212,439,815,20,1073,6,2353,8565
Sioux,1305,13828,29,2754,9,17925,714,2764,46,2055,13,5592,23517
Story,15521,13814,343,14241,77,43996,7937,5384,393,11789,109,25612,69608
Tama,2057,3304,33,2508,14,7916,845,690,21,1903,5,3464,11380
Taylor,425,1728,9,629,3,2794,165,425,18,524,2,1134,3928
Union,1076,2802,25,1870,3,5776,426,639,28,1452,5,2550,8326
Van Buren,557,1968,12,911,7,3455,202,504,10,725,5,1446,4901
Wapello,4229,5193,63,3833,16,13334,2454,1713,63,3682,32,7944,21278
Warren,8173,12423,171,8448,27,29242,2478,2973,141,5036,30,10658,39900
Washington,2468,5351,52,2939,12,10822,815,1315,58,2286,10,4484,15306
Wayne,486,1636,11,705,2,2840,207,358,8,439,1,1013,3853
Webster,4522,6869,90,4596,19,16096,2231,2007,80,4381,42,8741,24837
Winnebago,1109,2671,19,1646,2,5447,499,597,23,1354,3,2476,7923
Winneshiek,3548,4245,34,3598,10,11435,1048,624,26,1613,15,3326,14761
Woodbury,9933,17243,193,9923,52,37344,7831,6277,214,11704,84,26110,63454
Worth,935,1801,17,1173,3,3929,287,378,10,851,2,1528,5457
Wright,1110,2889,19,1584,2,5604,491,658,13,1112,7,2281,7885
Totals,"460,586","610,004","8,388","447,181","1,878","1,528,037","193,869","158,335","7,265","324,148","2,365","685,982","2,214,019"
