County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,666,1808,16,935,2,3427,289,581,12,1016,3,1901,5328
Adams,372,933,4,513,1,1823,133,274,0,534,0,941,2764
Allamakee,1476,3237,16,1419,3,6151,666,1182,28,1655,7,3538,9689
Appanoose,1215,2659,24,1234,3,5135,726,1139,26,1624,10,3525,8660
Audubon,653,1508,10,540,2,2713,282,525,10,628,2,1447,4160
Benton,2980,5264,52,4092,11,12399,1104,1416,56,3401,18,5995,18394
Black Hawk,19946,16661,306,14109,62,51084,12439,6337,311,15531,126,34744,85828
Boone,3792,5026,71,3491,16,12396,1545,1843,68,3768,17,7241,19637
Bremer,3130,4641,44,4011,11,11837,1249,1453,36,3272,9,6019,17856
Buchanan,2588,3301,37,2969,3,8898,941,931,30,3157,8,5067,13965
Buena Vista,1347,2966,26,1463,6,5808,1782,1597,41,2639,19,6078,11886
Butler,1295,3697,24,1569,7,6592,554,1196,31,1728,6,3515,10107
Calhoun,816,2249,22,1250,1,4338,402,743,21,1136,5,2307,6645
Carroll,2260,4057,48,2911,9,9285,1071,1565,43,2720,8,5407,14692
Cass,1017,3489,23,1208,5,5742,541,1403,26,1741,9,3720,9462
Cedar,2389,3625,49,2447,10,8520,929,1142,38,2189,15,4313,12833
Cerro Gordo,5997,6967,66,5612,15,18657,3019,2412,83,6503,48,12065,30722
Cherokee,763,3146,14,970,3,4896,562,1173,16,1404,6,3161,8057
Chickasaw,1567,2243,13,1488,1,5312,580,706,24,1533,8,2851,8163
Clarke,900,1840,9,889,4,3642,520,652,25,1217,12,2426,6068
Clay,1323,4157,38,1545,11,7074,781,1689,43,2032,7,4552,11626
Clayton,2158,3413,32,2344,8,7955,893,1201,33,1993,13,4133,12088
Clinton,5985,7216,79,5707,17,19004,3647,2882,102,7558,46,14235,33239
Crawford,1123,2578,18,1278,3,5000,1265,1324,34,2235,16,4874,9874
Dallas,14969,18278,292,14785,32,48356,5553,6372,265,12130,58,24378,72734
Davis,911,1764,9,596,3,3283,362,631,14,798,7,1812,5095
Decatur,709,1574,14,654,4,2955,499,564,16,792,5,1876,4831
Delaware,1749,3849,28,2538,7,8171,742,1122,21,2122,8,4015,12186
Des Moines,5690,5556,87,3711,16,15060,4018,2593,106,5621,34,12372,27432
Dickinson,1813,4921,35,2164,7,8940,925,2069,64,2336,10,5404,14344
Dubuque,17436,14506,216,10084,41,42283,8802,6108,299,11984,93,27286,69569
Emmet,954,1605,14,1160,7,3740,591,703,22,1426,1,2743,6483
Fayette,2210,3504,25,2218,8,7965,1038,1222,31,2106,17,4414,12379
Floyd,1780,2355,26,2121,4,6286,1007,880,32,2433,11,4363,10649
Franklin,739,2295,9,868,2,3913,476,836,25,1281,7,2625,6538
Fremont,560,1861,6,464,3,2894,383,936,23,729,9,2080,4974
Greene,1050,1932,23,1007,5,4017,504,751,20,1096,7,2378,6395
Grundy,1052,3330,24,1399,5,5810,538,1142,24,1449,3,3156,8966
Guthrie,1209,2749,34,1463,2,5457,479,812,21,1467,2,2781,8238
Hamilton,1486,3245,28,1487,2,6248,801,1205,29,1747,11,3793,10041
Hancock,908,2805,14,997,2,4726,515,1054,18,1374,14,2975,7701
Hardin,1660,3775,26,1554,5,7020,900,1541,33,1989,11,4474,11494
Harrison,1184,3510,35,1122,5,5856,660,1310,33,1209,13,3225,9081
Henry,1737,3922,38,1937,7,7641,983,1672,55,2923,14,5647,13288
Howard,1070,1345,17,1276,1,3709,474,539,17,1481,5,2516,6225
Humboldt,751,2268,17,1165,3,4204,365,783,17,1237,4,2406,6610
Ida,488,1765,4,714,2,2973,257,668,7,929,3,1864,4837
Iowa,1851,3836,35,2341,5,8068,809,1162,40,2257,12,4280,12348
Jackson,3150,3380,28,2248,5,8811,1402,1195,22,3096,11,5726,14537
Jasper,5127,6764,68,4316,14,16289,2609,2463,79,4982,19,10152,26441
Jefferson,2940,2745,31,1339,13,7068,1409,1011,46,1777,21,4264,11332
Johnson,37666,12625,344,17335,105,68075,16532,6452,384,17516,142,41026,109101
Jones,2262,3820,31,2771,1,8885,863,1239,36,2909,10,5057,13942
Keokuk,979,2122,11,998,3,4113,551,861,14,1151,4,2581,6694
Kossuth,1697,3662,22,1754,3,7138,681,1142,26,1901,5,3755,10893
Lee,4836,4388,63,3315,7,12609,2991,1963,97,4646,30,9727,22336
Linn,40765,30931,661,28594,158,101109,18870,11663,760,26778,227,58298,159407
Louisa,865,1992,12,983,1,3853,803,876,19,1664,6,3368,7221
Lucas,764,2042,12,925,5,3748,387,791,16,1057,2,2253,6001
Lyon,434,4469,3,526,0,5432,369,1913,13,867,4,3166,8598
Madison,1934,3891,57,2088,3,7973,744,1377,35,2004,12,4172,12145
Mahaska,1474,5409,55,1697,4,8639,1056,2103,66,2643,11,5879,14518
Marion,3373,8373,74,3641,12,15473,1721,2877,76,4164,23,8861,24334
Marshall,4267,5946,63,3295,9,13580,3301,2273,89,4847,34,10544,24124
Mills,1208,3836,49,1082,13,6188,881,2127,85,1939,14,5046,11234
Mitchell,1124,2133,12,1323,1,4593,508,793,25,1303,10,2639,7232
Monona,892,1908,19,832,2,3653,430,681,16,743,8,1878,5531
Monroe,757,1658,7,782,0,3204,412,653,18,900,4,1987,5191
Montgomery,691,2470,23,672,4,3860,523,1297,24,1486,12,3342,7202
Muscatine,4359,6074,74,3888,20,14415,4019,3144,124,6768,59,14114,28529
O'Brien,699,4352,31,933,7,6022,562,1633,29,1323,8,3555,9577
Osceola,224,1861,6,372,1,2464,206,779,6,709,5,1705,4169
Page,990,3846,23,1052,4,5915,669,1837,45,1734,10,4295,10210
Palo Alto,1137,1811,10,905,3,3866,605,631,13,1109,7,2365,6231
Plymouth,1714,6500,39,2397,4,10654,1298,2858,60,3048,23,7287,17941
Pocahontas,541,1763,22,749,1,3076,322,630,12,879,9,1852,4928
Polk,90289,64543,1448,51182,265,207727,43312,25016,1463,50130,433,120354,328081
Pottawattamie,9224,15708,218,7366,53,32569,7861,9318,462,13101,161,30903,63472
Poweshiek,2609,3110,31,2530,8,8288,1967,1092,45,2662,8,5774,14062
Ringgold,396,1526,5,304,2,2233,162,503,6,346,3,1020,3253
Sac,690,2666,10,933,3,4302,406,1109,11,1290,6,2822,7124
Scott,24063,24765,382,21054,87,70351,16641,10946,575,28101,189,56452,126803
Shelby,987,3082,23,1040,3,5135,681,1282,23,1436,7,3429,8564
Sioux,1126,12138,27,1884,6,15181,938,4329,51,2638,19,7975,23156
Story,15501,12176,311,11913,67,39968,8889,6424,427,13383,117,29240,69208
Tama,1974,3095,30,2060,11,7170,1044,896,26,2290,7,4263,11433
Taylor,395,1546,12,484,1,2438,229,618,18,662,5,1532,3970
Union,1067,2587,15,1321,1,4991,528,873,34,1787,6,3228,8219
Van Buren,520,1786,13,683,5,3007,284,689,11,883,6,1873,4880
Wapello,4034,4599,46,2846,12,11537,2933,2177,71,4344,37,9562,21099
Warren,7715,10807,150,6764,25,25461,3156,3880,160,6174,31,13401,38862
Washington,2314,4832,42,2376,10,9574,1045,1787,67,2826,12,5737,15311
Wayne,465,1500,8,560,2,2535,264,478,10,549,2,1303,3838
Webster,4191,5855,69,3474,9,13598,2852,2683,91,5289,46,10961,24559
Winnebago,1083,2431,20,1238,3,4775,615,799,26,1620,3,3063,7838
Winneshiek,3431,3791,24,2828,4,10078,1304,1043,34,2248,20,4649,14727
Woodbury,9158,15252,146,7170,37,31763,9312,8103,261,13623,102,31401,63164
Worth,876,1628,14,921,3,3442,407,529,11,1100,2,2049,5491
Wright,975,2564,13,1148,2,4702,699,985,16,1450,8,3158,7860
Totals,"439,676","535,989","7,004","344,710","1,414","1,328,793","237,854","214,862","8,503","396,005","2,737","859,961","2,188,754"
