County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,874,2268,1578,24,4744,101,180,405,8,694,5438
Adams,469,1154,844,6,2473,50,74,235,0,359,2832
Allamakee,1932,4085,2416,43,8476,275,396,716,12,1399,9875
Appanoose,1692,3522,2217,56,7487,347,350,722,8,1427,8914
Audubon,870,1884,927,17,3698,87,167,260,4,518,4216
Benton,3752,6305,6148,116,16321,435,443,1395,25,2298,18619
Black Hawk,28371,21193,23711,619,73894,5069,2265,6506,186,14026,87920
Boone,4912,6410,5746,135,17203,566,601,1654,46,2867,20070
Bremer,3985,5747,6124,85,15941,518,433,1238,19,2208,18149
Buchanan,3274,4008,4958,64,12304,319,275,1287,14,1895,14199
Buena Vista,2495,4114,3004,75,9688,740,527,1245,19,2531,12219
Butler,1716,4602,2637,59,9014,182,320,712,10,1224,10238
Calhoun,1123,2812,1968,40,5943,142,198,448,10,798,6741
Carroll,3049,5214,4647,90,13000,377,426,1018,19,1840,14840
Cass,1408,4482,2331,46,8267,198,469,693,17,1377,9644
Cedar,3096,4508,3916,93,11613,296,319,766,24,1405,13018
Cerro Gordo,8107,8650,9594,164,26515,1152,896,2823,47,4918,31433
Cherokee,1174,4123,1813,28,7138,214,309,682,9,1214,8352
Chickasaw,1999,2824,2397,36,7256,224,168,663,10,1065,8321
Clarke,1250,2309,1616,34,5209,209,219,527,16,971,6180
Clay,1867,5419,2803,82,10171,292,522,902,18,1734,11905
Clayton,2803,4298,3639,67,10807,303,345,738,13,1399,12206
Clinton,8455,9387,10285,179,28306,1543,872,3229,65,5709,34015
Crawford,1984,3580,2741,56,8361,469,354,873,21,1717,10078
Dallas,18770,22778,22370,497,64415,2081,2203,4508,148,8940,73355
Davis,1172,2229,1122,24,4547,147,195,292,10,644,5191
Decatur,1021,2006,1193,26,4246,251,191,306,15,763,5009
Delaware,2304,4766,4103,51,11224,238,260,634,14,1146,12370
Des Moines,8301,7318,6973,188,22780,1700,898,2421,56,5075,27855
Dickinson,2480,6488,3716,95,12779,340,603,910,25,1878,14657
Dubuque,23756,19049,18027,514,61346,3389,2019,4612,153,10173,71519
Emmet,1372,2125,1993,39,5529,258,275,727,6,1266,6795
Fayette,2978,4451,3577,60,11066,385,332,806,24,1547,12613
Floyd,2453,3006,3611,56,9126,516,329,1127,19,1991,11117
Franklin,1102,2954,1707,37,5800,159,221,470,6,856,6656
Fremont,820,2553,914,32,4319,157,282,325,15,779,5098
Greene,1415,2523,1670,51,5659,179,202,476,7,864,6523
Grundy,1477,4254,2302,44,8077,156,274,543,8,981,9058
Guthrie,1521,3319,2361,51,7252,195,257,604,7,1063,8315
Hamilton,2081,4177,2511,56,8825,281,343,733,14,1371,10196
Hancock,1295,3632,1875,37,6839,172,266,538,13,989,7828
Hardin,2297,4933,2785,61,10076,371,449,887,17,1724,11800
Harrison,1768,4667,2150,77,8662,105,187,193,11,496,9158
Henry,2390,5191,3696,81,11358,542,644,1571,32,2789,14147
Howard,1435,1774,2277,31,5517,154,120,492,9,775,6292
Humboldt,1041,2888,1997,35,5961,119,218,417,8,762,6723
Ida,676,2283,1307,12,4278,97,189,352,7,645,4923
Iowa,2432,4747,3782,67,11028,296,333,831,27,1487,12515
Jackson,4165,4309,4100,55,12629,497,323,1285,8,2113,14742
Jasper,7003,8669,7452,151,23275,913,678,1880,28,3499,26774
Jefferson,3832,3502,2400,83,9817,659,333,758,27,1777,11594
Johnson,48398,17003,28479,771,94651,9371,3611,8875,313,22170,116821
Jones,2893,4779,4673,64,12409,296,329,1104,16,1745,14154
Keokuk,1356,2786,1724,29,5895,216,228,466,5,915,6810
Kossuth,2248,4607,3026,44,9925,199,284,689,13,1185,11110
Lee,6923,5847,5997,148,18915,1209,599,2216,54,4078,22993
Linn,53877,39356,45710,1466,140409,7576,4381,10409,427,22793,163202
Louisa,1439,2679,2011,30,6159,277,222,678,9,1186,7345
Lucas,1034,2626,1584,28,5272,151,226,420,7,804,6076
Lyon,704,5992,1068,15,7779,123,439,334,6,902,8681
Madison,2492,4952,3439,86,10969,294,420,715,17,1446,12415
Mahaska,2186,7019,3310,115,12630,427,616,1166,21,2230,14860
Marion,4600,10486,6362,150,21598,655,901,1503,26,3085,24683
Marshall,6653,7589,6085,146,20473,1136,806,2244,53,4239,24712
Mills,1805,5417,2268,123,9613,312,628,775,37,1752,11365
Mitchell,1510,2749,2158,36,6453,194,230,517,13,954,7407
Monona,1313,2530,1536,39,5418,214,211,437,16,878,6296
Monroe,1052,2174,1405,19,4650,149,173,290,11,623,5273
Montgomery,1067,3433,1600,47,6147,199,408,645,13,1265,7412
Muscatine,7015,8278,7938,207,23438,1560,1074,2931,76,5641,29079
O'Brien,1100,5587,1717,53,8457,229,511,581,18,1339,9796
Osceola,376,2472,819,14,3681,68,198,284,4,554,4235
Page,1438,5263,2098,63,8862,279,532,793,18,1622,10484
Palo Alto,1597,2299,1626,22,5544,189,165,447,11,812,6356
Plymouth,2679,8716,4406,102,15903,433,791,1142,30,2396,18299
Pocahontas,746,2216,1247,33,4242,131,179,364,9,683,4925
Polk,120344,82969,83877,2934,290124,17112,8653,18559,790,45114,335238
Pottawattamie,14408,22278,15103,642,52431,3232,3222,5921,268,12643,65074
Poweshiek,3640,3915,4179,77,11811,1322,370,1139,19,2850,14661
Ringgold,497,1943,521,14,2975,69,121,148,2,340,3315
Sac,1004,3552,1736,24,6316,134,253,519,5,911,7227
Scott,34551,32028,37096,917,104592,8461,4997,14456,372,28286,132878
Shelby,1529,4099,2092,41,7761,200,320,443,16,979,8740
Sioux,1836,15618,3701,81,21236,292,1113,854,27,2286,23522
Story,20629,15972,19493,676,56770,4875,3270,6750,309,15204,71974
Tama,2743,3767,3495,62,10067,346,273,953,9,1581,11648
Taylor,566,2042,929,29,3566,85,162,264,7,518,4084
Union,1417,3234,2318,44,7013,231,265,838,15,1349,8362
Van Buren,734,2304,1221,32,4291,112,217,359,6,694,4985
Wapello,5943,6178,5432,128,17681,1286,720,1948,43,3997,21678
Warren,10058,13742,10932,292,35024,1089,1188,2190,85,4552,39576
Washington,3051,6160,4186,104,13501,388,553,1107,39,2087,15588
Wayne,656,1875,938,19,3488,95,137,205,3,440,3928
Webster,6097,7796,6576,158,20627,1234,912,2472,60,4678,25305
Winnebago,1503,3049,2244,43,6839,248,258,727,10,1243,8082
Winneshiek,4294,4626,4347,59,13326,700,316,952,26,1994,15320
Woodbury,15301,21020,15014,417,51752,3778,2792,5991,139,12700,64452
Worth,1199,2053,1684,27,4963,120,143,408,4,675,5638
Wright,1504,3326,2085,29,6944,232,294,530,12,1068,8012
Totals,"602,019","693,890","591,516","15,424","1,902,849","99,993","72,463","166,193","4,823","343,472","2,246,321"
