County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,721,2049,22,1195,2,3989,212,400,12,790,3,1417,5406
Adams,385,1041,6,651,1,2084,88,206,0,437,0,731,2815
Allamakee,1429,4069,28,1685,7,7218,484,818,20,1314,3,2639,9857
Appanoose,1259,3194,31,1564,5,6053,536,803,22,1331,9,2701,8754
Audubon,714,1725,17,717,3,3176,183,334,9,454,2,982,4158
Benton,2944,6414,74,4856,11,14299,768,985,47,2542,13,4355,18654
Black Hawk,20817,18574,361,17255,76,57083,10458,4832,257,13013,117,28677,85760
Boone,3964,5823,91,4767,16,14661,1080,1303,59,2962,13,5417,20078
Bremer,3267,5181,54,5071,12,13585,919,1002,26,2467,7,4421,18006
Buchanan,2753,3648,55,3759,5,10220,669,664,25,2460,5,3823,14043
Buena Vista,1600,3510,30,2008,12,7160,1458,1169,35,2185,14,4861,12021
Butler,1389,4170,32,2028,9,7628,391,789,27,1302,5,2514,10142
Calhoun,829,2759,21,1465,3,5077,270,502,12,827,4,1615,6692
Carroll,2337,5133,90,3613,11,11184,750,977,33,1938,7,3705,14889
Cass,1084,3928,27,1537,9,6585,403,1000,23,1406,7,2839,9424
Cedar,2477,4219,63,3097,7,9863,676,742,27,1634,14,3093,12956
Cerro Gordo,6330,8405,126,6931,21,21813,2306,1792,70,5191,39,9398,31211
Cherokee,844,3868,26,1219,4,5961,377,677,13,1094,5,2166,8127
Chickasaw,1596,2597,19,1940,1,6153,398,479,20,1167,7,2071,8224
Clarke,882,2213,28,1060,6,4189,434,473,20,997,10,1934,6123
Clay,1422,4730,49,2022,14,8237,582,1224,39,1567,7,3419,11656
Clayton,2114,4550,44,2595,7,9310,619,840,23,1477,12,2971,12281
Clinton,6398,8437,113,7817,32,22797,2778,2019,87,6003,39,10926,33723
Crawford,1170,3477,30,1502,4,6183,957,927,28,1730,16,3658,9841
Dallas,15921,21410,313,18786,53,56483,4586,4636,225,9717,50,19214,75697
Davis,806,2363,19,664,4,3856,245,420,9,607,4,1285,5141
Decatur,687,1877,20,684,4,3272,406,424,11,673,5,1519,4791
Delaware,1919,4388,34,3238,7,9586,480,721,16,1529,7,2753,12339
Des Moines,6091,6411,105,5499,28,18134,3094,1939,96,4559,24,9712,27846
Dickinson,1969,6005,51,3060,9,11094,672,1308,48,1644,9,3681,14775
Dubuque,18394,17100,272,13698,55,49519,6559,4392,252,9479,74,20756,70275
Emmet,969,2168,19,1314,7,4477,420,485,20,1146,0,2071,6548
Fayette,2224,4430,34,2759,13,9460,722,742,27,1557,10,3058,12518
Floyd,1895,2677,32,2746,6,7356,763,628,29,1889,12,3321,10677
Franklin,813,2638,15,1150,3,4619,342,545,20,1036,6,1949,6568
Fremont,637,2230,14,673,4,3558,269,653,21,566,9,1518,5076
Greene,1057,2300,33,1365,10,4765,358,510,17,813,4,1702,6467
Grundy,1111,3927,31,1800,4,6873,370,705,17,1048,3,2143,9016
Guthrie,1243,3040,44,1889,3,6219,359,570,16,1148,1,2094,8313
Hamilton,1521,3852,30,2014,3,7420,590,758,23,1330,9,2710,10130
Hancock,979,3225,23,1347,3,5577,368,704,13,1094,12,2191,7768
Hardin,1797,4303,37,1992,7,8136,667,1091,27,1552,8,3345,11481
Harrison,1319,4189,52,1444,9,7013,418,798,25,815,11,2067,9080
Henry,1756,4603,48,2619,10,9036,743,1154,41,2350,11,4299,13335
Howard,1157,1592,20,1833,1,4603,296,366,13,1070,4,1749,6352
Humboldt,766,2652,21,1491,4,4934,260,548,14,938,4,1764,6698
Ida,498,2047,12,933,1,3491,187,448,5,716,3,1359,4850
Iowa,1939,4395,47,2897,6,9284,611,789,32,1747,10,3189,12473
Jackson,2956,4527,39,2869,8,10399,978,775,17,2414,10,4194,14593
Jasper,5278,8171,88,5478,15,19030,1914,1736,58,3970,18,7696,26726
Jefferson,2960,3124,55,1804,14,7957,1171,702,30,1463,17,3383,11340
Johnson,38625,14699,407,21920,128,75779,14448,5118,342,14950,132,34990,110769
Jones,2378,4365,40,3511,6,10300,619,849,27,2310,7,3812,14112
Keokuk,968,2682,25,1113,6,4794,398,586,11,891,1,1887,6681
Kossuth,1674,4424,38,2111,6,8253,457,772,23,1460,4,2716,10969
Lee,5063,5538,91,4284,11,14987,2222,1461,74,3812,27,7596,22583
Linn,42163,34791,761,37122,190,115027,15222,8639,613,21587,201,46262,161289
Louisa,941,2388,25,1422,0,4776,605,575,18,1331,6,2535,7311
Lucas,771,2455,16,1097,5,4344,282,603,13,822,2,1722,6066
Lyon,501,5623,10,768,2,6904,247,1036,9,617,3,1912,8816
Madison,1920,4607,69,2704,5,9305,565,1031,28,1530,8,3162,12467
Mahaska,1556,5967,71,2202,5,9801,856,1604,57,2188,11,4716,14517
Marion,3562,9646,101,5105,20,18434,1235,1976,60,3186,18,6475,24909
Marshall,4676,6734,90,4624,18,16142,2628,1578,69,4010,28,8313,24455
Mills,1363,4843,94,1499,14,7813,654,1431,63,1516,10,3674,11487
Mitchell,1168,2535,24,1601,1,5329,367,557,26,967,10,1927,7256
Monona,997,2365,32,1050,2,4446,250,429,14,517,7,1217,5663
Monroe,764,2159,17,969,0,3909,289,426,14,654,4,1387,5296
Montgomery,745,2800,28,863,3,4439,412,940,22,1262,12,2648,7087
Muscatine,4912,7274,96,5285,36,17603,3164,2268,122,5555,52,11161,28764
O'Brien,793,5067,37,1243,9,7149,405,1033,26,1016,6,2486,9635
Osceola,274,2155,12,564,1,3006,136,510,5,541,4,1196,4202
Page,999,4912,33,1433,6,7383,515,1171,38,1332,7,3063,10446
Palo Alto,1205,2173,20,1194,4,4596,423,442,11,867,4,1747,6343
Plymouth,1973,7666,41,3276,11,12967,921,1889,52,2294,18,5174,18141
Pocahontas,596,2059,27,941,2,3625,212,373,8,602,7,1202,4827
Polk,93706,73458,1677,65626,349,234816,36240,18843,1237,41456,388,98164,332980
Pottawattamie,10698,19220,377,10313,91,40699,6115,6704,393,10616,131,23959,64658
Poweshiek,2774,3585,40,3298,10,9707,1733,772,35,2050,5,4595,14302
Ringgold,467,1651,9,386,2,2515,121,325,2,285,2,735,3250
Sac,765,3190,12,1345,4,5316,258,654,9,963,6,1890,7206
Scott,25891,29180,502,28558,134,84265,13544,8034,496,22977,153,45204,129469
Shelby,1104,3703,35,1415,4,6261,429,791,20,1062,6,2308,8569
Sioux,1295,14079,46,2723,9,18152,699,2633,44,2013,13,5402,23554
Story,15618,13997,351,14405,81,44452,7786,5298,386,11612,105,25187,69639
Tama,1924,3842,32,2208,15,8021,827,649,20,1844,4,3344,11365
Taylor,425,1737,10,632,3,2807,160,412,18,522,2,1114,3921
Union,1043,3017,25,1767,3,5855,417,611,27,1420,5,2480,8335
Van Buren,526,2123,20,854,7,3530,195,471,10,703,5,1384,4914
Wapello,4232,5311,65,3893,15,13516,2402,1661,61,3612,32,7768,21284
Warren,8196,12902,194,8289,28,29609,2410,2868,139,4950,30,10397,40006
Washington,2487,5403,54,2955,12,10911,790,1282,58,2254,10,4394,15305
Wayne,461,1882,14,598,2,2957,191,313,8,413,1,926,3883
Webster,4266,7653,107,4296,17,16339,2167,1918,79,4271,41,8476,24815
Winnebago,1113,2680,20,1687,2,5502,487,579,22,1332,3,2423,7925
Winneshiek,3574,4278,37,3622,12,11523,1029,601,26,1600,15,3271,14794
Woodbury,9980,17588,234,10004,56,37862,7685,6111,215,11569,82,25662,63524
Worth,911,1974,25,1067,3,3980,279,357,10,830,2,1478,5458
Wright,1064,3110,22,1483,2,5681,478,641,13,1084,7,2223,7904
Totals,"460,494","628,848","9,058","445,725","1,921","1,546,046","189,618","153,329","7,129","318,413","2,330","670,819","2,216,865"
