County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,711,1914,18,1076,2,3721,240,465,11,885,3,1604,5325
Adams,395,975,4,574,2,1950,113,233,0,473,0,819,2769
Allamakee,1577,3426,20,1618,4,6645,551,980,22,1469,6,3028,9673
Appanoose,1301,2842,25,1390,3,5561,624,946,24,1484,10,3088,8649
Audubon,716,1646,11,653,2,3028,215,382,9,514,2,1122,4150
Benton,3167,5533,54,4582,12,13348,891,1138,50,2932,17,5028,18376
Black Hawk,21013,17652,335,15825,68,54893,11199,5301,283,13949,122,30854,85747
Boone,4030,5361,75,3991,18,13475,1264,1515,64,3326,15,6184,19659
Bremer,3301,4925,46,4528,11,12811,1054,1156,32,2788,8,5038,17849
Buchanan,2739,3476,38,3440,4,9697,767,752,28,2694,8,4249,13946
Buena Vista,1503,3226,29,1732,6,6496,1615,1327,38,2366,19,5365,11861
Butler,1396,3973,27,1824,7,7227,441,914,28,1473,6,2862,10089
Calhoun,880,2400,27,1437,1,4745,324,585,17,948,5,1879,6624
Carroll,2457,4443,54,3373,9,10336,862,1180,39,2268,8,4357,14693
Cass,1097,3750,24,1404,5,6280,452,1119,24,1536,9,3140,9420
Cedar,2547,3882,56,2814,10,9309,751,865,32,1836,15,3499,12808
Cerro Gordo,6409,7355,74,6421,19,20278,2561,2014,79,5723,45,10422,30700
Cherokee,870,3429,17,1161,3,5480,443,864,13,1224,6,2550,8030
Chickasaw,1667,2383,16,1727,1,5794,465,545,20,1310,8,2348,8142
Clarke,951,1947,16,1018,5,3937,467,548,21,1102,11,2149,6086
Clay,1449,4484,40,1853,14,7840,655,1349,41,1728,7,3780,11620
Clayton,2334,3651,37,2665,8,8695,714,962,31,1680,12,3399,12094
Clinton,6473,7801,85,6698,22,21079,3099,2286,98,6659,39,12181,33260
Crawford,1295,2880,20,1568,4,5767,1086,1016,31,1931,16,4080,9847
Dallas,15568,19392,317,16568,37,51882,4931,5237,243,10627,55,21093,72975
Davis,978,1892,10,710,4,3594,294,494,12,693,6,1499,5093
Decatur,750,1644,15,714,4,3127,449,479,15,730,5,1678,4805
Delaware,1920,4146,30,2944,8,9048,560,812,19,1719,7,3117,12165
Des Moines,6185,5997,93,4349,17,16641,3466,2120,101,5044,31,10762,27403
Dickinson,1975,5384,41,2583,7,9990,752,1605,60,1926,10,4353,14343
Dubuque,18753,15627,252,11893,48,46573,7248,4859,265,10319,86,22777,69350
Emmet,1056,1743,15,1317,8,4139,470,556,21,1273,0,2320,6459
Fayette,2391,3804,27,2585,9,8816,825,910,28,1769,17,3549,12365
Floyd,1915,2536,29,2479,3,6962,854,692,30,2095,11,3682,10644
Franklin,818,2482,11,993,3,4307,391,642,22,1160,7,2222,6529
Fremont,632,2014,6,561,3,3216,307,767,23,645,9,1751,4967
Greene,1100,2068,28,1161,6,4363,429,608,19,948,6,2010,6373
Grundy,1157,3619,28,1658,5,6467,424,837,21,1192,3,2477,8944
Guthrie,1257,2859,36,1610,3,5765,419,698,19,1333,1,2470,8235
Hamilton,1604,3501,29,1768,3,6905,651,926,25,1496,10,3108,10013
Hancock,1003,3047,17,1197,4,5268,404,789,14,1180,12,2399,7667
Hardin,1795,4033,28,1778,7,7641,741,1271,33,1758,8,3811,11452
Harrison,1272,3714,38,1279,6,6309,562,1096,29,1056,12,2755,9064
Henry,1877,4246,43,2268,7,8441,823,1316,51,2586,14,4790,13231
Howard,1183,1459,19,1564,1,4226,350,425,15,1201,5,1996,6222
Humboldt,813,2442,17,1403,3,4678,285,603,17,1011,4,1920,6598
Ida,530,1902,5,854,2,3293,210,528,6,790,3,1537,4830
Iowa,1971,4072,39,2705,6,8793,670,902,35,1911,12,3530,12323
Jackson,3375,3647,31,2650,5,9708,1146,918,20,2699,11,4794,14502
Jasper,5459,7168,78,4947,15,17667,2191,1998,68,4413,19,8689,26356
Jefferson,3061,2903,38,1547,14,7563,1276,848,39,1589,20,3772,11335
Johnson,38642,13366,365,19012,114,71499,15374,5648,370,16089,135,37616,109115
Jones,2415,4116,36,3212,2,9781,695,944,31,2516,9,4195,13976
Keokuk,1064,2284,13,1126,5,4492,460,698,13,1020,2,2193,6685
Kossuth,1835,3889,23,2071,4,7822,518,891,26,1612,4,3051,10873
Lee,5295,4720,76,3851,7,13949,2470,1628,86,4151,30,8365,22314
Linn,42504,32646,717,31893,165,107925,16736,9722,707,23808,218,51191,159116
Louisa,963,2202,13,1193,0,4371,688,663,19,1462,6,2838,7209
Lucas,818,2182,14,1068,5,4087,324,650,14,919,2,1909,5996
Lyon,515,5006,5,670,0,6196,292,1387,12,726,4,2421,8617
Madison,2031,4112,61,2376,4,8584,630,1152,31,1749,10,3572,12156
Mahaska,1581,5736,61,1985,4,9367,924,1762,59,2358,11,5114,14481
Marion,3634,8848,81,4203,15,16781,1427,2365,70,3650,19,7531,24312
Marshall,4567,6311,77,3790,10,14755,2951,1859,72,4419,33,9334,24089
Mills,1336,4249,54,1313,13,6965,752,1717,79,1730,14,4292,11257
Mitchell,1212,2309,14,1544,1,5080,405,611,24,1088,10,2138,7218
Monona,1002,2067,23,995,3,4090,304,528,14,584,7,1437,5527
Monroe,822,1794,9,909,0,3534,331,515,17,782,4,1649,5183
Montgomery,758,2671,25,795,4,4253,447,1072,23,1355,12,2909,7162
Muscatine,4912,6729,81,4748,26,16496,3396,2470,119,5916,54,11955,28451
O'Brien,799,4739,34,1119,7,6698,455,1236,27,1126,8,2852,9550
Osceola,269,2050,6,482,1,2808,158,592,6,602,5,1363,4171
Page,1071,4210,27,1265,4,6577,580,1458,41,1531,9,3619,10196
Palo Alto,1240,1931,11,1041,3,4226,488,515,12,980,7,2002,6228
Plymouth,1953,7111,41,2890,7,12002,1042,2238,56,2571,20,5927,17929
Pocahontas,593,1921,22,852,2,3390,267,478,12,775,8,1540,4930
Polk,93702,68215,1546,57064,291,220818,39392,21088,1373,45045,417,107315,328133
Pottawattamie,10184,17383,253,8796,67,36683,6829,7674,433,11712,150,26798,63481
Poweshiek,2725,3319,33,2919,9,9005,1838,874,43,2287,7,5049,14054
Ringgold,423,1652,7,361,3,2446,132,381,4,305,2,824,3270
Sac,711,2711,9,984,3,4418,379,1053,11,1238,6,2687,7105
Scott,25645,26439,424,24401,97,77006,14912,9180,530,25132,177,49931,126937
Shelby,1153,3421,29,1327,4,5934,502,945,20,1164,6,2637,8571
Sioux,1238,13178,29,2254,7,16706,813,3232,49,2300,17,6411,23117
Story,16065,12864,340,13140,79,42488,8258,5705,406,12262,110,26741,69229
Tama,2088,3219,32,2314,12,7665,909,741,23,2034,6,3713,11378
Taylor,434,1678,12,584,1,2709,182,475,18,565,4,1244,3953
Union,1105,2750,19,1523,2,5399,466,695,30,1590,5,2786,8185
Van Buren,576,1907,13,793,6,3295,223,556,10,788,5,1582,4877
Wapello,4314,4925,55,3279,12,12585,2600,1844,66,3977,37,8524,21109
Warren,8178,11430,170,7573,26,27377,2677,3250,145,5409,29,11510,38887
Washington,2469,5169,52,2725,11,10426,875,1423,60,2469,11,4838,15264
Wayne,500,1585,9,632,2,2728,227,392,9,474,2,1104,3832
Webster,4530,6337,74,4055,14,15010,2450,2207,88,4762,42,9549,24559
Winnebago,1166,2603,22,1432,3,5226,524,627,24,1442,3,2620,7846
Winneshiek,3632,4130,31,3380,6,11179,1079,680,27,1703,18,3507,14686
Woodbury,9927,16356,162,8311,41,34797,8435,6934,241,12609,99,28318,63115
Worth,952,1736,15,1082,3,3788,322,414,10,943,2,1691,5479
Wright,1079,2768,14,1358,2,5221,575,776,16,1249,8,2624,7845
Totals,"465,303","573,669","7,707","394,147","1,585","1,442,411","208,694","175,323","7,861","350,439","2,585","744,902","2,187,313"
