County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,998,"1,985","2,025",26,"5,034",60,94,184,4,342,"5,376"
Adams,530,982,"1,085",9,"2,606",49,52,132,2,235,"2,841"
Allamakee,"2,112","3,966","2,984",38,"9,100",181,187,379,7,754,"9,854"
Appanoose,"2,115","2,940","2,842",37,"7,934",191,219,450,4,864,"8,798"
Audubon,955,"1,876","1,195",14,"4,040",47,70,115,1,233,"4,273"
Benton,"3,961","5,577","7,254",98,"16,890",216,252,532,11,"1,011","17,901"
Black Hawk,"30,700","20,200","29,299",740,"80,939","2,681","1,727","3,527",92,"8,027","88,966"
Boone,"5,223","5,663","6,965",150,"18,001",345,399,807,20,"1,571","19,572"
Bremer,"4,150","4,983","7,282",96,"16,511",307,306,707,13,"1,333","17,844"
Buchanan,"3,511","3,148","6,367",44,"13,070",170,120,540,9,839,"13,909"
Buena Vista,"3,013","3,947","4,168",81,"11,209",370,319,588,5,"1,282","12,491"
Butler,"1,726","4,312","3,371",45,"9,454",100,180,248,3,531,"9,985"
Calhoun,"1,266","2,475","2,541",44,"6,326",57,105,149,6,317,"6,643"
Carroll,"3,509","4,324","5,944",84,"13,861",159,186,302,8,655,"14,516"
Cass,"1,516","4,497","2,869",40,"8,922",120,294,386,2,802,"9,724"
Cedar,"3,177","3,719","4,779",73,"11,748",165,207,313,16,701,"12,449"
Cerro Gordo,"8,537","7,667","12,348",124,"28,676",542,542,"1,257",12,"2,353","31,029"
Cherokee,"1,489","3,527","2,656",37,"7,709",79,129,277,4,489,"8,198"
Chickasaw,"2,270","2,370","3,238",29,"7,907",132,136,318,4,590,"8,497"
Clarke,"1,444","1,957","2,128",28,"5,557",85,113,252,7,457,"6,014"
Clay,"1,984","5,160","3,587",58,"10,789",160,347,450,8,965,"11,754"
Clayton,"3,092","3,611","4,553",53,"11,309",175,180,268,5,628,"11,937"
Clinton,"9,286","7,600","13,601",143,"30,630",799,465,"1,420",19,"2,703","33,333"
Crawford,"2,446","3,258","3,558",41,"9,303",125,134,293,2,554,"9,857"
Dallas,"16,067","19,477","22,067",500,"58,111","1,181","1,753","2,642",71,"5,647","63,758"
Davis,"1,599","1,769","1,378",21,"4,767",92,108,151,2,353,"5,120"
Decatur,"1,301","1,701","1,366",31,"4,399",188,141,222,6,557,"4,956"
Delaware,"2,269","4,269","4,696",49,"11,283",109,153,306,6,574,"11,857"
Des Moines,"10,121","6,587","9,153",175,"26,036",687,356,890,22,"1,955","27,991"
Dickinson,"2,578","5,777","4,387",58,"12,800",209,379,514,11,"1,113","13,913"
Dubuque,"25,729","15,830","22,037",471,"64,067","1,984","1,286","2,548",54,"5,872","69,939"
Emmet,"1,655","1,803","2,591",27,"6,076",118,168,342,2,630,"6,706"
Fayette,"3,357","3,848","4,259",64,"11,528",228,171,353,8,760,"12,288"
Floyd,"2,769","2,653","4,719",49,"10,190",278,177,513,7,975,"11,165"
Franklin,"1,177","2,830","2,121",32,"6,160",75,130,196,0,401,"6,561"
Fremont,988,"2,242","1,321",23,"4,574",111,175,217,6,509,"5,083"
Greene,"1,645","2,293","2,148",44,"6,130",86,106,208,6,406,"6,536"
Grundy,"1,435","3,858","3,120",42,"8,455",64,165,211,5,445,"8,900"
Guthrie,"1,615","2,827","3,004",52,"7,498",78,151,269,6,504,"8,002"
Hamilton,"2,306","3,784","3,468",59,"9,617",118,165,320,3,606,"10,223"
Hancock,"1,393","3,235","2,618",37,"7,283",100,143,244,3,490,"7,773"
Hardin,"2,506","4,609","3,756",61,"10,932",179,236,331,6,752,"11,684"
Harrison,"2,003","3,716","2,564",70,"8,353",55,105,84,4,248,"8,601"
Henry,"2,635","4,858","4,788",60,"12,341",280,335,658,4,"1,277","13,618"
Howard,"1,582","1,467","2,646",26,"5,721",101,78,255,0,434,"6,155"
Humboldt,"1,170","2,635","2,306",28,"6,139",76,125,195,3,399,"6,538"
Ida,751,"2,173","1,725",25,"4,674",42,74,115,2,233,"4,907"
Iowa,"2,601","3,973","4,744",80,"11,398",163,213,348,12,736,"12,134"
Jackson,"4,712","3,095","6,030",33,"13,870",226,162,478,2,868,"14,738"
Jasper,"8,006","7,504","9,227",115,"24,852",376,334,658,8,"1,376","26,228"
Jefferson,"4,328","3,092","2,855",93,"10,368",366,176,394,12,948,"11,316"
Johnson,"50,042","17,584","30,118",793,"98,537","5,216","2,172","4,653",170,"12,211","110,748"
Jones,"3,016","3,846","6,019",41,"12,922",154,165,466,7,792,"13,714"
Keokuk,"1,711","2,367","2,241",24,"6,343",106,114,185,4,409,"6,752"
Kossuth,"2,823","3,457","4,206",39,"10,525",123,183,355,4,665,"11,190"
Lee,"8,455","4,528","7,963",139,"21,085",631,357,"1,087",27,"2,102","23,187"
Linn,"54,126","36,519","52,828","1,502","144,975","3,346","2,380","4,091",173,"9,990","154,965"
Louisa,"1,651","2,353","2,663",31,"6,698",100,92,223,6,421,"7,119"
Lucas,"1,206","2,272","1,956",25,"5,459",83,134,193,3,413,"5,872"
Lyon,818,"5,693","1,531",20,"8,062",72,209,164,4,449,"8,511"
Madison,"2,645","4,229","3,740",78,"10,692",188,317,436,6,947,"11,639"
Mahaska,"2,501","6,691","4,277",94,"13,563",281,363,573,9,"1,226","14,789"
Marion,"5,194","9,427","7,525",119,"22,265",413,631,848,14,"1,906","24,171"
Marshall,"7,173","7,042","8,408",174,"22,797",513,426,973,18,"1,930","24,727"
Mills,"1,989","5,016","2,964",107,"10,076",126,238,218,10,592,"10,668"
Mitchell,"1,659","2,435","2,743",36,"6,873",63,65,143,3,274,"7,147"
Monona,"1,514","2,036","2,060",32,"5,642",125,176,285,9,595,"6,237"
Monroe,"1,356","1,748","1,525",21,"4,650",76,84,163,3,326,"4,976"
Montgomery,"1,073","3,388","2,234",33,"6,728",104,195,268,7,574,"7,302"
Muscatine,"8,047","7,679","10,449",158,"26,333",566,504,"1,092",21,"2,183","28,516"
O'Brien,"1,162","5,518","2,391",47,"9,118",121,250,248,4,623,"9,741"
Osceola,459,"2,401","1,111",14,"3,985",29,90,104,1,224,"4,209"
Page,"1,583","4,802","2,886",54,"9,325",162,316,455,6,939,"10,264"
Palo Alto,"1,817","1,878","2,141",28,"5,864",104,88,197,2,391,"6,255"
Plymouth,"3,042","8,248","5,404",88,"16,782",193,406,413,13,"1,025","17,807"
Pocahontas,896,"1,962","1,790",29,"4,677",91,93,208,2,394,"5,071"
Polk,"122,453","77,674","89,490","2,884","292,501","8,299","5,610","8,234",352,"22,495","314,996"
Pottawattamie,"15,693","20,796","20,009",658,"57,156","1,845","1,801","2,834",118,"6,598","63,754"
Poweshiek,"4,404","3,629","4,928",54,"13,015",606,176,518,12,"1,312","14,327"
Ringgold,805,"1,441",758,8,"3,012",30,86,70,1,187,"3,199"
Sac,"1,212","3,151","2,430",24,"6,817",77,108,189,2,376,"7,193"
Scott,"36,322","29,854","46,653",902,"113,731","4,488","3,022","6,708",168,"14,386","128,117"
Shelby,"1,688","3,508","2,593",29,"7,818",106,179,229,6,520,"8,338"
Sioux,"1,987","15,135","4,205",64,"21,391",141,610,340,13,"1,104","22,495"
Story,"22,881","16,629","22,599",736,"62,845","2,831","2,014","3,921",187,"8,953","71,798"
Tama,"2,946","3,263","4,638",49,"10,896",154,142,393,2,691,"11,587"
Taylor,666,"1,805","1,215",24,"3,710",42,82,95,2,221,"3,931"
Union,"1,667","2,656","3,127",48,"7,498",136,159,422,3,720,"8,218"
Van Buren,840,"1,943","1,795",27,"4,605",69,103,143,5,320,"4,925"
Wapello,"7,665","5,347","6,825",102,"19,939",633,376,933,13,"1,955","21,894"
Warren,"10,170","11,474","11,975",230,"33,849",640,787,"1,182",37,"2,646","36,495"
Washington,"3,208","5,596","5,263",108,"14,175",228,327,529,23,"1,107","15,282"
Wayne,879,"1,436","1,117",23,"3,455",43,73,100,4,220,"3,675"
Webster,"7,361","6,823","8,955",167,"23,306",635,503,"1,074",11,"2,223","25,529"
Winnebago,"1,512","2,652","2,980",32,"7,176",129,179,373,3,684,"7,860"
Winneshiek,"4,344","4,124","5,138",55,"13,661",463,233,678,14,"1,388","15,049"
Woodbury,"17,864","19,354","19,617",401,"57,236","1,832","1,554","2,538",59,"5,983","63,219"
Worth,"1,308","1,822","1,965",18,"5,113",97,94,217,2,410,"5,523"
Wright,"1,758","3,274","2,511",37,"7,580",118,169,245,4,536,"8,116"
Totals,"642,899","628,154","713,692","14,863","1,999,608","51,513","42,763","77,562","2,102","173,940","2,173,548"
