County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,923,2145,1552,21,4641,115,193,445,8,761,5402
Adams,498,1119,824,10,2451,48,72,257,0,377,2828
Allamakee,2005,3979,2283,37,8304,278,397,750,13,1438,9742
Appanoose,1767,3290,2214,52,7323,380,350,762,11,1503,8826
Audubon,907,1848,918,18,3691,93,174,294,3,564,4255
Benton,3904,6050,5933,119,16006,451,441,1460,30,2382,18388
Black Hawk,28671,20712,22841,608,72832,5229,2461,6790,201,14681,87513
Boone,5054,6194,5554,135,16937,580,617,1661,41,2899,19836
Bremer,4102,5412,6156,89,15759,524,425,1265,22,2236,17995
Buchanan,3422,3661,4867,56,12006,347,277,1346,14,1984,13990
Buena Vista,2547,3922,2990,73,9532,746,534,1279,19,2578,12110
Butler,1750,4500,2613,51,8914,181,340,745,11,1277,10191
Calhoun,1163,2714,1939,40,5856,155,221,506,14,896,6752
Carroll,3181,4907,4587,80,12755,409,458,1126,23,2016,14771
Cass,1483,4307,2251,46,8087,207,525,751,18,1501,9588
Cedar,3154,4289,3889,86,11418,309,328,817,28,1482,12900
Cerro Gordo,8227,8000,9855,161,26243,1185,848,2849,43,4925,31168
Cherokee,1256,4006,1781,30,7073,221,329,707,8,1265,8338
Chickasaw,2124,2596,2413,35,7168,244,192,703,11,1150,8318
Clarke,1277,2214,1605,41,5137,226,228,557,12,1023,6160
Clay,1915,5213,2802,80,10010,299,552,957,18,1826,11836
Clayton,2923,3841,3672,75,10511,334,375,804,16,1529,12040
Clinton,8905,8870,9848,192,27815,1542,866,3400,66,5874,33689
Crawford,2011,3466,2672,55,8204,501,379,904,22,1806,10010
Dallas,18412,21774,20697,530,61413,1798,1995,4322,137,8252,69665
Davis,1319,2024,1103,19,4465,151,200,313,10,674,5139
Decatur,1077,1864,1191,21,4153,274,198,319,15,806,4959
Delaware,2354,4603,3951,51,10959,249,283,709,13,1254,12213
Des Moines,8722,6942,6684,179,22527,1744,911,2497,58,5210,27737
Dickinson,2560,6157,3601,87,12405,343,600,938,29,1910,14315
Dubuque,24287,18407,17198,496,60388,3392,2087,4669,150,10298,70686
Emmet,1480,1954,1966,37,5437,260,277,745,7,1289,6726
Fayette,3130,4216,3583,63,10992,408,344,832,23,1607,12599
Floyd,2546,2810,3684,58,9098,529,340,1158,19,2046,11144
Franklin,1153,2854,1628,34,5669,167,241,484,6,898,6567
Fremont,863,2466,874,28,4231,170,290,358,15,833,5064
Greene,1477,2372,1649,44,5542,200,250,525,8,983,6525
Grundy,1528,4102,2260,47,7937,165,301,585,6,1057,8994
Guthrie,1581,2980,2422,56,7039,212,275,671,7,1165,8204
Hamilton,2149,4115,2390,49,8703,282,347,791,14,1434,10137
Hancock,1359,3422,1957,37,6775,178,282,563,13,1036,7811
Hardin,2367,4727,2794,56,9944,392,493,911,18,1814,11758
Harrison,1893,4438,2110,74,8515,170,291,360,15,836,9351
Henry,2539,5055,3539,75,11208,553,649,1646,35,2883,14091
Howard,1485,1709,2227,29,5450,178,133,520,7,838,6288
Humboldt,1077,2781,1947,32,5837,131,231,439,8,809,6646
Ida,692,2250,1321,14,4277,107,182,369,6,664,4941
Iowa,2490,4555,3664,74,10783,298,361,875,24,1558,12341
Jackson,4460,3968,3929,50,12407,540,314,1352,9,2215,14622
Jasper,7259,8080,7185,161,22685,1009,732,2079,25,3845,26530
Jefferson,3960,3301,2318,76,9655,607,304,750,25,1686,11341
Johnson,47343,16433,25762,779,90317,8545,3486,8514,313,20858,111175
Jones,3018,4406,4574,54,12052,317,352,1189,13,1871,13923
Keokuk,1408,2621,1737,34,5800,239,248,492,4,983,6783
Kossuth,2385,4442,2998,39,9864,224,314,739,14,1291,11155
Lee,7247,5502,5752,139,18640,1294,593,2302,58,4247,22887
Linn,54272,38451,43712,1454,137889,7501,4424,10698,435,23058,160947
Louisa,1465,2594,1912,29,6000,292,245,700,10,1247,7247
Lucas,1080,2427,1554,29,5090,166,247,464,8,885,5975
Lyon,700,5862,1013,17,7592,130,491,355,6,982,8574
Madison,2574,4643,3371,83,10671,303,419,718,19,1459,12130
Mahaska,2292,6747,3454,111,12604,423,635,1160,21,2239,14843
Marion,4815,10042,6192,156,21205,683,940,1561,27,3211,24416
Marshall,6891,7216,5885,138,20130,1164,813,2346,53,4376,24506
Mills,1805,5214,2246,107,9372,327,607,776,39,1749,11121
Mitchell,1562,2581,2181,43,6367,203,242,549,13,1007,7374
Monona,1341,2365,1527,38,5271,230,234,465,16,945,6216
Monroe,1162,1996,1363,25,4546,162,175,311,11,659,5205
Montgomery,1060,3382,1570,41,6053,199,425,652,13,1289,7342
Muscatine,7266,7967,7674,208,23115,1616,1082,3019,76,5793,28908
O'Brien,1102,5453,1708,54,8317,235,557,606,17,1415,9732
Osceola,419,2416,844,17,3696,74,204,286,4,568,4264
Page,1506,4932,2077,63,8578,308,546,839,16,1709,10287
Palo Alto,1632,2232,1644,25,5533,197,161,461,13,832,6365
Plymouth,2774,8501,4238,97,15610,435,801,1168,32,2436,18046
Pocahontas,754,2205,1281,29,4269,144,177,373,10,704,4973
Polk,119154,80176,79839,2894,282063,17140,8832,19031,804,45807,327870
Pottawattamie,14601,21309,14757,587,51254,3276,3234,6002,259,12771,64025
Poweshiek,3636,3782,3964,68,11450,1322,385,1217,19,2943,14393
Ringgold,505,1907,495,13,2920,80,131,153,2,366,3286
Sac,1094,3406,1704,21,6225,138,288,575,7,1008,7233
Scott,35191,30762,35965,944,102862,8188,4787,14344,364,27683,130545
Shelby,1650,3794,2163,31,7638,203,326,463,18,1010,8648
Sioux,1871,15277,3524,78,20750,304,1204,844,25,2377,23127
Story,20716,15431,18324,671,55142,4569,3260,6673,297,14799,69941
Tama,2824,3468,3462,75,9829,388,295,1053,9,1745,11574
Taylor,585,1983,911,28,3507,90,170,283,8,551,4058
Union,1459,3216,2243,43,6961,240,250,872,14,1376,8337
Van Buren,746,2327,1138,29,4240,131,221,392,7,751,4991
Wapello,6294,5772,5415,126,17607,1357,748,1965,43,4113,21720
Warren,10166,12918,10398,271,33753,1074,1130,2200,78,4482,38235
Washington,3226,5626,4262,101,13215,409,593,1186,42,2230,15445
Wayne,747,1604,986,17,3354,107,152,222,4,485,3839
Webster,6433,7290,6395,164,20282,1311,954,2606,60,4931,25213
Winnebago,1576,2849,2282,42,6749,243,266,740,12,1261,8010
Winneshiek,4285,4512,4211,53,13061,699,348,984,26,2057,15118
Woodbury,15747,20624,14222,419,51012,3792,2810,6041,129,12772,63784
Worth,1256,1930,1672,24,4882,143,148,414,3,708,5590
Wright,1578,3277,2035,31,6921,259,310,574,12,1155,8076
Totals,"610,601","665,051","570,567","15,206","1,861,425","99,985","73,753","170,492","4,837","349,067","2,210,492"
