County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,874,2262,1557,24,4717,106,187,420,8,721,5438
Adams,468,1147,826,7,2448,55,77,246,0,378,2826
Allamakee,1937,4075,2366,42,8420,282,401,732,12,1427,9847
Appanoose,1691,3480,2197,55,7423,352,356,736,9,1453,8876
Audubon,871,1882,915,17,3685,89,175,268,4,536,4221
Benton,3756,6275,6091,111,16233,444,459,1428,25,2356,18589
Black Hawk,28202,21017,23190,612,73021,5172,2327,6646,194,14339,87360
Boone,4924,6363,5638,133,17058,589,623,1688,48,2948,20006
Bremer,3973,5701,6046,80,15800,543,456,1278,23,2300,18100
Buchanan,3297,3993,4907,60,12257,321,284,1320,13,1938,14195
Buena Vista,2501,4111,2977,72,9661,748,540,1264,19,2571,12232
Butler,1725,4562,2600,59,8946,183,330,726,11,1250,10196
Calhoun,1130,2793,1942,42,5907,144,202,459,10,815,6722
Carroll,3054,5187,4600,90,12931,386,462,1060,20,1928,14859
Cass,1402,4453,2280,47,8182,204,496,720,17,1437,9619
Cedar,3079,4460,3779,89,11407,308,340,819,24,1491,12898
Cerro Gordo,8122,8641,9546,159,26468,1173,918,2866,48,5005,31473
Cherokee,1178,4092,1773,27,7070,218,326,708,9,1261,8331
Chickasaw,2003,2793,2342,33,7171,231,185,692,12,1120,8291
Clarke,1257,2283,1609,31,5180,213,230,538,17,998,6178
Clay,1852,5379,2742,81,10054,303,555,945,19,1822,11876
Clayton,2813,4287,3592,72,10764,317,358,757,14,1446,12210
Clinton,8498,9359,10083,175,28115,1566,889,3307,72,5834,33949
Crawford,1979,3541,2729,56,8305,488,379,899,21,1787,10092
Dallas,18624,22517,21715,499,63355,2204,2358,4703,159,9424,72779
Davis,1174,2205,1087,21,4487,152,208,305,11,676,5163
Decatur,1012,1966,1159,22,4159,259,201,320,16,796,4955
Delaware,2312,4735,4060,48,11155,249,277,671,19,1216,12371
Des Moines,8327,7272,6913,186,22698,1729,913,2450,56,5148,27846
Dickinson,2486,6448,3675,92,12701,355,629,941,28,1953,14654
Dubuque,23701,18885,17662,497,60745,3506,2116,4763,160,10545,71290
Emmet,1376,2085,1946,37,5444,264,283,746,7,1300,6744
Fayette,2976,4397,3497,61,10931,389,344,827,26,1586,12517
Floyd,2470,2976,3592,57,9095,523,344,1145,19,2031,11126
Franklin,1097,2937,1694,34,5762,167,236,485,6,894,6656
Fremont,822,2523,887,29,4261,161,293,339,15,808,5069
Greene,1418,2514,1653,52,5637,180,211,482,7,880,6517
Grundy,1488,4262,2296,45,8091,161,283,555,8,1007,9098
Guthrie,1535,3320,2367,50,7272,201,271,620,7,1099,8371
Hamilton,2086,4144,2470,55,8755,288,354,748,15,1405,10160
Hancock,1295,3618,1861,37,6811,174,279,544,13,1010,7821
Hardin,2301,4885,2747,61,9994,380,464,903,17,1764,11758
Harrison,1753,4604,2068,72,8497,110,197,202,11,520,9017
Henry,2399,5153,3626,78,11256,564,677,1617,37,2895,14151
Howard,1436,1757,2254,29,5476,159,130,510,9,808,6284
Humboldt,1044,2870,1957,32,5903,127,233,440,8,808,6711
Ida,675,2277,1293,12,4257,101,196,360,7,664,4921
Iowa,2443,4738,3734,65,10980,299,341,850,27,1517,12497
Jackson,4170,4267,4044,50,12531,522,342,1336,8,2208,14739
Jasper,6975,8574,7295,144,22988,970,753,1986,32,3741,26729
Jefferson,3832,3486,2339,82,9739,670,337,772,27,1806,11545
Johnson,46908,16611,26720,736,90975,9815,3783,9220,333,23151,114126
Jones,2889,4729,4597,61,12276,314,346,1140,16,1816,14092
Keokuk,1362,2759,1696,29,5846,218,231,479,5,933,6779
Kossuth,2252,4587,2991,42,9872,209,306,712,15,1242,11114
Lee,6906,5772,5912,147,18737,1249,630,2281,56,4216,22953
Linn,53521,38943,44798,1404,138666,7951,4636,10937,455,23979,162645
Louisa,1428,2652,1967,30,6077,288,238,700,9,1235,7312
Lucas,1028,2596,1553,27,5204,159,241,437,8,845,6049
Lyon,699,5981,1053,15,7748,125,454,340,6,925,8673
Madison,2493,4891,3381,87,10852,307,448,730,18,1503,12355
Mahaska,2180,6958,3288,116,12542,441,642,1178,22,2283,14825
Marion,4614,10439,6287,152,21492,677,938,1543,26,3184,24676
Marshall,6660,7546,6021,145,20372,1169,820,2279,53,4321,24693
Mills,1814,5398,2259,124,9595,318,642,784,38,1782,11377
Mitchell,1506,2730,2135,36,6407,206,242,528,13,989,7396
Monona,1310,2488,1518,39,5355,221,227,452,17,917,6272
Monroe,1044,2152,1379,20,4595,159,180,308,11,658,5253
Montgomery,1063,3415,1587,46,6111,205,428,662,15,1310,7421
Muscatine,7021,8202,7840,209,23272,1592,1102,2990,78,5762,29034
O'Brien,1090,5549,1689,51,8379,237,537,597,20,1391,9770
Osceola,380,2466,800,13,3659,69,209,290,4,572,4231
Page,1427,5223,2076,60,8786,292,551,812,18,1673,10459
Palo Alto,1609,2270,1619,24,5522,195,170,454,12,831,6353
Plymouth,2684,8682,4352,100,15818,446,812,1163,31,2452,18270
Pocahontas,746,2218,1246,34,4244,137,186,373,9,705,4949
Polk,119369,82078,80822,2840,285109,18043,9328,19510,838,47719,332828
Pottawattamie,14407,22147,14932,627,52113,3279,3293,6003,268,12843,64956
Poweshiek,3601,3881,4091,71,11644,1351,386,1182,20,2939,14583
Ringgold,491,1928,497,13,2929,73,128,151,2,354,3283
Sac,1006,3542,1716,24,6288,136,261,529,5,931,7219
Scott,34516,31840,36599,928,103883,8576,5070,14614,377,28637,132520
Shelby,1541,4074,2074,36,7725,203,324,457,17,1001,8726
Sioux,1822,15450,3628,79,20979,302,1167,875,27,2371,23350
Story,20031,15417,18096,655,54199,5172,3537,7140,325,16174,70373
Tama,2733,3764,3417,63,9977,365,284,976,9,1634,11611
Taylor,562,2024,905,28,3519,91,168,276,8,543,4062
Union,1422,3244,2336,45,7047,237,270,846,16,1369,8416
Van Buren,727,2284,1202,30,4243,126,229,373,6,734,4977
Wapello,5950,6148,5368,127,17593,1307,743,1981,44,4075,21668
Warren,10046,13559,10622,272,34499,1136,1258,2251,89,4734,39233
Washington,3076,6109,4107,100,13392,401,588,1159,42,2190,15582
Wayne,656,1857,914,19,3446,99,144,211,3,457,3903
Webster,6093,7680,6477,150,20400,1288,984,2574,63,4909,25309
Winnebago,1498,3063,2205,37,6803,255,264,745,12,1276,8079
Winneshiek,4227,4589,4152,55,13023,725,336,980,28,2069,15092
Woodbury,15288,20883,14882,415,51468,3816,2846,6057,140,12859,64327
Worth,1194,2027,1649,27,4897,134,160,429,4,727,5624
Wright,1502,3314,2067,27,6910,243,309,550,13,1115,8025
Totals,"598,205","687,710","577,740","15,036","1,878,691","103,656","75,901","171,400","5,048","356,005","2,234,696"
