State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3086,13137,4434,99,20756,481,1185,1289,31,2986,23742
State Representative District 002,4140,8743,5470,127,18480,562,823,1708,39,3132,21612
State Representative District 003,2572,11162,4045,96,17875,490,979,1425,27,2921,20796
State Representative District 004,1727,13893,3137,67,18824,280,1135,774,23,2212,21036
State Representative District 005,3403,10199,5118,113,18833,541,962,1453,34,2990,21823
State Representative District 006,4899,8253,5026,146,18324,934,1005,1778,43,3760,22084
State Representative District 007,4541,7331,6073,104,18049,652,745,1955,27,3379,21428
State Representative District 008,3837,8613,5165,82,17697,512,704,1406,31,2653,20350
State Representative District 009,5286,5371,4873,136,15666,1155,785,2223,56,4219,19885
State Representative District 010,3440,8653,5837,111,18041,487,706,1492,33,2718,20759
State Representative District 011,3641,7328,4694,94,15757,884,822,1854,26,3586,19343
State Representative District 012,4507,7640,6353,106,18606,572,713,1610,31,2926,21532
State Representative District 013,4681,4930,3906,120,13637,1300,801,1865,49,4015,17652
State Representative District 014,5011,4153,3501,120,12785,1362,694,1866,30,3952,16737
State Representative District 015,4504,4279,4297,219,13299,1528,1108,2386,116,5138,18437
State Representative District 016,4943,5658,4560,204,15365,1102,1060,2068,93,4323,19688
State Representative District 017,3731,8764,4951,128,17574,540,733,1279,36,2588,20162
State Representative District 018,3894,7935,4734,92,16655,681,723,1297,41,2742,19397
State Representative District 019,7269,11112,9633,247,28261,532,836,1658,41,3067,31328
State Representative District 020,4381,6948,5941,116,17386,637,698,1784,36,3155,20541
State Representative District 021,3465,8663,5271,100,17499,492,842,1900,35,3269,20768
State Representative District 022,4911,10829,5584,158,21482,620,1008,1447,47,3122,24604
State Representative District 023,3483,10084,4261,169,17997,653,1223,1631,63,3570,21567
State Representative District 024,2841,9800,3912,111,16664,521,946,1430,30,2927,19591
State Representative District 025,6206,9631,7476,195,23508,621,838,1430,56,2945,26453
State Representative District 026,6407,7721,6121,155,20404,747,706,1478,41,2972,23376
State Representative District 027,3836,7241,4833,103,16013,718,757,1421,34,2930,18943
State Representative District 028,4476,8041,5734,131,18382,605,719,1446,21,2791,21173
State Representative District 029,6500,6283,5952,137,18872,910,590,1809,25,3334,22206
State Representative District 030,7701,8737,7552,237,24227,728,703,1341,52,2824,27051
State Representative District 031,7063,4662,4762,186,16673,1196,527,1430,38,3191,19864
State Representative District 032,7189,2398,3704,178,13469,1688,494,1551,54,3787,17256
State Representative District 033,7992,3169,4397,161,15719,1592,453,1462,63,3570,19289
State Representative District 034,8878,3327,4679,222,17106,1883,548,1680,82,4193,21299
State Representative District 035,6386,1765,3135,157,11443,2018,461,1443,74,3996,15439
State Representative District 036,10287,3835,4863,199,19184,1186,516,1164,53,2919,22103
State Representative District 037,9489,11090,9791,301,30671,799,1032,1449,62,3342,34013
State Representative District 038,7844,7903,7050,237,23034,829,741,1372,51,2993,26027
State Representative District 039,9257,9710,8816,246,28029,833,869,1405,45,3152,31181
State Representative District 040,7889,6510,5243,184,19826,767,568,1076,39,2450,22276
State Representative District 041,11754,3412,3912,179,19257,1775,539,1184,59,3557,22814
State Representative District 042,8060,6222,5744,191,20217,881,670,1211,73,2835,23052
State Representative District 043,8408,5959,4864,172,19403,896,592,1102,52,2642,22045
State Representative District 044,10568,11047,10958,297,32870,1063,1116,2248,82,4509,37379
State Representative District 045,8266,4368,6290,289,19213,2015,1096,2405,141,5657,24870
State Representative District 046,6910,3745,5202,158,16015,2028,1506,2896,112,6542,22557
State Representative District 047,5438,7191,5974,145,18748,674,732,1841,39,3286,22034
State Representative District 048,5229,8101,5896,148,19374,595,708,1590,34,2927,22301
State Representative District 049,5070,7714,6504,197,19485,557,719,1449,42,2767,22252
State Representative District 050,3981,9092,5249,110,18432,508,777,1525,24,2834,21266
State Representative District 051,4641,6887,6662,99,18289,556,569,1589,24,2738,21027
State Representative District 052,4995,5783,6556,98,17432,804,558,1941,31,3334,20766
State Representative District 053,6056,4482,6575,112,17225,906,507,2095,27,3535,20760
State Representative District 054,3847,8191,5769,102,17909,506,717,1552,27,2802,20711
State Representative District 055,5703,6687,5617,88,18095,882,539,1304,36,2761,20856
State Representative District 056,4432,7328,5525,103,17388,565,727,1465,29,2786,20174
State Representative District 057,7603,8160,6631,126,22520,629,611,1160,31,2431,24951
State Representative District 058,6283,6489,6515,80,19367,706,487,1943,18,3154,22521
State Representative District 059,6597,4829,5362,151,16939,1008,707,1630,49,3394,20333
State Representative District 060,7143,7069,6500,147,20859,965,673,1376,43,3057,23916
State Representative District 061,6435,3925,4795,136,15291,1346,536,1603,45,3530,18821
State Representative District 062,6998,2591,4089,137,13815,1744,395,1772,54,3965,17780
State Representative District 063,5120,6999,7549,110,19778,634,529,1545,30,2738,22516
State Representative District 064,5009,5177,6473,85,16744,563,398,1766,25,2752,19496
State Representative District 065,8616,3671,4576,222,17085,1607,649,1616,75,3947,21032
State Representative District 066,7852,5274,5773,215,19114,1054,633,1461,61,3209,22323
State Representative District 067,7716,7404,7209,210,22539,807,722,1441,57,3027,25566
State Representative District 068,7737,6285,7003,201,21226,847,672,1393,51,2963,24189
State Representative District 069,7813,4584,6438,247,19082,1298,670,1868,77,3913,22995
State Representative District 070,8240,4564,5986,212,19002,1151,585,1556,79,3371,22373
State Representative District 071,5418,4620,3952,99,14089,991,581,1831,40,3443,17532
State Representative District 072,4777,6775,6097,130,17779,617,573,1697,24,2911,20690
State Representative District 073,6698,6834,6557,153,20242,656,545,1365,41,2607,22849
State Representative District 074,11379,3624,5897,188,21088,1624,571,1524,53,3772,24860
State Representative District 075,4499,7209,6881,137,18726,557,547,1746,34,2884,21610
State Representative District 076,5531,7178,6680,124,19513,1514,640,1806,39,3999,23512
State Representative District 077,9905,6028,8081,199,24213,1064,681,1682,50,3477,27690
State Representative District 078,4422,7591,5624,129,17766,617,784,1583,39,3023,20789
State Representative District 079,3355,9877,4943,146,18321,591,964,1516,29,3100,21421
State Representative District 080,4136,7932,5260,121,17449,741,721,1499,33,2994,20443
State Representative District 081,5467,4662,4437,101,14667,1222,654,1709,35,3620,18287
State Representative District 082,5820,7096,4250,118,17284,861,685,1392,39,2977,20261
State Representative District 083,6166,4297,4636,117,15216,1199,518,2048,54,3819,19035
State Representative District 084,4037,7472,5339,109,16957,707,821,2058,49,3635,20592
State Representative District 085,12414,2446,4708,168,19736,3095,1229,2605,118,7047,26783
State Representative District 086,10520,2364,5036,165,18085,2500,863,2356,82,5801,23886
State Representative District 087,6845,4321,4782,151,16099,1504,675,2020,47,4246,20345
State Representative District 088,4962,6792,5523,101,17378,847,674,1792,32,3345,20723
State Representative District 089,6569,4302,5970,173,17014,1635,726,2764,54,5179,22193
State Representative District 090,5948,2753,4872,185,13758,2358,765,3356,90,6569,20327
State Representative District 091,5226,5816,5337,156,16535,1216,814,2203,62,4295,20830
State Representative District 092,5693,6162,7100,169,19124,1165,753,2313,60,4291,23415
State Representative District 093,7292,5477,6263,184,19216,1532,977,2607,78,5194,24410
State Representative District 094,7403,8683,8507,154,24747,1175,1195,2489,63,4922,29669
State Representative District 095,6581,7019,7146,152,20898,761,524,1438,36,2759,23657
State Representative District 096,4165,7017,6551,80,17813,444,508,1407,19,2378,20191
State Representative District 097,5592,7600,7478,160,20830,687,674,1864,44,3269,24099
State Representative District 098,5599,4655,5623,111,15988,1178,563,2351,41,4133,20121
State Representative District 099,8810,5399,5251,197,19657,1280,664,1549,57,3550,23207
State Representative District 100,7258,4319,4704,168,16449,1439,766,1860,60,4125,20574
Totals,"610,600","665,051","570,565","15,206","1,861,422","99,985","73,752","170,492","4,837","349,066","2,210,488"
