State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4860,3512,3600,126,12098,1528,682,2015,38,4263,16361
State Representative District 002,4669,6033,4178,111,14991,1208,909,1843,50,4010,19001
State Representative District 003,2796,11543,4426,114,18879,520,1090,1240,35,2885,21764
State Representative District 004,1390,14843,2584,44,18861,266,1195,783,17,2261,21122
State Representative District 005,2710,11658,4087,88,18543,572,1124,1612,29,3337,21880
State Representative District 006,3755,7756,4720,127,16358,957,976,1959,38,3930,20288
State Representative District 007,3579,9991,5856,119,19545,523,805,1646,30,3004,22549
State Representative District 008,5431,6126,5277,124,16958,1228,876,2379,63,4546,21504
State Representative District 009,4713,8769,6398,104,19984,717,833,2128,32,3710,23694
State Representative District 010,4821,10376,6178,130,21505,658,963,1688,48,3357,24862
State Representative District 011,4636,8893,6473,123,20125,577,811,1600,33,3021,23146
State Representative District 012,3850,8492,5313,93,17748,778,825,1634,42,3279,21027
State Representative District 013,3776,10629,5566,100,20071,584,896,1583,40,3103,23174
State Representative District 014,4632,7904,4888,141,17565,970,1022,1763,46,3801,21366
State Representative District 015,4693,11031,4999,169,20892,469,763,956,42,2230,23122
State Representative District 016,3829,11703,4918,190,20640,651,1333,1675,67,3726,24366
State Representative District 017,3395,9948,4950,113,18406,581,905,1820,32,3338,21744
State Representative District 018,3270,10944,5016,119,19349,615,1267,1897,44,3823,23172
State Representative District 019,5217,6301,4800,212,16530,1202,1188,2147,99,4636,21166
State Representative District 020,4745,4781,4487,239,14252,1592,1192,2574,129,5487,19739
State Representative District 021,5616,7758,5789,146,19309,796,813,1612,40,3261,22570
State Representative District 022,6142,8332,6437,165,21076,680,752,1340,57,2829,23905
State Representative District 023,4335,9292,6367,140,20134,549,814,1632,37,3032,23166
State Representative District 024,3901,8413,5032,100,17446,750,832,1487,42,3111,20557
State Representative District 025,5508,5255,4470,98,15331,1254,703,1821,35,3813,19144
State Representative District 026,4333,8395,5087,108,17923,785,835,1564,40,3224,21147
State Representative District 027,6339,7206,6900,155,20600,702,779,1454,45,2980,23580
State Representative District 028,5842,6974,6571,161,19548,856,919,1715,61,3551,23099
State Representative District 029,6864,2993,3989,153,13999,1503,472,1361,59,3395,17394
State Representative District 030,7946,3378,4094,149,15567,1484,456,1418,73,3431,18998
State Representative District 031,8014,6449,5659,156,20278,1088,805,1407,93,3393,23671
State Representative District 032,8556,5819,4762,173,19310,1058,690,1263,60,3071,22381
State Representative District 033,7070,2445,3832,169,13516,1854,519,1601,57,4031,17547
State Representative District 034,8010,1956,3349,175,13490,2574,590,1665,97,4926,18416
State Representative District 035,10297,3777,4668,198,18940,1289,569,1202,53,3113,22053
State Representative District 036,11548,3180,3998,188,18914,2250,598,1544,72,4464,23378
State Representative District 037,3968,10919,5752,131,20770,583,943,1386,18,2930,23700
State Representative District 038,6137,6803,5770,116,18826,900,678,1792,33,3403,22229
State Representative District 039,6949,4863,4644,178,16634,1118,548,1407,39,3112,19746
State Representative District 040,6697,6298,5753,191,18939,748,614,1269,40,2671,21610
State Representative District 041,6750,7685,6860,211,21506,675,803,1115,46,2639,24145
State Representative District 042,6518,6951,6004,185,19658,675,788,1154,53,2670,22328
State Representative District 043,7183,7321,5691,168,20363,762,708,1022,39,2531,22894
State Representative District 044,7917,6629,5169,165,19880,888,651,1188,52,2779,22659
State Representative District 045,5648,8571,6474,187,20880,483,587,943,34,2047,22927
State Representative District 046,5958,7533,7093,167,20751,606,708,1239,34,2587,23338
State Representative District 047,4980,7841,6079,147,19047,706,765,1832,40,3343,22390
State Representative District 048,6054,7315,6707,160,20236,835,838,2076,64,3813,24049
State Representative District 049,5810,2873,4430,163,13276,2680,1789,3535,166,8170,21446
State Representative District 050,7786,4189,5486,213,17674,1899,935,2031,93,4958,22632
State Representative District 051,5395,8095,6765,212,20467,584,762,1546,55,2947,23414
State Representative District 052,5358,5146,4327,107,14938,1054,638,1916,43,3651,18589
State Representative District 053,5712,6460,6428,114,18714,1688,609,2057,28,4382,23096
State Representative District 054,4244,9943,5499,116,19802,598,832,1591,30,3051,22853
State Representative District 055,4430,8909,5404,128,18871,577,779,1554,30,2940,21811
State Representative District 056,3701,9380,5528,87,18696,540,819,1504,37,2900,21596
State Representative District 057,4709,8366,6607,109,19791,642,679,1595,24,2940,22731
State Representative District 058,5051,7006,6939,98,19094,836,630,2111,39,3616,22710
State Representative District 059,6406,5427,6819,114,18766,972,612,2255,33,3872,22638
State Representative District 060,4864,8392,6970,121,20347,657,803,1865,34,3359,23706
State Representative District 061,7104,4663,4944,132,16843,1420,617,1635,43,3715,20558
State Representative District 062,7410,2766,4400,145,14721,1937,445,1876,67,4325,19046
State Representative District 063,5954,7063,6705,84,19806,965,538,1620,39,3162,22968
State Representative District 064,4936,8486,5981,115,19518,623,786,1556,27,2992,22510
State Representative District 065,7022,7788,6298,110,21218,645,617,1134,30,2426,23644
State Representative District 066,5443,7490,6760,79,19772,583,586,1853,20,3042,22814
State Representative District 067,4880,7613,7266,88,19847,508,512,1506,28,2554,22401
State Representative District 068,4942,6584,6300,94,17920,583,522,1681,36,2822,20742
State Representative District 069,6193,5549,6519,118,18379,1320,668,2615,57,4660,23039
State Representative District 070,5537,7580,7054,119,20290,794,631,2017,37,3479,23769
State Representative District 071,7827,4571,4857,201,17456,1793,854,2116,66,4829,22285
State Representative District 072,8317,5680,5248,158,19403,1132,652,1497,64,3345,22748
State Representative District 073,6959,6683,6674,170,20486,756,718,1341,40,2855,23341
State Representative District 074,7549,5008,6006,200,18763,1122,687,1527,73,3409,22172
State Representative District 075,6924,5439,5761,145,18269,1243,785,1805,54,3887,22156
State Representative District 076,5842,7259,6622,152,19875,850,715,1524,39,3128,23003
State Representative District 077,6727,3764,5402,190,16083,1223,578,1693,73,3567,19650
State Representative District 078,8677,3596,4633,217,17123,1825,745,1829,94,4493,21616
State Representative District 079,7868,4388,5731,189,18176,1201,599,1588,82,3470,21646
State Representative District 080,7314,6386,6070,190,19960,1049,708,1497,62,3316,23276
State Representative District 081,6537,4886,6221,167,17811,1751,821,2919,59,5550,23361
State Representative District 082,5166,7166,6408,129,18869,715,652,1680,44,3091,21960
State Representative District 083,6919,7419,7091,156,21585,850,603,1426,41,2920,24505
State Representative District 084,5211,7487,7353,156,20207,585,580,1701,33,2899,23106
State Representative District 085,9137,4489,6261,169,20056,1249,671,1564,55,3539,23595
State Representative District 086,9944,2888,5142,133,18107,1992,673,1676,54,4395,22502
State Representative District 087,5513,7402,4649,132,17696,1161,943,2040,56,4200,21896
State Representative District 088,3730,9231,4956,141,18058,702,884,1688,30,3304,21362
State Representative District 089,9803,2003,4696,178,16680,3028,981,2665,108,6782,23462
State Representative District 090,11221,2356,4270,127,17974,3178,1130,2485,96,6889,24863
State Representative District 091,6357,8074,7001,141,21573,660,629,1476,46,2811,24384
State Representative District 092,5226,7446,5559,139,18370,681,752,1566,55,3054,21424
State Representative District 093,6068,7839,7289,142,21338,999,1145,2151,56,4351,25689
State Representative District 094,6134,6958,6876,134,20102,1204,1013,2299,70,4586,24688
State Representative District 095,4659,8430,6109,118,19316,843,813,2038,35,3729,23045
State Representative District 096,5157,5988,5532,142,16819,1264,884,2307,66,4521,21340
State Representative District 097,6968,3627,5461,182,16238,2373,923,3276,87,6659,22897
State Representative District 098,6323,4200,5996,188,16707,2032,867,3242,90,6231,22938
State Representative District 099,7173,5339,5421,162,18095,1581,786,2168,53,4588,22683
State Representative District 100,6596,5264,5443,131,17434,1259,623,2248,55,4185,21619
Totals,"596,580","682,618","559,881","14,471","1,853,550","107,053","78,655","175,536","5,199","366,443","2,219,993"
