State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4858,3477,3745,127,12207,1501,670,1998,38,4207,16414
State Representative District 002,4666,6065,4331,114,15176,1185,884,1813,51,3933,19109
State Representative District 003,2785,11601,4542,120,19048,502,1032,1215,34,2783,21831
State Representative District 004,1396,14919,2667,43,19025,243,1128,755,17,2143,21168
State Representative District 005,2705,11725,4167,90,18687,563,1083,1583,29,3258,21945
State Representative District 006,3756,7793,4831,135,16515,933,944,1908,37,3822,20337
State Representative District 007,3586,10049,5946,123,19704,508,777,1606,26,2917,22621
State Representative District 008,5389,6184,5434,127,17134,1197,856,2329,61,4443,21577
State Representative District 009,4669,8800,6541,110,20120,698,806,2081,30,3615,23735
State Representative District 010,4796,10497,6316,135,21744,626,920,1645,44,3235,24979
State Representative District 011,4590,8978,6596,123,20287,549,780,1556,30,2915,23202
State Representative District 012,3790,8594,5430,95,17909,752,809,1603,41,3205,21114
State Representative District 013,3761,10699,5672,103,20235,567,867,1551,41,3026,23261
State Representative District 014,4633,7958,5038,147,17776,945,991,1740,45,3721,21497
State Representative District 015,4702,11097,5128,171,21098,453,742,936,42,2173,23271
State Representative District 016,3837,11772,5036,205,20850,629,1301,1638,63,3631,24481
State Representative District 017,3386,10006,5119,113,18624,552,863,1769,31,3215,21839
State Representative District 018,3288,10943,5115,125,19471,591,1229,1855,43,3718,23189
State Representative District 019,5215,6351,4943,215,16724,1185,1160,2111,96,4552,21276
State Representative District 020,4782,4841,4624,254,14501,1567,1169,2528,129,5393,19894
State Representative District 021,5672,7852,6064,156,19744,759,776,1562,42,3139,22883
State Representative District 022,6168,8427,6727,168,21490,644,742,1312,57,2755,24245
State Representative District 023,4368,9338,6525,148,20379,524,783,1587,36,2930,23309
State Representative District 024,3884,8563,5127,102,17676,716,803,1451,43,3013,20689
State Representative District 025,5448,5292,4651,110,15501,1218,671,1791,35,3715,19216
State Representative District 026,4314,8452,5257,110,18133,743,810,1513,39,3105,21238
State Representative District 027,6510,7330,7315,156,21311,670,741,1402,44,2857,24168
State Representative District 028,5985,7144,6901,161,20191,802,872,1650,60,3384,23575
State Representative District 029,6886,2999,4110,158,14153,1458,455,1326,58,3297,17450
State Representative District 030,7959,3381,4277,154,15771,1440,438,1368,67,3313,19084
State Representative District 031,8068,6446,5879,161,20554,1040,786,1368,91,3285,23839
State Representative District 032,8585,5815,4956,176,19532,1018,671,1212,58,2959,22491
State Representative District 033,7142,2493,3934,175,13744,1791,495,1572,55,3913,17657
State Representative District 034,8116,1970,3522,186,13794,2520,575,1633,95,4823,18617
State Representative District 035,10339,3835,4765,204,19143,1235,541,1169,50,2995,22138
State Representative District 036,11727,3223,4266,203,19419,2158,579,1497,69,4303,23722
State Representative District 037,3935,10951,5917,137,20940,553,889,1341,17,2800,23740
State Representative District 038,6128,6854,5966,116,19064,853,629,1716,32,3230,22294
State Representative District 039,6956,4894,4754,184,16788,1077,523,1367,37,3004,19792
State Representative District 040,6730,6440,5952,198,19320,721,597,1239,36,2593,21913
State Representative District 041,6895,7821,7108,212,22036,647,764,1079,41,2531,24567
State Representative District 042,6570,7054,6251,200,20075,651,766,1124,52,2593,22668
State Representative District 043,7255,7373,5859,176,20663,740,667,989,40,2436,23099
State Representative District 044,7903,6624,5295,171,19993,857,627,1164,52,2700,22693
State Representative District 045,5655,8693,6742,200,21290,470,559,910,32,1971,23261
State Representative District 046,6032,7658,7385,178,21253,573,681,1192,32,2478,23731
State Representative District 047,4959,7916,6202,159,19236,686,728,1787,36,3237,22473
State Representative District 048,6072,7396,6882,179,20529,790,814,2031,66,3701,24230
State Representative District 049,5849,2871,4553,174,13447,2620,1762,3490,164,8036,21483
State Representative District 050,7867,4219,5702,211,17999,1838,917,1985,92,4832,22831
State Representative District 051,5374,8196,6975,226,20771,571,739,1508,54,2872,23643
State Representative District 052,5376,5152,4481,110,15119,1025,618,1874,42,3559,18678
State Representative District 053,5790,6460,6687,120,19057,1652,580,1980,27,4239,23296
State Representative District 054,4221,10016,5632,117,19986,576,794,1556,28,2954,22940
State Representative District 055,4413,8937,5554,127,19031,567,749,1515,29,2860,21891
State Representative District 056,3688,9438,5657,91,18874,518,791,1471,34,2814,21688
State Representative District 057,4697,8427,6798,115,20037,616,648,1558,24,2846,22883
State Representative District 058,5035,7048,7045,98,19226,805,609,2066,39,3519,22745
State Representative District 059,6411,5490,6993,113,19007,938,597,2222,33,3790,22797
State Representative District 060,4850,8465,7074,125,20514,634,781,1818,34,3267,23781
State Representative District 061,7163,4706,5049,144,17062,1357,558,1533,41,3489,20551
State Representative District 062,7391,2800,4547,149,14887,1871,417,1815,63,4166,19053
State Representative District 063,5970,7080,6848,89,19987,917,502,1559,38,3016,23003
State Representative District 064,4911,8560,6153,118,19742,603,768,1512,26,2909,22651
State Representative District 065,6950,7874,6485,112,21421,624,598,1099,30,2351,23772
State Representative District 066,5404,7535,6990,87,20016,555,559,1795,18,2927,22943
State Representative District 067,4878,7671,7481,92,20122,489,492,1470,29,2480,22602
State Representative District 068,4947,6595,6395,94,18031,555,497,1635,36,2723,20754
State Representative District 069,6183,5635,6727,122,18667,1290,645,2557,55,4547,23214
State Representative District 070,5498,7648,7229,121,20496,768,619,1973,36,3396,23892
State Representative District 071,7832,4594,5058,212,17696,1745,826,2087,65,4723,22419
State Representative District 072,8238,5747,5448,167,19600,1098,640,1466,63,3267,22867
State Representative District 073,6988,6718,6920,174,20800,725,698,1307,38,2768,23568
State Representative District 074,7546,5032,6211,205,18994,1085,668,1493,72,3318,22312
State Representative District 075,6944,5471,5887,153,18455,1128,693,1706,49,3576,22031
State Representative District 076,5883,7307,6809,150,20149,779,648,1457,36,2920,23069
State Representative District 077,6746,3798,5593,202,16339,1185,556,1662,70,3473,19812
State Representative District 078,8663,3579,4829,219,17290,1790,726,1789,92,4397,21687
State Representative District 079,7833,4401,5947,199,18380,1178,589,1537,78,3382,21762
State Representative District 080,7314,6355,6304,197,20170,1026,688,1463,59,3236,23406
State Representative District 081,6528,4931,6407,171,18037,1717,811,2881,59,5468,23505
State Representative District 082,5175,7197,6591,139,19102,687,632,1645,42,3006,22108
State Representative District 083,6898,7435,7312,161,21806,829,586,1400,39,2854,24660
State Representative District 084,5195,7546,7525,157,20423,560,561,1661,30,2812,23235
State Representative District 085,9166,4536,6583,173,20458,1205,655,1524,54,3438,23896
State Representative District 086,10110,2911,5484,134,18639,1930,659,1641,52,4282,22921
State Representative District 087,5503,7416,4841,143,17903,1130,928,1996,57,4111,22014
State Representative District 088,3710,9275,5056,152,18193,691,859,1654,29,3233,21426
State Representative District 089,9975,2002,4972,185,17134,2961,969,2633,107,6670,23804
State Representative District 090,11556,2404,4613,128,18701,3119,1104,2467,95,6785,25486
State Representative District 091,6373,8113,7251,140,21877,642,606,1431,43,2722,24599
State Representative District 092,5247,7492,5658,141,18538,658,719,1533,51,2961,21499
State Representative District 093,6107,7931,7575,157,21770,984,1133,2114,54,4285,26055
State Representative District 094,6150,7017,7083,144,20394,1187,980,2268,68,4503,24897
State Representative District 095,4648,8455,6242,125,19470,817,777,2007,33,3634,23104
State Representative District 096,5137,6016,5655,151,16959,1227,843,2271,65,4406,21365
State Representative District 097,7000,3652,5650,183,16485,2332,907,3230,82,6551,23036
State Representative District 098,6318,4235,6183,199,16935,2003,848,3204,90,6145,23080
State Representative District 099,7157,5395,5599,172,18323,1533,761,2111,51,4456,22779
State Representative District 100,6547,5343,5587,135,17612,1216,597,2199,53,4065,21677
Totals,"598,204","687,710","577,738","15,036","1,878,688","103,656","75,900","171,400","5,048","356,004","2,234,692"
