State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2809,2528,49,2002,15,7403,3141,1512,74,3781,25,8533,15936
State Representative District 002,3127,4835,55,2685,13,10715,2400,1915,74,3577,31,7997,18712
State Representative District 003,1945,9924,53,3167,8,15097,1170,2576,69,2693,24,6532,21629
State Representative District 004,1022,12918,17,1851,5,15813,576,3003,28,1709,9,5325,21138
State Representative District 005,1978,10073,60,2938,14,15063,1083,2482,42,2781,15,6403,21466
State Representative District 006,2591,6456,69,3150,20,12286,1915,2126,64,3431,23,7559,19845
State Representative District 007,2834,8651,73,4309,13,15880,1000,2090,44,3190,21,6345,22225
State Representative District 008,3996,5247,73,3679,13,13008,2155,1772,80,4035,38,8080,21088
State Representative District 009,3659,7520,57,4676,13,15925,1358,1822,66,3910,5,7161,23086
State Representative District 010,3809,9094,63,4760,15,17741,1343,2316,78,3230,18,6985,24726
State Representative District 011,3697,7832,82,4955,13,16579,1199,1858,52,3218,16,6343,22922
State Representative District 012,2658,7233,51,3525,11,13478,1613,2065,48,3410,22,7158,20636
State Representative District 013,2881,9091,70,4059,10,16111,1089,2309,46,2846,19,6309,22420
State Representative District 014,3256,6476,61,3306,19,13118,2038,2245,67,3647,27,8024,21142
State Representative District 015,3746,9397,96,3598,14,16851,1267,2455,90,2549,27,6388,23239
State Representative District 016,2955,9738,101,3420,20,16234,1360,3254,119,3293,28,8054,24288
State Representative District 017,2679,8569,58,3648,9,14963,1035,2098,60,3258,13,6464,21427
State Representative District 018,2482,9002,65,3122,13,14684,1182,2935,70,3702,27,7916,22600
State Representative District 019,3695,5062,104,3126,33,12020,2457,2364,140,3917,50,8928,20948
State Representative District 020,3270,3742,112,2669,29,9822,2805,2163,179,4327,67,9541,19363
State Representative District 021,4530,6679,98,4498,24,15829,1568,1880,76,3370,21,6915,22744
State Representative District 022,5167,7377,112,5288,15,17959,1487,1835,86,3115,18,6541,24500
State Representative District 023,3526,8070,104,4924,11,16635,1087,1938,60,3376,19,6480,23115
State Representative District 024,2959,7366,58,3590,16,13989,1383,1961,57,3024,20,6445,20434
State Representative District 025,3936,4299,47,3044,12,11338,2352,1575,60,3440,26,7453,18791
State Representative District 026,3415,7205,62,3718,9,14409,1325,1964,54,3157,26,6526,20935
State Representative District 027,5738,6531,115,6321,8,18713,1448,1522,68,3166,12,6216,24929
State Representative District 028,5144,6277,118,5705,21,17265,1459,1636,71,3183,14,6363,23628
State Representative District 029,4693,2319,73,2616,19,9720,3251,1036,91,2974,30,7382,17102
State Representative District 030,5698,2645,74,2862,21,11300,3179,1024,94,3076,34,7407,18707
State Representative District 031,6683,5608,117,4672,22,17102,2041,1371,92,2855,28,6387,23489
State Representative District 032,7074,4955,130,3910,17,16086,2055,1259,67,2509,24,5914,22000
State Representative District 033,4730,1900,74,2373,24,9101,3804,997,87,3237,42,8167,17268
State Representative District 034,5698,1326,81,2219,26,9350,4284,1047,105,3138,47,8621,17971
State Representative District 035,8599,3117,116,3595,33,15460,2560,1086,83,2477,18,6224,21684
State Representative District 036,9686,2617,110,3353,28,15794,3454,1002,94,2660,35,7245,23039
State Representative District 037,3127,9544,70,4468,15,17224,1114,2158,55,3008,11,6346,23570
State Representative District 038,4796,5811,71,4305,11,14994,1847,1554,53,3649,17,7120,22114
State Representative District 039,5281,4151,106,3321,16,12875,2498,1254,75,3050,25,6902,19777
State Representative District 040,5408,5462,119,4643,19,15651,1807,1489,79,2919,26,6320,21971
State Representative District 041,5877,6898,139,6009,20,18943,1502,1694,83,2851,22,6152,25095
State Representative District 042,5506,6024,116,5124,14,16784,1490,1654,91,2604,21,5860,22644
State Representative District 043,6158,6531,111,4883,16,17699,1592,1308,62,2309,15,5286,22985
State Representative District 044,6518,5659,102,4290,26,16595,1922,1335,78,2432,16,5783,22378
State Representative District 045,4733,7818,138,5599,16,18304,1206,1500,79,2521,15,5321,23625
State Representative District 046,5053,6733,107,6097,14,18004,1398,1551,75,3003,13,6040,24044
State Representative District 047,3846,6790,103,4491,17,15247,1502,1724,67,3599,16,6908,22155
State Representative District 048,4988,6367,108,5358,24,16845,1524,1723,83,3820,18,7168,24013
State Representative District 049,4468,2138,88,3291,24,10009,3599,2309,161,4906,48,11023,21032
State Representative District 050,6419,3668,96,4502,26,14711,2934,1343,132,3435,32,7876,22587
State Representative District 051,4469,7202,143,5497,21,17332,1264,1675,82,3270,31,6322,23654
State Representative District 052,3626,4330,70,3087,9,11122,2457,1283,51,3412,23,7226,18348
State Representative District 053,4376,5600,59,4847,21,14903,2548,1348,57,3809,13,7775,22678
State Representative District 054,3315,8586,69,4113,11,16094,1201,2100,51,3035,14,6401,22495
State Representative District 055,3453,7700,63,4159,9,15384,1251,1824,62,3143,20,6300,21684
State Representative District 056,2805,8110,52,4097,8,15072,1119,1944,43,3148,22,6276,21348
State Representative District 057,3887,7377,71,5249,15,16599,1176,1612,44,3244,10,6086,22685
State Representative District 058,4028,6113,52,5404,9,15606,1372,1399,53,3713,18,6555,22161
State Representative District 059,5036,4687,61,4948,16,14748,1972,1278,57,4223,28,7558,22306
State Representative District 060,3905,7334,65,5297,7,16608,1254,1715,58,3535,31,6593,23201
State Representative District 061,5156,3930,77,3581,15,12759,2999,1186,65,3080,24,7354,20113
State Representative District 062,4842,2229,71,2778,18,9938,3919,892,69,3652,45,8577,18515
State Representative District 063,5095,6278,56,5605,10,17044,1439,1156,40,2942,21,5598,22642
State Representative District 064,4054,7385,63,4634,13,16149,1248,1908,53,3136,18,6363,22512
State Representative District 065,5747,6795,70,5001,10,17623,1519,1596,48,2758,16,5937,23560
State Representative District 066,4466,6652,57,5181,5,16361,1200,1420,38,3734,11,6403,22764
State Representative District 067,4073,6851,66,5703,12,16705,1059,1293,35,3311,14,5712,22417
State Representative District 068,3961,5724,55,4871,11,14622,1251,1271,46,3256,16,5840,20462
State Representative District 069,4580,4689,59,4723,18,14069,2418,1504,73,4797,28,8820,22889
State Representative District 070,4442,6673,66,5414,13,16608,1476,1505,51,3885,31,6948,23556
State Representative District 071,6020,3667,115,3436,16,13254,2967,1527,105,3799,36,8434,21688
State Representative District 072,6453,4855,78,3975,22,15383,2299,1366,102,3093,28,6888,22271
State Representative District 073,5845,5712,115,5633,21,17326,1580,1436,72,2816,15,5919,23245
State Representative District 074,6062,4228,92,4724,20,15126,2153,1274,114,3109,32,6682,21808
State Representative District 075,5635,4701,83,4503,26,14948,2117,1374,77,3211,20,6799,21747
State Representative District 076,4754,6335,97,5241,18,16445,1662,1502,56,3193,25,6438,22883
State Representative District 077,4999,3076,94,4045,32,12246,2603,1161,95,3378,40,7277,19523
State Representative District 078,6676,2826,122,3517,32,13173,3258,1230,99,3307,46,7940,21113
State Representative District 079,6188,3667,86,4381,29,14351,2401,1134,101,3284,30,6950,21301
State Representative District 080,5959,5465,96,4965,34,16519,1965,1306,94,3034,31,6430,22949
State Representative District 081,4754,4183,87,4476,19,13519,2930,1410,84,4665,30,9119,22638
State Representative District 082,4098,6281,84,4956,16,15435,1502,1437,53,3406,23,6421,21856
State Representative District 083,5708,6661,108,5840,11,18328,1607,1284,71,3048,12,6022,24350
State Representative District 084,4370,6721,86,6033,13,17223,1119,1321,69,3415,15,5939,23162
State Representative District 085,7860,3831,108,5350,13,17162,2074,1138,77,3035,21,6345,23507
State Representative District 086,8249,2332,72,4337,23,15013,3191,975,55,3092,30,7343,22356
State Representative District 087,4341,6189,73,3391,27,14021,1782,1792,63,3432,32,7101,21122
State Representative District 088,2817,7743,82,3318,9,13969,1365,2259,80,3296,13,7013,20982
State Representative District 089,7809,1457,59,3427,40,12792,4120,1137,108,3830,41,9236,22028
State Representative District 090,10010,1893,74,3678,29,15684,3667,1085,63,2990,27,7832,23516
State Representative District 091,5367,7127,99,5782,18,18393,1427,1481,62,3303,17,6290,24683
State Representative District 092,4238,6402,68,3976,17,14701,1409,1679,82,3223,16,6409,21110
State Representative District 093,4956,6985,94,6017,17,18069,1748,1815,75,3668,13,7319,25388
State Representative District 094,4939,6033,77,5524,22,16595,1950,1573,90,3794,25,7432,24027
State Representative District 095,3437,7231,72,4430,7,15177,1732,1900,69,3919,13,7633,22810
State Representative District 096,3625,5034,66,3700,23,12448,2442,1711,87,4210,46,8496,20944
State Representative District 097,5025,2974,91,3757,23,11870,3556,1379,117,4945,30,10027,21897
State Representative District 098,4394,3378,87,4090,21,11970,3301,1500,114,5137,50,10102,22072
State Representative District 099,5310,4457,92,3882,18,13759,2885,1654,86,4102,31,8758,22517
State Representative District 100,5016,4456,73,3937,8,13490,2285,1463,76,3841,25,7690,21180
Totals,"468,773","585,418","8,307","426,224","1,739","1,490,461","198,097","164,301","7,480","335,025","2,461","707,364","2,197,825"
