State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2946,2763,65,2441,19,8234,2858,1385,71,3533,23,7870,16104
State Representative District 002,3297,5193,87,3150,19,11746,2190,1738,67,3318,28,7341,19087
State Representative District 003,2041,10579,62,3592,14,16288,1016,2192,57,2406,19,5690,21978
State Representative District 004,1044,13851,28,2171,5,17099,472,2402,25,1480,8,4387,21486
State Representative District 005,1997,10812,80,3155,15,16059,953,2110,40,2532,13,5648,21707
State Representative District 006,2670,6900,74,3516,24,13184,1703,1885,59,3139,19,6805,19989
State Representative District 007,2779,9651,86,4628,14,17158,837,1723,35,2754,19,5368,22526
State Representative District 008,3855,6266,95,3855,16,14087,1863,1502,64,3531,31,6991,21078
State Representative District 009,3494,8424,84,4863,17,16882,1225,1624,57,3555,5,6466,23348
State Representative District 010,3808,10074,89,5267,17,19255,1156,1918,63,2792,14,5943,25198
State Representative District 011,3639,8708,130,5307,21,17805,994,1573,47,2798,12,5424,23229
State Representative District 012,2542,8183,79,3592,8,14404,1398,1809,45,3068,23,6343,20747
State Representative District 013,2924,10017,82,4357,15,17395,913,1933,44,2522,18,5430,22825
State Representative District 014,3409,6904,85,3797,21,14216,1829,2026,57,3394,24,7330,21546
State Representative District 015,3897,10208,122,4078,18,18323,1039,2011,75,2157,21,5303,23626
State Representative District 016,3044,10756,153,3774,24,17751,1169,2783,101,2901,22,6976,24727
State Representative District 017,2642,9322,68,3999,12,16043,898,1811,57,2915,9,5690,21733
State Representative District 018,2537,9735,82,3517,19,15890,1061,2557,62,3320,22,7022,22912
State Representative District 019,3987,5613,139,3679,45,13463,2104,2088,129,3539,43,7903,21366
State Representative District 020,3593,4273,149,3296,35,11346,2432,1881,157,3847,62,8379,19725
State Representative District 021,4617,7530,111,4978,25,17261,1360,1640,67,2987,21,6075,23336
State Representative District 022,5308,8312,130,5738,15,19503,1302,1605,85,2820,14,5826,25329
State Representative District 023,3535,8879,124,5435,10,17983,925,1645,55,2947,18,5590,23573
State Representative District 024,2831,8418,85,3553,16,14903,1198,1715,50,2737,17,5717,20620
State Representative District 025,3891,4662,63,3528,15,12159,2141,1446,52,3147,22,6808,18967
State Representative District 026,3236,8362,81,3952,11,15642,1120,1664,41,2761,24,5610,21252
State Representative District 027,6186,7376,133,7047,9,20751,1289,1353,57,2845,10,5554,26305
State Representative District 028,5440,6988,121,6311,27,18887,1338,1464,69,2846,11,5728,24615
State Representative District 029,4909,2536,93,3065,20,10623,2892,909,85,2720,30,6636,17259
State Representative District 030,5885,2873,82,3395,23,12258,2788,903,81,2809,29,6610,18868
State Representative District 031,6822,6091,132,5125,30,18200,1839,1214,79,2548,28,5708,23908
State Representative District 032,7158,5291,133,4306,29,16917,1807,1079,49,2260,22,5217,22134
State Representative District 033,4943,2050,96,2905,31,10025,3409,891,78,3015,39,7432,17457
State Representative District 034,6069,1441,86,2611,28,10235,3870,959,98,2897,42,7866,18101
State Representative District 035,8645,3355,136,4179,36,16351,2212,925,65,2185,19,5406,21757
State Representative District 036,9799,2896,119,3875,30,16719,3263,920,91,2527,31,6832,23551
State Representative District 037,3126,10306,86,5083,16,18617,947,1840,45,2609,11,5452,24069
State Representative District 038,4702,6693,84,4681,13,16173,1581,1317,45,3276,14,6233,22406
State Representative District 039,5435,4503,135,3951,18,14042,2199,1098,62,2743,22,6124,20166
State Representative District 040,5558,5905,135,5377,17,16992,1565,1275,69,2578,22,5509,22501
State Representative District 041,6175,7640,164,6855,30,20864,1291,1461,74,2538,16,5380,26244
State Representative District 042,5684,6605,129,5683,15,18116,1278,1433,73,2285,16,5085,23201
State Representative District 043,6300,6961,137,5412,16,18826,1439,1169,56,2037,15,4716,23542
State Representative District 044,6566,5956,114,4788,27,17451,1656,1169,70,2163,17,5075,22526
State Representative District 045,4845,8567,141,6255,20,19828,1024,1246,70,2205,14,4559,24387
State Representative District 046,5185,7499,124,6709,25,19542,1214,1337,71,2650,9,5281,24823
State Representative District 047,3912,7343,118,5074,21,16468,1270,1485,60,3208,10,6033,22501
State Representative District 048,4957,6896,127,6152,24,18156,1270,1502,73,3406,14,6265,24421
State Representative District 049,4327,2216,84,3413,32,10072,3373,2216,149,4729,47,10514,20586
State Representative District 050,6479,4018,103,5075,26,15701,2575,1213,121,3125,29,7063,22764
State Representative District 051,4446,7913,154,6027,25,18565,1079,1420,77,2893,24,5493,24058
State Representative District 052,3798,4656,80,3658,16,12208,2180,1097,48,3098,17,6440,18648
State Representative District 053,4484,6258,66,5171,24,16003,2356,1171,47,3439,9,7022,23025
State Representative District 054,3338,9201,83,4478,17,17117,1039,1794,44,2691,13,5581,22698
State Representative District 055,3416,8308,77,4561,11,16373,1091,1538,56,2773,18,5476,21849
State Representative District 056,2754,8774,74,4367,12,15981,991,1711,37,2871,19,5629,21610
State Representative District 057,3904,7805,76,5765,17,17567,1032,1386,42,2870,8,5338,22905
State Representative District 058,4007,6556,53,5918,9,16543,1197,1243,47,3352,17,5856,22399
State Representative District 059,5042,5424,98,5358,17,15939,1768,1141,49,3847,26,6831,22770
State Representative District 060,3896,8185,98,5362,13,17554,1122,1517,53,3175,26,5893,23447
State Representative District 061,5301,4106,103,3938,18,13466,2740,1080,55,2866,22,6763,20229
State Representative District 062,5031,2362,86,3106,19,10604,3570,822,62,3396,39,7889,18493
State Representative District 063,5073,6717,62,6162,19,18033,1297,989,38,2642,19,4985,23018
State Representative District 064,3749,8927,79,4666,17,17438,1071,1630,41,2750,14,5506,22944
State Representative District 065,5708,7510,78,5406,15,18717,1302,1399,43,2461,14,5219,23936
State Representative District 066,4225,7564,71,5565,10,17435,1031,1232,30,3333,7,5633,23068
State Representative District 067,4138,7311,84,6146,13,17692,896,1130,30,2949,8,5013,22705
State Representative District 068,3898,6406,74,5187,16,15581,1093,1099,43,2932,13,5180,20761
State Representative District 069,4629,5145,75,5614,27,15490,2057,1301,64,4250,25,7697,23187
State Representative District 070,4371,7344,79,5867,19,17680,1278,1305,42,3435,31,6091,23771
State Representative District 071,6115,4057,141,4011,25,14349,2669,1376,98,3470,29,7642,21991
State Representative District 072,6531,5332,92,4455,26,16436,2000,1230,92,2754,26,6102,22538
State Representative District 073,5999,6155,127,6323,19,18623,1383,1218,58,2442,13,5114,23737
State Representative District 074,6190,4581,127,5377,23,16298,1876,1097,94,2766,25,5858,22156
State Representative District 075,5728,5014,106,4818,32,15698,1845,1216,68,2856,17,6002,21700
State Representative District 076,4750,6963,112,5567,20,17412,1472,1304,51,2842,26,5695,23107
State Representative District 077,5163,3422,113,4768,40,13506,2271,998,77,3040,40,6426,19932
State Representative District 078,6788,3078,138,4255,44,14303,2900,1095,87,2999,43,7124,21427
State Representative District 079,6309,3946,108,5087,25,15475,2059,980,89,2900,29,6057,21532
State Representative District 080,6098,5851,113,5614,35,17711,1714,1156,77,2715,29,5691,23402
State Representative District 081,5001,4618,104,5137,22,14882,2637,1250,75,4237,24,8223,23105
State Representative District 082,4116,6886,91,5452,17,16562,1333,1269,45,3074,20,5741,22303
State Representative District 083,5872,7162,122,6551,13,19720,1387,1118,63,2664,10,5242,24962
State Representative District 084,4209,7643,95,6340,18,18305,923,1099,61,2922,13,5018,23323
State Representative District 085,8125,4240,123,6122,20,18630,1834,1009,65,2697,22,5627,24257
State Representative District 086,8528,2713,84,5210,25,16560,2861,848,48,2769,29,6555,23115
State Representative District 087,4264,6868,95,3900,31,15158,1562,1492,58,3022,28,6162,21320
State Representative District 088,2744,8452,104,3542,17,14859,1214,1971,69,2978,10,6242,21101
State Representative District 089,8127,1663,78,4094,51,14013,3895,1065,91,3553,37,8641,22654
State Representative District 090,10506,2227,90,4285,40,17148,3339,999,62,2734,23,7157,24305
State Representative District 091,5472,7775,125,6352,18,19742,1252,1286,51,2923,15,5527,25269
State Representative District 092,4388,6789,79,4391,20,15667,1217,1478,77,2891,16,5679,21346
State Representative District 093,5191,7765,113,6827,23,19919,1494,1543,67,3241,11,6356,26275
State Representative District 094,5092,6618,97,6153,28,17988,1723,1359,79,3376,19,6556,24544
State Representative District 095,3376,7776,94,4941,8,16195,1500,1672,61,3522,14,6769,22964
State Representative District 096,3709,5441,85,4189,34,13458,2245,1589,88,3919,43,7884,21342
State Representative District 097,5235,3272,105,4495,35,13142,3189,1204,105,4566,23,9087,22229
State Representative District 098,4538,3764,101,4793,29,13225,2986,1341,110,4679,46,9162,22387
State Representative District 099,5292,4849,107,4746,29,15023,2501,1444,76,3649,22,7692,22715
State Representative District 100,4859,5259,83,4366,12,14579,2041,1326,65,3496,24,6952,21531
Totals,"476,193","643,051","10,047","475,028","2,146","1,606,465","175,057","143,081","6,607","300,823","2,163","627,731","2,234,196"
