State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3847,3399,3537,125,10908,1104,573,1464,43,3184,14092
State Representative District 002,3993,6011,4250,138,14392,939,714,1410,40,3103,17495
State Representative District 003,2343,11704,4636,117,18800,405,837,940,32,2214,21014
State Representative District 004,1139,15110,2729,37,19015,203,907,622,14,1746,20761
State Representative District 005,2245,11823,4046,113,18227,379,767,886,26,2058,20285
State Representative District 006,3160,7804,4462,132,15558,643,729,1162,32,2566,18124
State Representative District 007,2966,10534,5605,128,19233,306,644,962,24,1936,21169
State Representative District 008,4256,6970,4849,137,16212,723,600,1329,36,2688,18900
State Representative District 009,3820,9180,6003,120,19123,474,673,1357,24,2528,21651
State Representative District 010,4120,11077,6317,153,21667,442,738,963,34,2177,23844
State Representative District 011,3873,9525,6315,170,19883,369,580,975,26,1950,21833
State Representative District 012,2989,9057,4645,96,16787,519,689,1205,36,2449,19236
State Representative District 013,3211,11196,5447,125,19979,384,724,907,25,2040,22019
State Representative District 014,4050,7966,5155,156,17327,734,796,1383,36,2949,20276
State Representative District 015,4274,11475,5330,196,21275,425,770,760,28,1983,23258
State Representative District 016,3403,12082,4875,226,20586,465,1097,1088,58,2708,23294
State Representative District 017,2861,10234,4994,113,18202,342,730,1034,31,2137,20339
State Representative District 018,2874,10978,4648,133,18633,386,916,1254,29,2585,21218
State Representative District 019,4634,6471,4938,236,16279,847,845,1318,69,3079,19358
State Representative District 020,4251,5160,4498,244,14153,849,747,1418,85,3099,17252
State Representative District 021,4975,8423,6349,173,19920,578,634,1187,38,2437,22357
State Representative District 022,5800,9373,7431,183,22787,491,611,952,37,2091,24878
State Representative District 023,3815,9863,6551,162,20391,364,665,1155,27,2211,22602
State Representative District 024,3123,9385,4728,139,17375,450,701,1019,21,2191,19566
State Representative District 025,4461,5431,4631,118,14641,726,582,1154,32,2494,17135
State Representative District 026,3501,9302,5003,120,17926,389,661,989,25,2064,19990
State Representative District 027,6848,8328,8792,209,24177,620,648,1213,32,2513,26690
State Representative District 028,6039,7909,7789,209,21946,636,680,1237,36,2589,24535
State Representative District 029,5960,3094,4335,150,13539,1096,305,1094,47,2542,16081
State Representative District 030,6900,3428,4680,149,15157,979,336,1096,50,2461,17618
State Representative District 031,7575,6738,6426,186,20925,745,454,986,29,2214,23139
State Representative District 032,7825,5832,5516,200,19373,715,409,860,29,2013,21386
State Representative District 033,6132,2592,4262,171,13157,1240,305,1190,47,2782,15939
State Representative District 034,7127,1859,3765,174,12925,1455,360,1145,36,2996,15921
State Representative District 035,9381,3844,5410,222,18857,874,328,836,32,2070,20927
State Representative District 036,10716,3244,5189,182,19331,1458,363,1119,49,2989,22320
State Representative District 037,3381,11280,6227,124,21012,373,722,1021,30,2146,23158
State Representative District 038,5178,7419,5836,134,18567,583,528,1249,21,2381,20948
State Representative District 039,6314,5268,5436,191,17209,814,383,1022,33,2252,19461
State Representative District 040,6256,6852,6929,206,20243,615,451,926,30,2022,22265
State Representative District 041,6845,8832,8602,252,24531,551,531,998,24,2104,26635
State Representative District 042,6219,7440,7117,184,20960,542,511,870,37,1960,22920
State Representative District 043,6884,7669,6669,197,21419,594,406,774,25,1799,23218
State Representative District 044,7196,6633,5910,191,19930,626,420,755,31,1832,21762
State Representative District 045,5296,9545,7813,201,22855,353,371,699,33,1456,24311
State Representative District 046,5742,8481,8343,180,22746,532,529,968,31,2060,24806
State Representative District 047,4314,8147,6328,178,18967,479,540,1131,25,2175,21142
State Representative District 048,5305,7763,7667,178,20913,516,538,1174,36,2264,23177
State Representative District 049,4950,3095,5904,161,14110,1224,719,1666,62,3671,17781
State Representative District 050,7079,4593,6816,178,18666,1001,395,1248,56,2700,21366
State Representative District 051,4757,8657,7354,204,20972,392,468,960,41,1861,22833
State Representative District 052,4591,5165,4787,118,14661,804,402,1094,30,2330,16991
State Representative District 053,4904,6802,6468,104,18278,884,452,1283,26,2645,20923
State Representative District 054,3648,10062,5509,146,19365,367,674,883,25,1949,21314
State Representative District 055,3747,9141,5590,123,18601,425,550,1010,24,2009,20610
State Representative District 056,3033,9593,5423,127,18176,383,631,1062,17,2093,20269
State Representative District 057,4161,8723,7200,115,20199,413,494,998,22,1927,22126
State Representative District 058,4269,7301,7088,89,18747,427,451,1084,20,1982,20729
State Representative District 059,5542,6004,6770,146,18462,709,492,1478,32,2711,21173
State Representative District 060,4241,9051,6674,136,20102,520,591,1204,40,2355,22457
State Representative District 061,6071,4712,5000,161,15944,1108,415,1131,29,2683,18627
State Representative District 062,6036,2797,4189,151,13173,1375,338,1365,35,3113,16286
State Representative District 063,5304,7386,7339,92,20121,526,355,983,20,1884,22005
State Representative District 064,4010,9705,5604,120,19439,483,677,1124,26,2310,21749
State Representative District 065,6143,8585,6338,129,21195,508,525,1007,17,2057,23252
State Representative District 066,4504,8269,6907,100,19780,350,426,1073,19,1868,21648
State Representative District 067,4356,8103,7446,122,20027,329,429,1066,12,1836,21863
State Representative District 068,4184,7202,6484,112,17982,434,363,955,14,1766,19748
State Representative District 069,5197,5883,6888,134,18102,745,520,1682,40,2987,21089
State Representative District 070,4682,8090,7185,132,20089,437,489,1194,23,2143,22232
State Representative District 071,6830,4882,5029,237,16978,1146,577,1480,52,3255,20233
State Representative District 072,7205,6161,5325,175,18866,794,532,1172,52,2550,21416
State Representative District 073,6470,6755,7390,193,20808,623,555,995,24,2197,23005
State Representative District 074,6837,5152,6498,203,18690,884,493,1143,53,2573,21263
State Representative District 075,6405,5758,6202,180,18545,751,460,1092,39,2342,20887
State Representative District 076,5306,7791,6845,181,20123,566,500,1056,31,2153,22276
State Representative District 077,5975,4085,5995,211,16266,984,434,1291,57,2766,19032
State Representative District 078,7693,3660,5331,245,16929,1218,465,1264,53,3000,19929
State Representative District 079,7065,4523,6239,194,18021,819,398,1159,45,2421,20442
State Representative District 080,6719,6400,6666,203,19988,722,495,1094,50,2361,22349
State Representative District 081,5879,5276,6530,176,17861,1021,517,1546,44,3128,20989
State Representative District 082,4605,7677,6833,145,19260,478,444,1117,22,2061,21321
State Representative District 083,6303,7890,7645,176,22014,560,454,932,29,1975,23989
State Representative District 084,4509,8308,7503,144,20464,338,371,973,35,1717,22181
State Representative District 085,8813,4784,7466,186,21249,900,422,1211,40,2573,23822
State Representative District 086,9364,3107,6584,146,19201,1626,436,1454,51,3567,22768
State Representative District 087,4598,7524,4790,146,17058,647,567,1158,39,2411,19469
State Representative District 088,3026,9422,4780,147,17375,404,715,1008,38,2165,19540
State Representative District 089,9217,2254,5818,184,17473,2124,553,1948,65,4690,22163
State Representative District 090,11389,2901,6233,176,20699,1788,460,1384,40,3672,24371
State Representative District 091,5923,8465,7694,168,22250,508,505,1140,21,2174,24424
State Representative District 092,4751,7574,5586,128,18039,475,519,1077,37,2108,20147
State Representative District 093,5558,8365,7969,169,22061,683,686,1287,28,2684,24745
State Representative District 094,5529,7263,7363,172,20327,751,558,1255,35,2599,22926
State Representative District 095,3879,8693,6239,148,18959,495,644,1148,22,2309,21268
State Representative District 096,4308,6130,5842,174,16454,788,590,1403,47,2828,19282
State Representative District 097,6165,3819,5851,175,16010,1143,460,1754,67,3424,19434
State Representative District 098,5363,4432,6292,191,16278,1078,505,1696,60,3339,19617
State Representative District 099,5977,5562,5925,191,17655,851,538,1355,37,2781,20436
State Representative District 100,5428,5943,5678,121,17170,733,536,1281,38,2588,19758
Totals,"529,915","721,205","600,117","16,043","1,867,280","70,074","55,293","114,679","3,532","243,578","2,110,858"
