State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4856,3421,3590,125,11992,1544,691,2034,39,4308,16300
State Representative District 002,4657,5917,4203,115,14892,1223,931,1860,50,4064,18956
State Representative District 003,2782,11399,4486,115,18782,525,1108,1248,36,2917,21699
State Representative District 004,1393,14650,2664,48,18755,269,1230,795,17,2311,21066
State Representative District 005,2731,11392,4272,96,18491,578,1139,1622,29,3368,21859
State Representative District 006,3773,7507,4832,128,16240,967,994,1984,40,3985,20225
State Representative District 007,3603,9662,6091,123,19479,534,828,1669,33,3064,22543
State Representative District 008,5497,5822,5447,130,16896,1247,892,2396,65,4600,21496
State Representative District 009,4787,8257,6707,109,19860,724,846,2148,32,3750,23610
State Representative District 010,4784,10103,6359,133,21379,671,979,1711,50,3411,24790
State Representative District 011,4622,8595,6679,123,20019,591,823,1621,34,3069,23088
State Representative District 012,3831,8292,5495,97,17715,785,837,1651,42,3315,21030
State Representative District 013,3808,10273,5790,99,19970,590,906,1602,40,3138,23108
State Representative District 014,4637,7721,4938,140,17436,988,1039,1781,47,3855,21291
State Representative District 015,4759,10647,5227,180,20813,479,777,961,42,2259,23072
State Representative District 016,3842,11399,5091,191,20523,660,1357,1690,68,3775,24298
State Representative District 017,3405,9659,5143,120,18327,583,935,1837,32,3387,21714
State Representative District 018,3318,10575,5189,123,19205,620,1286,1918,44,3868,23073
State Representative District 019,5155,6084,4918,210,16367,1213,1202,2168,99,4682,21049
State Representative District 020,4682,4577,4573,238,14070,1611,1210,2604,131,5556,19626
State Representative District 021,5611,7477,5955,156,19199,821,820,1636,42,3319,22518
State Representative District 022,6062,7997,6692,170,20921,707,772,1363,59,2901,23822
State Representative District 023,4381,8841,6646,145,20013,561,824,1649,38,3072,23085
State Representative District 024,3973,7987,5298,106,17364,769,858,1509,43,3179,20543
State Representative District 025,5556,4899,4691,102,15248,1268,721,1832,38,3859,19107
State Representative District 026,4523,7821,5396,111,17851,797,857,1578,41,3273,21124
State Representative District 027,6134,6961,6986,158,20239,728,808,1478,45,3059,23298
State Representative District 028,5625,6727,6709,165,19226,894,945,1746,63,3648,22874
State Representative District 029,6784,2855,4104,157,13900,1533,480,1381,59,3453,17353
State Representative District 030,7859,3194,4244,160,15457,1514,470,1434,73,3491,18948
State Representative District 031,7789,6262,5904,163,20118,1108,831,1421,94,3454,23572
State Representative District 032,8391,5638,4993,181,19203,1077,704,1285,62,3128,22331
State Representative District 033,6963,2340,3912,177,13392,1878,533,1631,58,4100,17492
State Representative District 034,7872,1877,3472,173,13394,2611,596,1688,97,4992,18386
State Representative District 035,10110,3660,4886,202,18858,1317,582,1227,53,3179,22037
State Representative District 036,11082,3082,4268,196,18628,2288,617,1567,73,4545,23173
State Representative District 037,4002,10436,6060,141,20639,590,955,1405,20,2970,23609
State Representative District 038,6159,6415,5998,124,18696,920,692,1824,33,3469,22165
State Representative District 039,6877,4644,4806,181,16508,1127,552,1433,39,3151,19659
State Representative District 040,6588,6022,5953,196,18759,762,633,1278,41,2714,21473
State Representative District 041,6545,7424,7056,219,21244,691,815,1137,46,2689,23933
State Representative District 042,6337,6745,6243,193,19518,692,809,1171,54,2726,22244
State Representative District 043,7011,7044,5995,182,20232,777,726,1033,41,2577,22809
State Representative District 044,7813,6448,5441,182,19884,872,650,1174,50,2746,22630
State Representative District 045,5574,8253,6715,194,20736,488,599,956,34,2077,22813
State Representative District 046,5810,7249,7247,176,20482,621,728,1263,34,2646,23128
State Representative District 047,5031,7409,6314,150,18904,717,776,1867,40,3400,22304
State Representative District 048,5989,7116,6868,164,20137,854,858,2101,66,3879,24016
State Representative District 049,5722,2839,4501,170,13232,2708,1797,3558,167,8230,21462
State Representative District 050,7635,4111,5625,220,17591,1926,948,2062,93,5029,22620
State Representative District 051,5364,7809,6982,216,20371,596,771,1565,56,2988,23359
State Representative District 052,5389,4907,4461,107,14864,1066,654,1931,44,3695,18559
State Representative District 053,5734,6113,6696,124,18667,1706,621,2071,28,4426,23093
State Representative District 054,4238,9628,5716,118,19700,610,857,1603,31,3101,22801
State Representative District 055,4393,8715,5520,130,18758,587,790,1579,30,2986,21744
State Representative District 056,3692,8987,5828,89,18596,558,833,1539,36,2966,21562
State Representative District 057,4650,8070,6904,118,19742,651,695,1621,25,2992,22734
State Representative District 058,5080,6641,7211,107,19039,848,640,2139,40,3667,22706
State Representative District 059,6342,4998,7195,119,18654,988,624,2291,33,3936,22590
State Representative District 060,4874,7943,7316,130,20263,668,812,1883,34,3397,23660
State Representative District 061,7020,4537,5085,132,16774,1432,626,1645,43,3746,20520
State Representative District 062,7378,2671,4467,150,14666,1952,453,1887,68,4360,19026
State Representative District 063,5918,6839,6929,83,19769,983,549,1641,39,3212,22981
State Representative District 064,4979,8073,6288,119,19459,630,795,1572,27,3024,22483
State Representative District 065,7006,7599,6397,109,21111,654,627,1145,30,2456,23567
State Representative District 066,5543,7031,7028,83,19685,594,588,1876,20,3078,22763
State Representative District 067,4903,7246,7502,92,19743,517,523,1528,28,2596,22339
State Representative District 068,5004,6236,6540,94,17874,588,536,1701,37,2862,20736
State Representative District 069,6204,5296,6654,121,18275,1339,675,2643,58,4715,22990
State Representative District 070,5567,7187,7307,127,20188,802,640,2038,36,3516,23704
State Representative District 071,7727,4461,4993,207,17388,1813,864,2135,68,4880,22268
State Representative District 072,8225,5529,5378,158,19290,1144,666,1504,65,3379,22669
State Representative District 073,6819,6516,6800,178,20313,772,735,1359,41,2907,23220
State Representative District 074,7408,4898,6174,211,18691,1143,699,1544,73,3459,22150
State Representative District 075,6842,5346,5928,148,18264,1263,803,1822,55,3943,22207
State Representative District 076,5770,6996,6877,156,19799,863,729,1541,40,3173,22972
State Representative District 077,6645,3652,5491,193,15981,1241,590,1708,73,3612,19593
State Representative District 078,8523,3503,4770,236,17032,1848,755,1841,94,4538,21570
State Representative District 079,7820,4246,5826,198,18090,1209,608,1602,84,3503,21593
State Representative District 080,7205,6217,6216,199,19837,1066,716,1515,62,3359,23196
State Representative District 081,6475,4622,6409,172,17678,1771,832,2948,59,5610,23288
State Representative District 082,5171,6805,6715,134,18825,722,661,1700,46,3129,21954
State Representative District 083,6876,7135,7325,163,21499,865,617,1438,41,2961,24460
State Representative District 084,5172,7213,7528,164,20077,599,602,1728,34,2963,23040
State Representative District 085,8977,4337,6349,177,19840,1260,679,1577,56,3572,23412
State Representative District 086,9705,2822,5224,137,17888,2009,673,1691,57,4430,22318
State Representative District 087,5541,7054,4880,142,17617,1176,948,2067,56,4247,21864
State Representative District 088,3767,8869,5200,150,17986,716,903,1709,30,3358,21344
State Representative District 089,9621,1953,4778,179,16531,3049,985,2685,108,6827,23358
State Representative District 090,10983,2306,4415,134,17838,3221,1140,2495,96,6952,24790
State Representative District 091,6319,7679,7275,153,21426,675,638,1497,46,2856,24282
State Representative District 092,5273,6911,5927,143,18254,703,771,1595,55,3124,21378
State Representative District 093,5954,7493,7539,154,21140,1009,1152,2172,59,4392,25532
State Representative District 094,6068,6692,7073,143,19976,1218,1024,2328,71,4641,24617
State Representative District 095,4697,8154,6232,121,19204,852,825,2058,38,3773,22977
State Representative District 096,5159,5812,5614,148,16733,1282,888,2329,69,4568,21301
State Representative District 097,6874,3467,5579,188,16108,2387,929,3299,87,6702,22810
State Representative District 098,6258,4014,6119,201,16592,2056,878,3262,94,6290,22882
State Representative District 099,7198,5100,5494,167,17959,1605,802,2200,53,4660,22619
State Representative District 100,6659,5069,5519,133,17380,1275,631,2259,55,4220,21600
Totals,"591,739","657,122","578,345","15,012","1,842,218","108,599","80,018","177,493","5,274","371,384","2,213,602"
