State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4797,3464,96,3853,30,12240,1325,601,26,1779,9,3740,15980
State Representative District 002,4609,6058,91,4490,31,15279,1058,785,34,1606,12,3495,18774
State Representative District 003,2708,11615,99,4590,24,19036,465,899,22,1085,7,2478,21514
State Representative District 004,1384,14929,28,2745,12,19098,225,953,12,670,4,1864,20962
State Representative District 005,2642,11666,74,4223,19,18624,487,951,23,1359,6,2826,21450
State Representative District 006,3727,7774,103,4888,31,16523,821,799,27,1632,10,3289,19812
State Representative District 007,3515,10079,99,6039,23,19755,449,716,17,1434,10,2626,22381
State Representative District 008,5314,6225,108,5531,26,17204,1006,707,35,1951,21,3720,20924
State Representative District 009,4572,8763,101,6646,15,20097,600,626,22,1707,4,2959,23056
State Representative District 010,4715,10552,119,6385,24,21795,539,774,24,1373,9,2719,24514
State Representative District 011,4495,8999,109,6649,21,20273,502,674,20,1408,8,2612,22885
State Representative District 012,3739,8601,74,5451,19,17884,638,719,21,1396,12,2786,20670
State Representative District 013,3712,10722,89,5766,24,20313,347,653,19,1019,4,2042,22355
State Representative District 014,4596,7885,107,5188,37,17813,833,941,25,1535,11,3345,21158
State Representative District 015,4664,11102,145,5227,31,21169,408,710,31,867,10,2026,23195
State Representative District 016,3780,11786,168,5118,40,20892,579,1151,43,1453,11,3237,24129
State Representative District 017,3352,9964,89,5172,20,18597,457,769,28,1521,4,2779,21376
State Representative District 018,3217,10903,99,5113,26,19358,534,1112,31,1658,11,3346,22704
State Representative District 019,5117,6364,166,5066,51,16764,1062,1018,60,1831,31,4002,20766
State Representative District 020,4714,4880,202,4672,59,14527,1387,965,82,2209,34,4677,19204
State Representative District 021,5521,7865,135,6158,35,19714,657,675,32,1367,9,2740,22454
State Representative District 022,6134,8475,156,6968,22,21755,589,663,40,1175,7,2474,24229
State Representative District 023,4291,9329,128,6674,22,20444,449,662,25,1384,10,2530,22974
State Representative District 024,3816,8590,86,5188,26,17706,621,735,25,1289,10,2680,20386
State Representative District 025,5361,5251,79,4732,26,15449,1081,608,22,1550,13,3274,18723
State Representative District 026,4237,8464,91,5372,24,18188,635,725,19,1294,13,2686,20874
State Representative District 027,6493,7295,152,7639,12,21591,691,707,34,1328,5,2765,24356
State Representative District 028,5906,7165,142,7110,22,20345,768,785,36,1468,10,3067,23412
State Representative District 029,6800,2982,131,4222,30,14165,1315,414,34,1190,19,2972,17137
State Representative District 030,7828,3305,131,4476,39,15779,1254,392,38,1225,14,2923,18702
State Representative District 031,7954,6404,140,6067,27,20592,898,658,63,1171,17,2807,23399
State Representative District 032,8444,5780,158,5156,27,19565,854,553,34,1025,12,2478,22043
State Representative District 033,7059,2486,132,4067,49,13793,1622,431,33,1361,15,3462,17255
State Representative District 034,8088,1923,133,3758,55,13957,2032,476,53,1394,23,3978,17935
State Representative District 035,10237,3826,162,4934,38,19197,1091,458,34,974,7,2564,21761
State Representative District 036,11556,3150,161,4461,42,19370,1836,494,44,1280,16,3670,23040
State Representative District 037,3884,10977,114,6024,21,21020,481,768,14,1182,5,2450,23470
State Representative District 038,6018,6866,96,6093,18,19091,804,557,27,1586,8,2982,22073
State Representative District 039,6942,4954,150,4902,34,16982,961,467,26,1230,8,2692,19674
State Representative District 040,6670,6421,167,6130,35,19423,653,551,25,1141,8,2378,21801
State Representative District 041,6872,7851,188,7424,32,22367,603,681,27,1022,8,2341,24708
State Representative District 042,6508,6982,172,6464,22,20148,615,685,34,978,10,2322,22470
State Representative District 043,7168,7327,151,6053,23,20722,686,584,27,898,7,2202,22924
State Representative District 044,7824,6563,150,5488,31,20056,757,527,34,1000,8,2326,22382
State Representative District 045,5625,8764,177,6998,26,21590,425,497,28,825,4,1779,23369
State Representative District 046,5971,7668,157,7659,22,21477,548,615,24,1097,3,2287,23764
State Representative District 047,4896,7916,134,6286,27,19259,618,660,24,1586,4,2892,22151
State Representative District 048,5936,7431,149,7050,32,20598,719,674,38,1743,8,3182,23780
State Representative District 049,5940,3042,130,5188,48,14348,2249,1429,113,2865,25,6681,21029
State Representative District 050,7819,4247,166,5934,43,18209,1626,762,59,1692,13,4152,22361
State Representative District 051,5318,8235,177,7155,39,20924,488,639,41,1357,13,2538,23462
State Representative District 052,5292,5142,93,4564,20,15111,907,538,23,1625,13,3106,18217
State Representative District 053,5751,6430,96,6790,28,19095,1273,535,19,1703,3,3533,22628
State Representative District 054,4136,9991,93,5694,22,19936,522,768,24,1395,5,2714,22650
State Representative District 055,4325,8929,111,5696,21,19082,490,674,22,1355,5,2546,21628
State Representative District 056,3606,9380,76,5734,19,18815,463,726,14,1321,12,2536,21351
State Representative District 057,4629,8414,96,6880,22,20041,532,606,15,1428,2,2583,22624
State Representative District 058,4926,7072,78,7124,20,19220,653,503,26,1772,8,2962,22182
State Representative District 059,6319,5463,86,7094,33,18995,842,519,23,1861,12,3257,22252
State Representative District 060,4773,8448,94,7154,27,20496,532,656,22,1520,12,2742,23238
State Representative District 061,7075,4646,118,5145,28,17012,1224,495,29,1342,10,3100,20112
State Representative District 062,7258,2775,105,4600,41,14779,1663,360,34,1655,22,3734,18513
State Representative District 063,5920,7085,77,7061,16,20159,717,412,17,1262,17,2425,22584
State Representative District 064,4869,8572,94,6293,24,19852,501,669,18,1325,7,2520,22372
State Representative District 065,6885,7900,100,6616,19,21520,535,510,17,913,7,1982,23502
State Representative District 066,5324,7553,85,7057,11,20030,505,514,11,1637,4,2671,22701
State Representative District 067,4767,7667,86,7540,16,20076,468,453,13,1298,9,2241,22317
State Representative District 068,4855,6583,75,6517,19,18049,504,460,23,1444,9,2440,20489
State Representative District 069,6074,5541,94,6923,32,18664,1092,632,35,2200,11,3970,22634
State Representative District 070,5400,7650,93,7355,35,20533,661,542,19,1721,12,2955,23488
State Representative District 071,7728,4569,171,5219,42,17729,1430,657,47,1679,14,3827,21556
State Representative District 072,8085,5748,137,5583,37,19590,947,536,39,1197,13,2732,22322
State Representative District 073,6899,6619,156,7017,36,20727,654,648,30,1172,1,2505,23232
State Representative District 074,7457,5005,162,6297,31,18952,948,602,48,1313,19,2930,21882
State Representative District 075,6921,5527,128,6110,36,18722,993,589,33,1435,8,3058,21780
State Representative District 076,5857,7312,131,6959,29,20288,669,585,19,1292,12,2577,22865
State Representative District 077,6695,3787,161,5673,56,16372,1070,495,34,1464,18,3081,19453
State Representative District 078,8574,3513,174,4984,49,17294,1573,604,47,1550,25,3799,21093
State Representative District 079,7759,4364,150,6020,46,18339,1006,523,43,1407,15,2994,21333
State Representative District 080,7175,6247,151,6444,46,20063,899,602,38,1265,17,2821,22884
State Representative District 081,6448,4940,134,6493,35,18050,1369,655,39,2361,14,4438,22488
State Representative District 082,5107,7225,112,6710,30,19184,608,571,23,1481,10,2693,21877
State Representative District 083,6803,7455,151,7387,18,21814,682,509,26,1216,7,2440,24254
State Representative District 084,5119,7522,129,7641,22,20433,520,531,23,1512,8,2594,23027
State Representative District 085,9092,4517,156,6815,23,20603,988,524,31,1270,11,2824,23427
State Representative District 086,9951,2831,105,5722,35,18644,1703,520,25,1389,15,3652,22296
State Representative District 087,5399,7333,106,4930,41,17809,911,767,30,1627,20,3355,21164
State Representative District 088,3648,9286,134,5079,14,18161,624,770,22,1479,8,2903,21064
State Representative District 089,10038,2023,107,5248,64,17480,2156,590,56,1777,15,4594,22074
State Representative District 090,11830,2456,93,5092,46,19517,1982,536,35,1318,12,3883,23400
State Representative District 091,6296,8103,128,7446,27,22000,578,537,26,1301,7,2449,24449
State Representative District 092,5169,7485,125,5740,22,18541,567,637,26,1357,10,2597,21138
State Representative District 093,5971,7889,131,7661,24,21676,871,916,34,1740,6,3567,25243
State Representative District 094,6079,6931,115,7202,30,20357,942,768,47,1820,17,3594,23951
State Representative District 095,4585,8495,107,6340,17,19544,722,680,27,1755,4,3188,22732
State Representative District 096,5085,6010,110,5740,49,16994,1114,755,39,2007,18,3933,20927
State Representative District 097,6888,3660,148,5744,38,16478,1822,717,45,2611,15,5210,21688
State Representative District 098,6265,4205,142,6336,47,16995,1603,705,57,2590,22,4977,21972
State Representative District 099,6998,5399,136,5723,37,18293,1391,726,36,1914,12,4079,22372
State Representative District 100,6439,5332,109,5694,24,17598,1043,572,37,1840,10,3502,21100
Totals,"591,029","686,894","12,310","591,528","3,016","1,884,777","88,817","65,454","3,175","147,086","1,123","305,655","2,190,432"
