State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4852,3493,3706,125,12176,1517,674,2008,38,4237,16413
State Representative District 002,4676,6052,4284,114,15126,1196,898,1827,50,3971,19097
State Representative District 003,2794,11574,4495,117,18980,508,1053,1222,34,2817,21797
State Representative District 004,1391,14885,2639,43,18958,245,1140,757,18,2160,21118
State Representative District 005,2700,11684,4149,88,18621,570,1110,1598,29,3307,21928
State Representative District 006,3766,7764,4800,135,16465,941,960,1923,37,3861,20326
State Representative District 007,3567,10047,5921,124,19659,520,787,1619,27,2953,22612
State Representative District 008,5394,6165,5369,126,17054,1217,878,2341,61,4497,21551
State Representative District 009,4689,8795,6487,104,20075,705,820,2098,31,3654,23729
State Representative District 010,4791,10440,6258,134,21623,648,952,1667,45,3312,24935
State Representative District 011,4600,8937,6548,121,20206,560,796,1573,32,2961,23167
State Representative District 012,3787,8577,5409,96,17869,769,815,1616,41,3241,21110
State Representative District 013,3771,10657,5642,103,20173,576,885,1561,41,3063,23236
State Representative District 014,4632,7927,5004,145,17708,961,1009,1750,46,3766,21474
State Representative District 015,4678,11049,5079,170,20976,463,754,944,42,2203,23179
State Representative District 016,3835,11736,4992,204,20767,639,1319,1652,64,3674,24441
State Representative District 017,3409,9973,5052,113,18547,564,883,1789,31,3267,21814
State Representative District 018,3269,10946,5079,124,19418,604,1246,1873,44,3767,23185
State Representative District 019,5216,6333,4890,215,16654,1189,1175,2121,97,4582,21236
State Representative District 020,4761,4801,4582,247,14391,1581,1179,2546,128,5434,19825
State Representative District 021,5667,7819,5949,150,19585,780,799,1593,41,3213,22798
State Representative District 022,6138,8349,6527,167,21181,659,747,1322,57,2785,23966
State Representative District 023,4339,9299,6478,144,20260,536,794,1606,37,2973,23233
State Representative District 024,3880,8511,5061,100,17552,737,818,1471,42,3068,20620
State Representative District 025,5472,5278,4602,102,15454,1235,684,1806,36,3761,19215
State Representative District 026,4328,8424,5210,110,18072,756,819,1523,40,3138,21210
State Representative District 027,6402,7243,7133,156,20934,679,767,1430,45,2921,23855
State Representative District 028,5905,7045,6763,165,19878,826,898,1679,60,3463,23341
State Representative District 029,6870,2990,4048,153,14061,1479,461,1348,58,3346,17407
State Representative District 030,7934,3386,4209,150,15679,1457,446,1391,69,3363,19042
State Representative District 031,8032,6444,5792,156,20424,1060,797,1383,92,3332,23756
State Representative District 032,8574,5796,4873,176,19419,1032,683,1238,58,3011,22430
State Representative District 033,7101,2475,3903,169,13648,1818,504,1579,56,3957,17605
State Representative District 034,8063,1972,3463,181,13679,2545,579,1640,95,4859,18538
State Representative District 035,10295,3792,4737,202,19026,1263,553,1184,52,3052,22078
State Representative District 036,11658,3207,4163,197,19225,2202,589,1519,70,4380,23605
State Representative District 037,3953,10924,5874,135,20886,567,917,1365,18,2867,23753
State Representative District 038,6122,6824,5892,114,18952,869,646,1738,32,3285,22237
State Representative District 039,6938,4865,4696,183,16682,1096,530,1383,37,3046,19728
State Representative District 040,6717,6370,5883,193,19163,736,608,1247,39,2630,21793
State Representative District 041,6830,7744,7000,215,21789,661,780,1097,43,2581,24370
State Representative District 042,6529,6993,6140,196,19858,667,778,1139,53,2637,22495
State Representative District 043,7208,7329,5798,167,20502,751,692,1001,40,2484,22986
State Representative District 044,7904,6618,5247,167,19936,871,640,1175,52,2738,22674
State Representative District 045,5637,8620,6624,193,21074,479,577,926,32,2014,23088
State Representative District 046,5971,7586,7269,170,20996,588,694,1209,33,2524,23520
State Representative District 047,4969,7872,6166,154,19161,687,739,1806,39,3271,22432
State Representative District 048,6053,7332,6834,176,20395,814,822,2049,66,3751,24146
State Representative District 049,5831,2872,4510,171,13384,2659,1776,3514,165,8114,21498
State Representative District 050,7820,4208,5611,208,17847,1869,924,2009,92,4894,22741
State Representative District 051,5391,8157,6886,219,20653,578,752,1529,54,2913,23566
State Representative District 052,5366,5143,4426,109,15044,1039,627,1894,43,3603,18647
State Representative District 053,5774,6474,6603,118,18969,1667,588,2007,28,4290,23259
State Representative District 054,4218,9970,5593,118,19899,587,802,1568,29,2986,22885
State Representative District 055,4422,8926,5495,128,18971,570,764,1530,29,2893,21864
State Representative District 056,3693,9394,5592,89,18768,528,804,1490,35,2857,21625
State Representative District 057,4695,8364,6709,109,19877,626,665,1573,24,2888,22765
State Representative District 058,5031,7010,6996,99,19136,821,628,2085,39,3573,22709
State Representative District 059,6423,5473,6931,115,18942,954,606,2238,33,3831,22773
State Representative District 060,4858,8445,7009,124,20436,648,797,1847,34,3326,23762
State Representative District 061,7117,4673,5001,135,16926,1369,569,1546,42,3526,20452
State Representative District 062,7369,2775,4485,150,14779,1887,428,1824,64,4203,18982
State Representative District 063,5954,7054,6772,87,19867,930,512,1570,39,3051,22918
State Representative District 064,4920,8504,6088,119,19631,605,775,1526,27,2933,22564
State Representative District 065,6958,7831,6405,111,21305,634,607,1120,30,2391,23696
State Representative District 066,5404,7505,6902,83,19894,567,571,1826,20,2984,22878
State Representative District 067,4873,7665,7403,92,20033,496,494,1478,27,2495,22528
State Representative District 068,4937,6589,6369,95,17990,566,502,1646,36,2750,20740
State Representative District 069,6175,5586,6666,119,18546,1302,648,2575,56,4581,23127
State Representative District 070,5513,7603,7169,120,20405,771,626,1987,36,3420,23825
State Representative District 071,7818,4578,4977,209,17582,1765,838,2097,66,4766,22348
State Representative District 072,8238,5709,5382,161,19490,1111,645,1477,64,3297,22787
State Representative District 073,6971,6695,6799,172,20637,739,705,1324,39,2807,23444
State Representative District 074,7516,5011,6127,201,18855,1098,677,1507,73,3355,22210
State Representative District 075,6880,5458,5832,149,18319,1146,709,1730,49,3634,21953
State Representative District 076,5845,7283,6728,150,20006,790,657,1468,37,2952,22958
State Representative District 077,6745,3773,5495,196,16209,1200,566,1675,71,3512,19721
State Representative District 078,8668,3577,4752,221,17218,1804,738,1803,94,4439,21657
State Representative District 079,7842,4386,5872,197,18297,1183,593,1558,80,3414,21711
State Representative District 080,7314,6349,6209,192,20064,1032,700,1481,60,3273,23337
State Representative District 081,6523,4906,6340,168,17937,1732,817,2901,59,5509,23446
State Representative District 082,5166,7170,6523,137,18996,700,636,1663,43,3042,22038
State Representative District 083,6893,7417,7224,161,21695,835,594,1412,41,2882,24577
State Representative District 084,5191,7510,7459,156,20316,574,570,1679,31,2854,23170
State Representative District 085,9151,4515,6450,172,20288,1228,664,1548,54,3494,23782
State Representative District 086,9998,2904,5376,133,18411,1963,669,1659,53,4344,22755
State Representative District 087,5503,7383,4732,137,17755,1147,938,2022,57,4164,21919
State Representative District 088,3713,9228,5010,148,18099,700,869,1673,30,3272,21371
State Representative District 089,9911,2005,4878,183,16977,3006,975,2650,107,6738,23715
State Representative District 090,11474,2398,4546,132,18550,3160,1115,2478,95,6848,25398
State Representative District 091,6367,8091,7155,143,21756,647,612,1450,43,2752,24508
State Representative District 092,5234,7461,5619,139,18453,665,740,1549,53,3007,21460
State Representative District 093,6088,7891,7456,147,21582,991,1137,2129,54,4311,25893
State Representative District 094,6147,6999,6997,139,20282,1193,992,2282,68,4535,24817
State Representative District 095,4644,8446,6187,122,19399,835,797,2028,33,3693,23092
State Representative District 096,5130,6005,5608,145,16888,1247,870,2292,67,4476,21364
State Representative District 097,6982,3626,5577,183,16368,2347,915,3251,83,6596,22964
State Representative District 098,6312,4212,6103,194,16821,2020,857,3224,91,6192,23013
State Representative District 099,7146,5372,5514,168,18200,1556,771,2141,51,4519,22719
State Representative District 100,6556,5279,5520,134,17489,1234,608,2227,53,4122,21611
Totals,"596,775","684,800","570,787","14,796","1,867,158","105,144","77,133","173,092","5,109","360,478","2,227,636"
