State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2802,2508,46,1943,15,7314,3170,1527,75,3802,26,8600,15914
State Representative District 002,3113,4806,52,2614,12,10597,2424,1937,75,3603,32,8071,18668
State Representative District 003,1944,9881,51,3118,8,15002,1177,2601,71,2715,24,6588,21590
State Representative District 004,1018,12859,15,1797,5,15694,583,3048,28,1729,9,5397,21091
State Representative District 005,1969,10006,58,2885,14,14932,1095,2523,42,2810,15,6485,21417
State Representative District 006,2575,6439,65,3122,20,12221,1924,2151,64,3460,23,7622,19843
State Representative District 007,2761,8408,69,4113,12,15363,1102,2373,45,3359,21,6900,22263
State Representative District 008,3965,5173,66,3572,11,12787,2190,1793,81,4069,38,8171,20958
State Representative District 009,3656,7497,56,4610,13,15832,1377,1846,67,3933,5,7228,23060
State Representative District 010,3819,9020,62,4651,14,17566,1357,2355,78,3278,18,7086,24652
State Representative District 011,3695,7762,80,4894,13,16444,1220,1907,54,3266,16,6463,22907
State Representative District 012,2665,7211,47,3471,11,13405,1625,2101,49,3435,22,7232,20637
State Representative District 013,2879,9051,69,4001,10,16010,1100,2338,46,2867,19,6370,22380
State Representative District 014,3254,6449,56,3230,18,13007,2059,2269,68,3680,28,8104,21111
State Representative District 015,3727,9364,93,3557,14,16755,1293,2482,92,2575,27,6469,23224
State Representative District 016,2951,9689,97,3367,20,16124,1380,3293,122,3343,28,8166,24290
State Representative District 017,2666,8535,53,3607,9,14870,1051,2126,60,3282,13,6532,21402
State Representative District 018,2476,8972,65,3086,13,14612,1197,2965,71,3728,27,7988,22600
State Representative District 019,3662,5020,104,3076,33,11895,2481,2390,141,3952,51,9015,20910
State Representative District 020,3237,3700,107,2599,26,9669,2839,2192,183,4389,68,9671,19340
State Representative District 021,4528,6647,94,4440,23,15732,1588,1897,77,3394,21,6977,22709
State Representative District 022,5157,7332,109,5231,14,17843,1500,1859,86,3135,18,6598,24441
State Representative District 023,3527,8037,101,4863,11,16539,1100,1962,62,3403,19,6546,23085
State Representative District 024,2956,7323,55,3542,16,13892,1393,1981,58,3046,20,6498,20390
State Representative District 025,3933,4260,45,2989,12,11239,2368,1598,60,3474,26,7526,18765
State Representative District 026,3417,7168,60,3650,9,14304,1343,1983,54,3185,27,6592,20896
State Representative District 027,5703,6479,117,6195,8,18502,1466,1547,69,3186,12,6280,24782
State Representative District 028,5115,6237,111,5602,21,17086,1478,1652,72,3207,14,6423,23509
State Representative District 029,4697,2302,72,2559,18,9648,3280,1048,91,2996,31,7446,17094
State Representative District 030,5692,2621,73,2798,21,11205,3214,1034,95,3098,34,7475,18680
State Representative District 031,6647,5577,113,4570,20,16927,2064,1390,92,2882,28,6456,23383
State Representative District 032,7062,4928,126,3828,16,15960,2077,1276,67,2528,24,5972,21932
State Representative District 033,4693,1887,69,2317,23,8989,3836,1008,88,3257,42,8231,17220
State Representative District 034,5662,1313,76,2147,25,9223,4313,1058,107,3164,47,8689,17912
State Representative District 035,8574,3093,115,3532,33,15347,2582,1096,85,2494,18,6275,21622
State Representative District 036,9655,2585,108,3273,28,15649,3487,1020,96,2681,36,7320,22969
State Representative District 037,3131,9510,69,4389,15,17114,1125,2184,56,3039,11,6415,23529
State Representative District 038,4790,5780,71,4239,10,14890,1868,1572,54,3687,17,7198,22088
State Representative District 039,5251,4120,104,3256,16,12747,2523,1263,76,3069,26,6957,19704
State Representative District 040,5392,5429,113,4568,18,15520,1826,1505,81,2948,27,6387,21907
State Representative District 041,5872,6843,136,5891,21,18763,1530,1717,84,2873,22,6226,24989
State Representative District 042,5505,5983,114,5042,12,16656,1501,1661,92,2627,21,5902,22558
State Representative District 043,6139,6502,112,4813,15,17581,1611,1325,62,2337,16,5351,22932
State Representative District 044,6524,5650,102,4216,25,16517,1937,1344,79,2452,16,5828,22345
State Representative District 045,4727,7782,136,5520,14,18179,1221,1515,79,2549,15,5379,23558
State Representative District 046,5035,6702,104,6024,11,17876,1420,1570,75,3031,14,6110,23986
State Representative District 047,3831,6788,102,4395,16,15132,1518,1739,68,3633,16,6974,22106
State Representative District 048,4969,6344,104,5259,24,16700,1557,1747,85,3865,18,7272,23972
State Representative District 049,4453,2123,86,3250,24,9936,3618,2319,164,4926,48,11075,21011
State Representative District 050,6417,3649,93,4457,26,14642,2947,1354,133,3457,33,7924,22566
State Representative District 051,4466,7172,141,5412,21,17212,1270,1690,84,3281,31,6356,23568
State Representative District 052,3573,4285,68,2952,8,10886,2511,1312,52,3459,24,7358,18244
State Representative District 053,4362,5584,59,4764,20,14789,2566,1360,58,3849,13,7846,22635
State Representative District 054,3314,8539,66,4054,12,15985,1218,2130,54,3078,14,6494,22479
State Representative District 055,3452,7685,66,4090,9,15302,1265,1845,63,3158,20,6351,21653
State Representative District 056,2805,8089,46,4045,8,14993,1137,1969,44,3173,23,6346,21339
State Representative District 057,3891,7347,66,5187,15,16506,1197,1627,45,3284,10,6163,22669
State Representative District 058,4031,6090,51,5315,8,15495,1391,1419,53,3752,18,6633,22128
State Representative District 059,5047,4670,60,4876,17,14670,1987,1294,57,4262,29,7629,22299
State Representative District 060,3900,7328,63,5251,7,16549,1264,1730,60,3559,31,6644,23193
State Representative District 061,5161,3923,76,3536,15,12711,3017,1193,67,3097,24,7398,20109
State Representative District 062,4845,2223,70,2722,19,9879,3937,905,70,3672,45,8629,18508
State Representative District 063,5088,6265,55,5552,9,16969,1451,1170,41,2967,21,5650,22619
State Representative District 064,4046,7331,61,4557,13,16008,1260,1923,54,3158,18,6413,22421
State Representative District 065,5728,6759,66,4933,10,17496,1547,1619,48,2779,16,6009,23505
State Representative District 066,4481,6616,56,5109,5,16267,1212,1429,39,3757,11,6448,22715
State Representative District 067,4074,6840,63,5625,12,16614,1077,1308,38,3339,14,5776,22390
State Representative District 068,3967,5713,54,4810,11,14555,1265,1284,46,3293,18,5906,20461
State Representative District 069,4559,4641,56,4595,16,13867,2445,1514,75,4838,28,8900,22767
State Representative District 070,4439,6655,66,5346,13,16519,1488,1516,51,3924,32,7011,23530
State Representative District 071,6003,3645,114,3354,16,13132,2996,1548,107,3824,36,8511,21643
State Representative District 072,6457,4822,76,3892,20,15267,2336,1386,102,3137,30,6991,22258
State Representative District 073,5828,5704,115,5552,20,17219,1593,1441,73,2846,15,5968,23187
State Representative District 074,6073,4222,91,4654,20,15060,2169,1281,115,3137,32,6734,21794
State Representative District 075,5647,4688,82,4451,26,14894,2134,1389,78,3238,20,6859,21753
State Representative District 076,4739,6300,96,5147,18,16300,1680,1522,56,3226,25,6509,22809
State Representative District 077,4987,3067,93,3978,31,12156,2624,1169,95,3400,40,7328,19484
State Representative District 078,6668,2819,119,3440,32,13078,3292,1245,101,3330,46,8014,21092
State Representative District 079,6187,3668,86,4294,28,14263,2412,1144,101,3310,30,6997,21260
State Representative District 080,5945,5439,97,4891,35,16407,1981,1317,95,3065,31,6489,22896
State Representative District 081,4729,4149,84,4383,19,13364,2957,1431,84,4694,31,9197,22561
State Representative District 082,4092,6240,83,4897,15,15327,1522,1467,53,3435,25,6502,21829
State Representative District 083,5696,6629,104,5733,11,18173,1625,1299,72,3075,13,6084,24257
State Representative District 084,4373,6696,82,5955,13,17119,1138,1334,69,3443,16,6000,23119
State Representative District 085,7852,3813,106,5264,12,17047,2085,1146,77,3060,21,6389,23436
State Representative District 086,8225,2323,73,4231,21,14873,3205,985,56,3113,31,7390,22263
State Representative District 087,4347,6163,69,3300,26,13905,1795,1818,64,3453,33,7163,21068
State Representative District 088,2812,7725,81,3288,9,13915,1377,2278,80,3311,13,7059,20974
State Representative District 089,7796,1435,59,3360,41,12691,4144,1146,109,3854,41,9294,21985
State Representative District 090,10019,1882,71,3628,30,15630,3687,1088,64,3004,28,7871,23501
State Representative District 091,5362,7104,100,5699,18,18283,1440,1496,62,3329,18,6345,24628
State Representative District 092,4229,6374,70,3929,17,14619,1426,1693,82,3261,16,6478,21097
State Representative District 093,4929,6926,90,5923,17,17885,1766,1832,74,3710,13,7395,25280
State Representative District 094,4915,5996,74,5436,21,16442,1967,1590,90,3817,26,7490,23932
State Representative District 095,3428,7200,69,4336,7,15040,1761,1922,69,3960,13,7725,22765
State Representative District 096,3605,5006,66,3637,23,12337,2459,1736,87,4232,45,8559,20896
State Representative District 097,4995,2931,90,3658,22,11696,3587,1401,118,4979,30,10115,21811
State Representative District 098,4373,3354,85,4004,19,11835,3332,1520,114,5185,50,10201,22036
State Representative District 099,5299,4422,91,3764,18,13594,2922,1670,86,4143,31,8852,22446
State Representative District 100,5004,4424,73,3892,7,13400,2300,1479,76,3871,25,7751,21151
Totals,"467,731","582,265","8,099","418,869","1,696","1,478,660","200,152","166,451","7,567","338,019","2,491","714,680","2,193,340"
