State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4848,3503,3655,125,12131,1530,678,2010,38,4256,16387
State Representative District 002,4667,6030,4226,112,15035,1207,903,1836,50,3996,19031
State Representative District 003,2790,11566,4455,115,18926,519,1077,1235,35,2866,21792
State Representative District 004,1386,14855,2603,45,18889,259,1172,778,17,2226,21115
State Representative District 005,2699,11662,4125,88,18574,574,1117,1607,29,3327,21901
State Representative District 006,3761,7754,4751,129,16395,950,969,1944,37,3900,20295
State Representative District 007,3579,10027,5884,119,19609,522,795,1634,28,2979,22588
State Representative District 008,5419,6137,5330,125,17011,1223,879,2363,61,4526,21537
State Representative District 009,4702,8784,6458,105,20049,715,829,2119,31,3694,23743
State Representative District 010,4812,10416,6218,131,21577,653,957,1676,48,3334,24911
State Representative District 011,4602,8923,6516,123,20164,573,808,1590,32,3003,23167
State Representative District 012,3794,8564,5348,94,17800,775,822,1631,41,3269,21069
State Representative District 013,3778,10645,5598,100,20121,582,890,1574,41,3087,23208
State Representative District 014,4632,7902,4953,141,17628,965,1020,1757,46,3788,21416
State Representative District 015,4691,11027,5037,169,20924,468,762,952,42,2224,23148
State Representative District 016,3836,11725,4959,195,20715,647,1328,1667,66,3708,24423
State Representative District 017,3389,9943,4993,113,18438,575,894,1807,31,3307,21745
State Representative District 018,3278,10931,5053,120,19382,609,1259,1886,44,3798,23180
State Representative District 019,5213,6322,4840,213,16588,1198,1182,2137,98,4615,21203
State Representative District 020,4748,4796,4527,243,14314,1586,1186,2559,129,5460,19774
State Representative District 021,5623,7760,5853,147,19383,792,807,1604,41,3244,22627
State Representative District 022,6154,8333,6483,165,21135,677,754,1338,57,2826,23961
State Representative District 023,4340,9295,6437,141,20213,543,803,1620,37,3003,23216
State Representative District 024,3877,8490,5019,99,17485,742,826,1482,42,3092,20577
State Representative District 025,5491,5259,4528,100,15378,1241,696,1820,35,3792,19170
State Representative District 026,4314,8404,5140,110,17968,778,832,1553,40,3203,21171
State Representative District 027,6350,7216,7018,155,20739,692,779,1445,45,2961,23700
State Representative District 028,5850,6989,6643,162,19644,850,913,1704,61,3528,23172
State Representative District 029,6861,2991,4024,151,14027,1498,469,1358,58,3383,17410
State Representative District 030,7926,3368,4172,151,15617,1472,454,1399,72,3397,19014
State Representative District 031,8004,6441,5716,156,20317,1078,802,1402,92,3374,23691
State Representative District 032,8547,5795,4824,172,19338,1050,685,1256,59,3050,22388
State Representative District 033,7061,2448,3895,169,13573,1844,512,1594,56,4006,17579
State Representative District 034,8009,1954,3414,177,13554,2560,586,1654,96,4896,18450
State Representative District 035,10294,3773,4707,196,18970,1277,562,1195,52,3086,22056
State Representative District 036,11577,3194,4091,192,19054,2231,595,1535,71,4432,23486
State Representative District 037,3952,10925,5814,132,20823,579,931,1380,18,2908,23731
State Representative District 038,6126,6819,5834,117,18896,894,675,1777,32,3378,22274
State Representative District 039,6939,4873,4662,178,16652,1107,544,1393,38,3082,19734
State Representative District 040,6690,6319,5821,192,19022,745,607,1257,39,2648,21670
State Representative District 041,6750,7697,6917,213,21577,671,798,1110,44,2623,24200
State Representative District 042,6512,6960,6079,188,19739,675,783,1149,53,2660,22399
State Representative District 043,7181,7311,5756,171,20419,758,698,1014,39,2509,22928
State Representative District 044,7891,6611,5225,167,19894,882,642,1184,52,2760,22654
State Representative District 045,5637,8583,6527,191,20938,483,585,935,33,2036,22974
State Representative District 046,5951,7555,7175,168,20849,600,703,1231,33,2567,23416
State Representative District 047,4965,7833,6115,150,19063,702,752,1823,40,3317,22380
State Representative District 048,6055,7316,6762,169,20302,831,830,2068,65,3794,24096
State Representative District 049,5826,2880,4470,168,13344,2671,1781,3531,165,8148,21492
State Representative District 050,7791,4202,5558,207,17758,1892,932,2022,92,4938,22696
State Representative District 051,5390,8111,6800,212,20513,584,758,1542,55,2939,23452
State Representative District 052,5346,5130,4356,106,14938,1050,636,1906,43,3635,18573
State Representative District 053,5705,6456,6485,113,18759,1682,606,2047,28,4363,23122
State Representative District 054,4224,9953,5528,117,19822,595,822,1584,30,3031,22853
State Representative District 055,4427,8914,5432,128,18901,576,775,1545,30,2926,21827
State Representative District 056,3696,9379,5566,88,18729,535,812,1501,37,2885,21614
State Representative District 057,4694,8370,6650,109,19823,636,675,1584,24,2919,22742
State Representative District 058,5035,7003,6961,98,19097,828,630,2105,39,3602,22699
State Representative District 059,6419,5451,6874,113,18857,963,611,2246,33,3853,22710
State Representative District 060,4855,8432,6976,123,20386,655,801,1859,35,3350,23736
State Representative District 061,7110,4664,4977,132,16883,1416,613,1625,43,3697,20580
State Representative District 062,7392,2764,4452,147,14755,1925,445,1862,67,4299,19054
State Representative District 063,5949,7059,6735,86,19829,965,531,1612,39,3147,22976
State Representative District 064,4931,8497,6023,115,19566,616,784,1545,27,2972,22538
State Representative District 065,6996,7807,6354,112,21269,640,612,1129,30,2411,23680
State Representative District 066,5416,7500,6821,80,19817,579,580,1842,20,3021,22838
State Representative District 067,4869,7641,7326,91,19927,507,505,1496,28,2536,22463
State Representative District 068,4944,6572,6337,94,17947,577,517,1666,36,2796,20743
State Representative District 069,6174,5557,6595,117,18443,1311,660,2598,57,4626,23069
State Representative District 070,5525,7588,7112,120,20345,789,628,2004,37,3458,23803
State Representative District 071,7816,4572,4908,207,17503,1785,850,2109,66,4810,22313
State Representative District 072,8283,5673,5320,161,19437,1121,650,1482,64,3317,22754
State Representative District 073,6955,6685,6733,171,20544,750,716,1337,40,2843,23387
State Representative District 074,7533,4997,6070,202,18802,1117,684,1519,73,3393,22195
State Representative District 075,6901,5433,5812,144,18290,1235,777,1795,54,3861,22151
State Representative District 076,5840,7254,6676,151,19921,841,712,1519,39,3111,23032
State Representative District 077,6729,3765,5439,190,16123,1215,576,1686,72,3549,19672
State Representative District 078,8653,3585,4692,218,17148,1823,747,1824,94,4488,21636
State Representative District 079,7858,4380,5784,195,18217,1194,596,1575,82,3447,21664
State Representative District 080,7320,6383,6126,193,20022,1044,707,1490,62,3303,23325
State Representative District 081,6526,4909,6286,169,17890,1744,819,2907,59,5529,23419
State Representative District 082,5162,7164,6445,130,18901,711,648,1673,44,3076,21977
State Representative District 083,6899,7413,7138,157,21607,841,602,1421,41,2905,24512
State Representative District 084,5202,7498,7403,157,20260,576,574,1692,32,2874,23134
State Representative District 085,9140,4507,6353,172,20172,1246,666,1559,54,3525,23697
State Representative District 086,9963,2890,5253,135,18241,1981,675,1672,53,4381,22622
State Representative District 087,5504,7389,4696,133,17722,1154,941,2028,57,4180,21902
State Representative District 088,3726,9224,4993,141,18084,700,879,1680,30,3289,21373
State Representative District 089,9881,1996,4772,181,16830,3012,977,2661,108,6758,23588
State Representative District 090,11443,2380,4476,130,18429,3165,1124,2486,95,6870,25299
State Representative District 091,6351,8079,7075,142,21647,659,623,1471,46,2799,24446
State Representative District 092,5233,7456,5594,138,18421,671,742,1561,54,3028,21449
State Representative District 093,6058,7857,7366,143,21424,993,1141,2141,55,4330,25754
State Representative District 094,6136,6966,6925,133,20160,1199,1002,2288,70,4559,24719
State Representative District 095,4654,8436,6146,120,19356,844,802,2033,33,3712,23068
State Representative District 096,5147,6001,5574,144,16866,1257,875,2299,67,4498,21364
State Representative District 097,6972,3621,5526,183,16302,2363,919,3264,85,6631,22933
State Representative District 098,6307,4206,6050,189,16752,2026,864,3232,90,6212,22964
State Representative District 099,7164,5349,5471,163,18147,1571,780,2152,51,4554,22701
State Representative District 100,6567,5274,5483,132,17456,1251,621,2246,55,4173,21629
Totals,"596,188","683,296","565,153","14,584","1,859,221","106,463","78,153","174,695","5,164","364,475","2,223,696"
