State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2803,2495,43,1900,14,7255,3187,1539,75,3818,26,8645,15900
State Representative District 002,3110,4783,49,2559,12,10513,2437,1951,75,3621,32,8116,18629
State Representative District 003,1941,9847,51,3091,7,14937,1187,2622,71,2728,24,6632,21569
State Representative District 004,1012,12811,14,1773,5,15615,588,3072,28,1738,9,5435,21050
State Representative District 005,1965,9986,57,2842,12,14862,1109,2542,42,2826,15,6534,21396
State Representative District 006,2567,6415,62,3102,19,12165,1941,2170,65,3482,24,7682,19847
State Representative District 007,2755,8375,69,4066,12,15277,1107,2387,45,3386,22,6947,22224
State Representative District 008,3958,5164,62,3537,12,12733,2210,1808,83,4096,38,8235,20968
State Representative District 009,3668,7484,56,4543,13,15764,1389,1856,68,3960,5,7278,23042
State Representative District 010,3819,8977,60,4595,14,17465,1370,2386,80,3304,19,7159,24624
State Representative District 011,3701,7746,79,4854,12,16392,1233,1926,54,3288,16,6517,22909
State Representative District 012,2664,7197,47,3451,11,13370,1640,2126,50,3451,22,7289,20659
State Representative District 013,2879,9029,69,3964,10,15951,1110,2350,46,2886,19,6411,22362
State Representative District 014,3256,6432,54,3159,17,12918,2069,2283,68,3708,29,8157,21075
State Representative District 015,3715,9313,92,3510,14,16644,1308,2522,92,2604,27,6553,23197
State Representative District 016,2943,9635,93,3316,19,16006,1398,3323,124,3361,29,8235,24241
State Representative District 017,2681,8510,54,3543,9,14797,1062,2143,60,3299,13,6577,21374
State Representative District 018,2487,8948,64,3038,12,14549,1208,2986,71,3751,27,8043,22592
State Representative District 019,3648,4990,101,3041,33,11813,2494,2408,141,3967,51,9061,20874
State Representative District 020,3234,3682,104,2560,26,9606,2856,2210,186,4414,68,9734,19340
State Representative District 021,4478,6576,91,4315,23,15483,1612,1933,77,3424,21,7067,22550
State Representative District 022,5144,7289,109,5150,12,17704,1516,1883,87,3162,18,6666,24370
State Representative District 023,3531,7994,99,4803,10,16437,1120,1980,62,3438,20,6620,23057
State Representative District 024,2961,7305,55,3498,16,13835,1404,1995,58,3064,20,6541,20376
State Representative District 025,3928,4244,45,2939,11,11167,2390,1619,60,3499,26,7594,18761
State Representative District 026,3425,7145,60,3587,8,14225,1357,2011,54,3222,28,6672,20897
State Representative District 027,5666,6438,115,6096,7,18322,1532,1620,70,3254,11,6487,24809
State Representative District 028,5102,6203,105,5516,18,16944,1558,1727,76,3308,15,6684,23628
State Representative District 029,4674,2280,71,2505,17,9547,3354,1068,93,3031,31,7577,17124
State Representative District 030,5690,2608,74,2740,21,11133,3262,1051,95,3127,34,7569,18702
State Representative District 031,6629,5568,110,4504,20,16831,2118,1431,96,2938,28,6611,23442
State Representative District 032,7067,4939,123,3761,15,15905,2124,1302,70,2560,25,6081,21986
State Representative District 033,4686,1874,70,2249,24,8903,3903,1018,90,3301,43,8355,17258
State Representative District 034,5651,1304,77,2085,25,9142,4373,1074,108,3189,47,8791,17933
State Representative District 035,8576,3092,114,3488,32,15302,2644,1125,85,2540,19,6413,21715
State Representative District 036,9638,2569,106,3197,28,15538,3641,1058,97,2754,36,7586,23124
State Representative District 037,3135,9459,69,4331,13,17007,1137,2201,56,3066,11,6471,23478
State Representative District 038,4799,5768,69,4193,10,14839,1878,1585,54,3701,17,7235,22074
State Representative District 039,5236,4092,102,3189,15,12634,2563,1292,78,3115,26,7074,19708
State Representative District 040,5410,5413,114,4491,18,15446,1850,1527,81,2989,27,6474,21920
State Representative District 041,5850,6822,137,5804,21,18634,1584,1773,84,2937,22,6400,25034
State Representative District 042,5508,5950,111,4980,12,16561,1572,1712,94,2687,21,6086,22647
State Representative District 043,6126,6492,112,4738,15,17483,1653,1383,64,2384,17,5501,22984
State Representative District 044,6515,5640,102,4157,25,16439,1981,1371,83,2486,16,5937,22376
State Representative District 045,4732,7745,134,5457,13,18081,1244,1545,79,2576,16,5460,23541
State Representative District 046,5027,6680,103,5958,11,17779,1463,1624,77,3094,14,6272,24051
State Representative District 047,3839,6764,102,4344,16,15065,1534,1763,68,3663,16,7044,22109
State Representative District 048,4966,6311,103,5172,24,16576,1573,1761,85,3895,18,7332,23908
State Representative District 049,4450,2116,84,3209,25,9884,3639,2329,164,4941,48,11121,21005
State Representative District 050,6412,3629,91,4370,27,14529,2961,1365,133,3484,32,7975,22504
State Representative District 051,4460,7156,139,5370,22,17147,1284,1709,85,3312,31,6421,23568
State Representative District 052,3560,4266,65,2881,8,10780,2539,1329,52,3484,24,7428,18208
State Representative District 053,4346,5554,57,4717,19,14693,2585,1374,58,3874,13,7904,22597
State Representative District 054,3323,8523,66,4016,12,15940,1232,2152,55,3100,14,6553,22493
State Representative District 055,3451,7668,65,4032,9,15225,1275,1861,63,3176,20,6395,21620
State Representative District 056,2804,8043,45,3970,8,14870,1156,2009,44,3211,23,6443,21313
State Representative District 057,3886,7340,65,5138,15,16444,1210,1632,45,3303,10,6200,22644
State Representative District 058,4048,6074,50,5270,8,15450,1406,1436,53,3777,19,6691,22141
State Representative District 059,5044,4655,59,4807,17,14582,2010,1313,57,4311,29,7720,22302
State Representative District 060,3892,7307,60,5188,7,16454,1285,1758,62,3614,31,6750,23204
State Representative District 061,5154,3913,77,3498,15,12657,3031,1205,69,3109,24,7438,20095
State Representative District 062,4838,2214,68,2687,19,9826,3959,915,71,3700,45,8690,18516
State Representative District 063,5087,6247,54,5493,9,16890,1465,1178,41,2989,22,5695,22585
State Representative District 064,4052,7302,61,4535,13,15963,1266,1933,54,3174,18,6445,22408
State Representative District 065,5739,6743,68,4878,10,17438,1560,1630,48,2795,16,6049,23487
State Representative District 066,4496,6592,56,5063,4,16211,1227,1444,39,3777,11,6498,22709
State Representative District 067,4081,6819,64,5594,11,16569,1089,1316,38,3354,14,5811,22380
State Representative District 068,3975,5708,53,4767,11,14514,1274,1295,46,3308,18,5941,20455
State Representative District 069,4561,4620,55,4509,16,13761,2457,1525,75,4858,28,8943,22704
State Representative District 070,4447,6642,65,5285,13,16452,1495,1532,51,3957,32,7067,23519
State Representative District 071,5998,3629,112,3305,16,13060,3019,1559,107,3840,37,8562,21622
State Representative District 072,6469,4817,77,3821,20,15204,2354,1399,102,3157,30,7042,22246
State Representative District 073,5815,5688,115,5489,20,17127,1606,1446,73,2869,15,6009,23136
State Representative District 074,6062,4206,91,4602,18,14979,2178,1287,115,3157,32,6769,21748
State Representative District 075,5654,4673,82,4402,25,14836,2146,1398,79,3256,20,6899,21735
State Representative District 076,4741,6282,96,5099,16,16234,1688,1534,56,3247,25,6550,22784
State Representative District 077,4981,3055,95,3902,31,12064,2639,1174,95,3424,40,7372,19436
State Representative District 078,6659,2807,115,3365,32,12978,3300,1253,103,3343,46,8045,21023
State Representative District 079,6200,3667,85,4238,28,14218,2427,1150,103,3328,32,7040,21258
State Representative District 080,5947,5426,96,4817,34,16320,1994,1319,98,3093,31,6535,22855
State Representative District 081,4733,4124,84,4304,18,13263,2974,1446,86,4727,31,9264,22527
State Representative District 082,4098,6234,83,4867,15,15297,1533,1479,53,3449,25,6539,21836
State Representative District 083,5697,6604,101,5657,11,18070,1639,1308,75,3095,13,6130,24200
State Representative District 084,4372,6681,82,5902,14,17051,1150,1346,68,3458,18,6040,23091
State Representative District 085,7844,3804,108,5189,12,16957,2100,1149,78,3084,21,6432,23389
State Representative District 086,8222,2313,73,4170,20,14798,3215,993,56,3126,31,7421,22219
State Representative District 087,4355,6146,67,3244,25,13837,1834,1860,65,3481,34,7274,21111
State Representative District 088,2815,7703,79,3250,9,13856,1381,2295,81,3332,13,7102,20958
State Representative District 089,7795,1429,59,3297,41,12621,4154,1146,109,3861,41,9311,21932
State Representative District 090,10001,1864,72,3590,30,15557,3688,1096,62,3012,28,7886,23443
State Representative District 091,5360,7093,97,5620,18,18188,1455,1509,62,3362,18,6406,24594
State Representative District 092,4239,6364,70,3893,17,14583,1436,1707,83,3279,17,6522,21105
State Representative District 093,4926,6890,86,5848,16,17766,1777,1846,76,3740,13,7452,25218
State Representative District 094,4913,5981,71,5352,20,16337,1973,1608,91,3835,27,7534,23871
State Representative District 095,3443,7185,68,4267,7,14970,1773,1928,70,3985,13,7769,22739
State Representative District 096,3606,4989,64,3580,23,12262,2469,1746,87,4255,45,8602,20864
State Representative District 097,4964,2914,88,3558,22,11546,3608,1413,119,5008,30,10178,21724
State Representative District 098,4331,3329,80,3932,19,11691,3366,1532,116,5225,50,10289,21980
State Representative District 099,5295,4396,91,3675,18,13475,2942,1686,86,4174,31,8919,22394
State Representative District 100,5008,4403,72,3838,7,13328,2311,1493,78,3892,25,7799,21127
Totals,"467,444","580,210","7,988","413,041","1,663","1,470,346","202,377","168,387","7,640","340,794","2,512","721,710","2,192,056"
